year,ses_DET hommes_NOUN,ses_DET sommes_NOUN
1800,6.728511934284143e-07,0.0
1801,5.905332849387435e-07,0.0
1802,4.408545066780789e-07,2.2378401354217203e-09
1803,4.700317610684124e-07,7.801356893821776e-09
1804,2.2741028327111223e-07,1.730295728918918e-08
1805,4.747605752974948e-07,2.842877711017877e-09
1806,3.141019453423155e-07,2.881669125542885e-09
1807,5.864727272708592e-07,2.2775640928784924e-08
1808,3.3084681350104006e-07,2.2660739951163578e-09
1809,3.704810060956021e-07,1.355418288717658e-08
1810,3.603795164508483e-07,4.680253518074551e-09
1811,4.96401225902332e-07,1.0028307073639553e-08
1812,5.574465289370778e-07,1.3336041604361526e-08
1813,4.3998846877002507e-07,1.4378708002027452e-08
1814,8.779229450084358e-07,6.293354282149721e-09
1815,4.0997798911313055e-07,2.4275012222574333e-08
1816,4.1253349181147314e-07,4.6352077731626196e-09
1817,6.725692873743583e-07,3.113746815941454e-09
1818,8.332902812213661e-07,7.152706427149269e-09
1819,8.353297378249636e-07,1.8631890696951814e-08
1820,1.205634500678343e-06,3.5599443393152796e-09
1821,8.352680862522277e-07,7.88919063410276e-09
1822,7.719723953414359e-07,3.0076847679083585e-09
1823,1.118720107662341e-06,2.9648061783404955e-09
1824,2.935599933806543e-06,2.5263338088166165e-09
1825,2.8723354645876498e-06,8.805443485471187e-09
1826,2.4591891971681434e-06,1.3211976401805714e-08
1827,1.1346463431038956e-06,2.7651818612639545e-09
1828,1.233674481682101e-06,1.834460228167245e-08
1829,1.4325777009105423e-06,1.1145129263923081e-08
1830,1.7930483924288865e-06,1.2524203008013046e-08
1831,1.7914295860066431e-06,9.354723218280014e-09
1832,1.7764849928880722e-06,2.0294953273491956e-08
1833,1.8638058030262528e-06,1.3900354645102198e-08
1834,1.9331814229417432e-06,4.667265685043276e-09
1835,2.4799366329375516e-06,8.31939672707449e-09
1836,2.373768925423292e-06,4.032450096058682e-09
1837,2.5598081769828696e-06,1.1132625488130543e-08
1838,2.723066756971093e-06,1.1361890983607736e-08
1839,3.3006755177922287e-06,2.4470163673129264e-08
1840,2.7625340663917086e-06,1.592422194107712e-08
1841,2.349920876554279e-06,1.4767261191650505e-08
1842,2.870466680349182e-06,1.341653010911159e-08
1843,2.4407356420397264e-06,2.2446261738195972e-08
1844,2.936380269602523e-06,2.195424464446205e-08
1845,2.4915718555007516e-06,4.464182357111213e-09
1846,2.4278616805872844e-06,1.2879903366069811e-08
1847,2.627578581382295e-06,3.775256551818984e-09
1848,2.3540318494497114e-06,8.045221600028185e-09
1849,2.435058043204208e-06,4.1897072478036534e-09
1850,2.8330481427474297e-06,6.1100964288129944e-09
1851,2.617827231432557e-06,1.9348316282474798e-09
1852,2.1068125093393064e-06,2.0182691296000144e-08
1853,2.2854583505704795e-06,1.5527023222716707e-08
1854,2.3437641445411828e-06,4.676098175337984e-09
1855,2.5223871062962644e-06,1.0613874223963649e-09
1856,2.682301804668441e-06,4.659470143053568e-09
1857,2.291868515413853e-06,4.881509085841174e-09
1858,3.0438664353482636e-06,0.0
1859,3.1052073197201935e-06,2.5460866748261424e-09
1860,3.2333226869241116e-06,3.66174721100343e-09
1861,3.458687757529333e-06,2.8295783494058924e-09
1862,3.234878178659528e-06,1.7620147146901743e-08
1863,3.0686949799019203e-06,4.994620828036034e-09
1864,2.8159437341912508e-06,4.794728059032138e-09
1865,3.2637258442491657e-06,9.413688495385486e-09
1866,3.470155043316936e-06,6.325296841858119e-09
1867,3.859926366089894e-06,5.338092634588065e-09
1868,3.6925558788425406e-06,1.0867722721741302e-08
1869,3.1996817142498912e-06,7.813630631403612e-09
1870,3.3412301405633116e-06,7.454262984651905e-09
1871,6.199581058297099e-06,8.496941816815706e-09
1872,4.695759024286872e-06,9.675743095627354e-09
1873,3.928016003129642e-06,1.3169209722718733e-08
1874,4.596267025647194e-06,5.974609251779839e-09
1875,3.72414210403349e-06,1.4875970677508121e-08
1876,3.50306107321785e-06,6.04601479992084e-09
1877,3.5939966096520948e-06,6.8032977029730546e-09
1878,3.4060460407658866e-06,3.0195443923020093e-09
1879,3.8012222454142375e-06,3.665595160740054e-09
1880,3.0959689425458237e-06,3.8507077526617195e-09
1881,3.3628404167984627e-06,3.4862537301449947e-09
