year,plusieurs_DET heures_NOUN,plusieurs_DET soeurs_NOUN
1800,3.172462067269066e-06,0.0
1801,2.89313680923442e-06,9.524730337773235e-09
1802,2.6428892567764706e-06,0.0
1803,2.5100865990168586e-06,0.0
1804,2.382864295213949e-06,2.4718509461507665e-09
1805,2.524475293697037e-06,0.0
1806,2.88455079910932e-06,2.881669125542885e-09
1807,2.9067410878269584e-06,1.4234775136401367e-08
1808,2.198091870297958e-06,2.2660739951163578e-09
1809,2.8554146878079223e-06,6.7770917766551975e-09
1810,2.5671190257980925e-06,1.4040760554223652e-08
1811,2.9658718183611654e-06,0.0
1812,2.917925715273384e-06,0.0
1813,3.307102962368802e-06,0.0
1814,3.7728659165736644e-06,0.0
1815,3.730260128342877e-06,0.0
1816,3.2446454767409705e-06,4.6352077731626196e-09
1817,3.1806923388444375e-06,1.556873407970727e-09
1818,2.907575098021198e-06,2.384235475716423e-09
1819,2.4563041822744935e-06,1.035105001712111e-09
1820,2.7957430006608774e-06,4.746592452420373e-09
1821,2.678380177201234e-06,2.9584463767662328e-09
1822,2.3600298817427756e-06,1.0025615893027862e-09
1823,3.0695624708698688e-06,9.882686891060644e-10
1824,3.2589707004149204e-06,5.052667617633233e-09
1825,2.8098167916823513e-06,0.0
1826,3.181443878119694e-06,0.0
1827,3.1652114547142673e-06,9.217273055917019e-10
1828,3.1827884221513614e-06,0.0
1829,2.8763005897047833e-06,1.714635211591542e-09
1830,3.623669289964937e-06,1.0436835840010872e-09
1831,3.400442064815934e-06,0.0
1832,3.6368557783106326e-06,0.0
1833,3.7797378737991494e-06,1.1583628500844156e-09
1834,3.571391445689187e-06,0.0
1835,3.236245348148259e-06,1.5126175867408165e-09
1836,3.0935613217764057e-06,1.3441500135158435e-09
1837,3.5415664640936484e-06,4.174734669071256e-09
1838,3.0544551989919455e-06,6.312161904276081e-10
1839,3.548872882674914e-06,6.9914751765765e-10
1840,3.276567912990913e-06,0.0
1841,3.141574396181568e-06,1.926164561183441e-09
1842,3.3916989075066795e-06,0.0
1843,3.2417127364681164e-06,1.1813822142769936e-09
1844,3.2409954862089307e-06,0.0
1845,3.4647634556961293e-06,1.7298706467272496e-08
1846,3.128645428063237e-06,5.854501328173001e-10
1847,3.1410134617715357e-06,5.393223645455691e-10
1848,3.2768187558929185e-06,8.045221711050488e-10
1849,3.0802729042989085e-06,0.0
1850,3.620571575879694e-06,0.0
1851,3.226654175847443e-06,2.579775504329973e-09
1852,3.120504391773693e-06,6.510545436100301e-10
1853,3.5162734555171937e-06,5.971931837933653e-10
1854,2.861252340835563e-06,5.195664454227256e-10
1855,3.0907601100693682e-06,1.0613874223963649e-09
1856,2.9696356520503286e-06,0.0
1857,3.219843478063922e-06,5.857810791987106e-09
1858,3.0766540106696993e-06,1.468102750479261e-09
1859,3.3144956006481152e-06,5.092173349652285e-10
1860,3.4717940877726505e-06,4.577183909670879e-10
1861,3.5813027565723132e-06,4.715963730639317e-10
1862,3.5122824648681217e-06,2.2589931314431766e-09
1863,2.9608112406265263e-06,4.994620828036034e-10
1864,3.3975443010092476e-06,1.4384183844029508e-09
1865,3.0698039950038947e-06,4.706844358715045e-10
1866,3.3582459515457685e-06,0.0
1867,3.06600624355724e-06,1.455843445796745e-09
1868,3.4045611556621225e-06,2.4699371437009177e-09
1869,3.4296954503076904e-06,4.883519144627257e-10
1870,3.376781407382623e-06,5.734048791339319e-10
1871,3.8905373855868675e-06,2.1242354542039266e-09
1872,3.6362651130161794e-06,6.047339295989218e-10
1873,3.841817598271291e-06,5.986004469882289e-10
1874,3.7568341468841027e-06,5.974609140757536e-10
1875,3.2326628591761164e-06,0.0
1876,3.1269987950111044e-06,6.04601479992084e-10
1877,2.9835551771384416e-06,3.092407996341251e-09
1878,3.3021735816873843e-06,1.8117266020745149e-09
1879,3.047331414762766e-06,0.0
1880,3.2050723675070003e-06,6.417846254436199e-10
1881,3.0455912618521097e-06,6.972507571312292e-10
1882,3.390253137780519e-06,1.3310770263785798e-09
1883,3.2828966070042043e-06,6.319338941018771e-10
1884,3.34970102500165e-06,1.3203393933736152e-09
1885,3.137090965665834e-06,2.5782542767416317e-09
1886,3.08088367440007e-06,1.936039106809062e-09
1887,3.1051564981510182e-06,1.3057849246322917e-09
1888,3.218496098966739e-06,6.340614699951175e-10
1889,3.2960883835642107e-06,2.506054641582267e-09
1890,3.356501267148815e-06,3.2771931834929546e-09
1891,3.2597760544206267e-06,1.912266012205066e-09
1892,3.2671486707158692e-06,0.0
1893,3.2633449826846572e-06,1.2316833108982905e-09
1894,3.1671536575572645e-06,6.301539290376468e-10
1895,3.2909783556078764e-06,0.0
1896,3.4621456457273325e-06,0.0
1897,3.122535700228468e-06,0.0
1898,3.154532961957557e-06,5.6583548957434e-10
1899,3.019163251849477e-06,5.527578395003729e-10
1900,2.8187419545133707e-06,1.038210628578895e-09
1901,2.9542073853860984e-06,5.588738916095792e-10
1902,3.070891498424544e-06,2.9461703632271963e-09
1903,3.0360038874022166e-06,1.0800440541913758e-09
1904,3.153830004265501e-06,0.0
1905,2.8714463375933974e-06,1.5482277682110634e-09
1906,2.852964660959856e-06,2.0576738091193647e-09
1907,2.904677947057621e-06,1.028568674676933e-09
1908,2.7955627306397446e-06,1.4734167219643268e-09
1909,2.925423164157337e-06,1.6502950672681038e-09
1910,3.109226755171335e-06,5.344150677544235e-10
1911,2.842675977277054e-06,4.788336727123976e-09
1912,2.845906891479899e-06,1.5628263128064646e-09
1913,2.7920239844547723e-06,1.5908969142053309e-09
1914,2.866206369134261e-06,1.3393487430235496e-09
1915,3.2491341581675215e-06,0.0
1916,2.8677275487609677e-06,1.0987462051303964e-09
1917,3.065115574685251e-06,2.1932848870420685e-09
1918,2.9451069671893038e-06,1.1486376294556067e-09
1919,2.708948969143421e-06,9.207848372660976e-10
1920,2.292871695175336e-06,2.2716695191604686e-09
1921,2.803431112141652e-06,2.2718242842501013e-09
1922,2.7313116710558916e-06,3.688967686876765e-09
1923,2.140175102027797e-06,0.0
1924,2.2560343371225144e-06,0.0
1925,2.3382125498017103e-06,0.0
1926,2.3206260877373097e-06,0.0
1927,2.2822464025296085e-06,0.0
1928,2.286350904157075e-06,0.0
1929,2.3138623976848294e-06,1.1140406375176326e-09
1930,2.334951130222862e-06,3.1510811737689437e-09
1931,2.372314213516802e-06,2.2810713318222042e-09
1932,2.3486286764295983e-06,5.479768305782784e-09
1933,2.2195731066432245e-06,1.1470662197865522e-09
1934,2.3519841931829433e-06,0.0
1935,2.416396487348038e-06,0.0
1936,2.308545543172613e-06,2.424942913137329e-09
1937,2.3369115567106746e-06,1.2591118148108649e-09
1938,2.4841351820015234e-06,0.0
1939,2.682576486279231e-06,4.588215141154706e-09
1940,2.632142564351625e-06,2.5357829169792012e-09
1941,2.582564878395033e-06,2.9515025978810172e-09
1942,2.6094220260119982e-06,0.0
1943,2.598395427710898e-06,2.9032352077962287e-09
1944,2.6990764823153768e-06,0.0
1945,2.5858842214177002e-06,4.357008087652048e-09
1946,2.2872375282645407e-06,0.0
1947,2.194632358509807e-06,2.3841741914054637e-09
1948,2.2754860964369072e-06,2.174377566888097e-09
1949,1.992852627807906e-06,9.817008317369869e-10
1950,2.052624672899128e-06,2.1270722960764488e-09
1951,2.067245763015535e-06,0.0
1952,2.13848615615575e-06,3.163441175679793e-09
1953,2.020092685128816e-06,2.1547654771580937e-09
1954,1.8773042107511628e-06,1.9545072227344917e-09
1955,1.9475135921709352e-06,1.8771215692936494e-09
1956,1.996269377357862e-06,2.616342476002842e-09
1957,1.8845135709710803e-06,0.0
1958,1.9266055470978927e-06,0.0
1959,1.8128998959809906e-06,7.750747821333448e-10
1960,1.926760104353775e-06,2.076250060767393e-09
1961,1.8155539720510205e-06,1.3896318540318475e-09
1962,1.9609329484637783e-06,1.2683912808952869e-09
1963,1.8189007526814294e-06,1.2932106496776896e-09
1964,1.7162875014520296e-06,3.6503808864551957e-09
1965,1.6908614455246607e-06,1.6416130677043839e-09
1966,1.6722466362750765e-06,6.092982118843793e-09
1967,1.6309550368021064e-06,1.9721342336964653e-09
1968,1.8392347840290313e-06,0.0
1969,1.5541895077575418e-06,4.541757636644661e-09
1970,1.4223856048545258e-06,2.29936253370866e-09
1971,1.4146008417981193e-06,5.6522372338108084e-09
1972,1.4508054846373852e-06,2.0520586896388693e-09
1973,1.3352979664205122e-06,1.6539611902288698e-09
