year,puissions_VERB avoir_VERB,puissions_VERB savoir_VERB
1800,2.7983062977909867e-07,9.432493897065797e-09
1801,1.2858386355674156e-07,2.3811825844433088e-09
1802,1.1860552717735118e-07,2.4616241489638924e-08
1803,1.3457341196954076e-07,5.851017448321727e-09
1804,1.4831105943358125e-07,9.887403784603066e-09
1805,1.1087222873129576e-07,0.0
1806,2.564685530614952e-07,6.339671898558663e-08
1807,1.5942949005420815e-07,1.7081731584767113e-08
1808,5.891792298484688e-08,1.3596443970698147e-08
1809,8.584316191218022e-08,1.129515236897305e-08
1810,7.020380365929668e-08,7.020380277111826e-09
1811,1.0279014617253779e-07,7.521229861140455e-09
1812,1.4669645054254943e-07,1.3336041604361526e-08
1813,1.322841143291953e-07,0.0
1814,1.1642705288750221e-07,9.440030979135372e-09
1815,9.710004889029733e-08,5.664169577812572e-08
1816,2.201723674488676e-07,2.3176038865813098e-09
1817,1.8059731132780144e-07,7.784366928831332e-09
1818,1.6689648418832803e-07,2.384235386898581e-08
1819,1.2628281353954662e-07,1.0351049795076506e-08
1820,1.3409123766905395e-07,4.746592452420373e-09
1821,2.711909417030256e-07,1.1833785507064931e-08
1822,2.7069162911175226e-07,1.1028177482330648e-08
1823,1.6701740435109969e-07,1.087095569118901e-08
1824,2.4168593881768174e-07,2.189489300974401e-08
1825,2.3070261079283227e-07,9.68598712347557e-09
1826,1.3740455528932216e-07,2.2019960965735663e-08
1827,1.2074627875335864e-07,1.6591091167583727e-08
1828,1.751909479708047e-07,2.384798314380987e-08
1829,1.423147182322282e-07,7.715858174606183e-09
1830,1.9934356032536016e-07,8.349468672008697e-09
1831,1.4967557149248023e-07,1.091384405071949e-08
1832,1.312406965325863e-07,2.705993829010822e-08
1833,1.3668682186107617e-07,1.3900354645102198e-08
1834,1.3161688627860713e-07,2.8937046536725575e-08
1835,1.9966552144978778e-07,3.781543966852041e-08
1836,2.822715146066912e-07,3.2259599436201825e-08
1837,1.3289572109442815e-07,3.5485243188304594e-08
1838,1.8747121544038237e-07,1.5780404538645598e-08
1839,2.4190504177568073e-07,2.4470162784950844e-08
1840,1.745294753163762e-07,3.05745047057826e-08
1841,2.0802576727874111e-07,3.78812359258518e-08
1842,1.8447728677983832e-07,3.3541326160957396e-08
1843,2.002442869297738e-07,2.7171790151214736e-08
1844,1.663034083776438e-07,3.2931367854871496e-08
1845,1.5903650307791395e-07,2.5669049108500985e-08
1846,1.5807152919933287e-07,3.6297908678761814e-08
1847,1.6718993833819695e-07,2.8044762956369595e-08
1848,1.3515972341338056e-07,7.24069959545659e-09
1849,1.9356448888174782e-07,2.76520690789539e-08
1850,1.5682580567499826e-07,1.9009188889640427e-08
1851,1.360831589636291e-07,9.674158363282004e-09
1852,1.282577386518824e-07,3.1250618093281446e-08
1853,1.6960287041456468e-07,1.851298847554972e-08
1854,1.912004563564551e-07,2.6497888327980945e-08
