year,des_DET antennes_NOUN,des_DET centaines_NOUN
1800,5.502287656611315e-07,7.294461337181701e-07
1801,3.928951244347445e-07,6.524440454569458e-07
1802,4.430923468135006e-07,5.281303003812354e-07
1803,1.2735714811640264e-06,6.104561514064244e-07
1804,3.5594652558756934e-07,6.006598027852306e-07
1805,1.4214388954769674e-07,4.662319526005376e-07
1806,2.564685450678894e-07,2.1612518175118112e-07
1807,3.957267722398683e-07,4.83982385279802e-07
1808,1.4956088678630408e-07,2.945896060424502e-07
1809,7.454800510231507e-08,6.79968211736437e-07
1810,1.9423052011191544e-07,4.4462407089440603e-07
1811,1.6797415014480066e-07,5.465427452833183e-07
1812,1.4136203674297576e-07,3.920796061152032e-07
1813,9.777521370324394e-08,5.147577724073926e-07
1814,1.1013369771717407e-07,6.356287798325866e-07
1815,6.473336688905817e-08,4.288585575551451e-07
1816,7.578564549248767e-07,7.068691978417974e-07
1817,1.4977121622905543e-06,5.433487970663009e-07
1818,3.9816731955966134e-07,5.877140605292652e-07
1819,2.5567094441569793e-07,4.78218515453932e-07
1820,1.1391821974626737e-07,4.556728718796421e-07
1821,1.2425475404143072e-07,4.0432101044984847e-07
1822,1.744457165386848e-07,4.551629615434649e-07
1823,2.747386815826758e-07,4.842516467817859e-07
1824,2.0800148092803283e-07,5.035825338950417e-07
1825,3.4517337321737784e-07,5.450569382503545e-07
1826,1.5325892999129564e-07,5.487374181711857e-07
1827,2.3411872973611025e-07,5.346018143725928e-07
1828,2.6966565269681553e-07,6.356404824714446e-07
1829,1.1290872983238387e-06,7.793016933987928e-07
1830,2.859692971313166e-07,7.702384792196426e-07
1831,2.977920416924462e-07,1.0555246241494842e-06
1832,3.2877826416921607e-07,1.1906373060810438e-06
1833,1.7491278470060934e-07,1.0599020541235404e-06
1834,4.639261863559341e-07,9.773253744072008e-07
1835,3.5622144878288964e-07,8.947132954517656e-07
1836,5.7664035546523e-07,9.059571297598268e-07
1837,2.664872285063069e-07,9.330531511864137e-07
1838,3.332821449930634e-07,8.161625153491059e-07
1839,3.6145925719210936e-07,9.550354960197183e-07
1840,2.0956275220695986e-07,9.605490589592591e-07
1841,2.4333878334559245e-07,1.0651690516283452e-06
1842,3.2400919902642045e-07,1.2685329267014822e-06
1843,2.3155091355420154e-07,1.6108146425608538e-06
1844,3.326068034326113e-07,1.30682639820634e-06
1845,2.667348852902762e-07,1.1991910255915172e-06
1846,4.1625504509923417e-07,1.2733540160070334e-06
1847,2.1518962967093103e-07,1.5651134930294575e-06
1848,2.2124359894126755e-07,1.7997160455252015e-06
1849,3.452318917407382e-07,1.8543644983992635e-06
1850,9.776154641372159e-08,1.5831938711130533e-06
1851,1.2060450971240755e-07,1.5052990391950516e-06
1852,2.4805179243969633e-07,1.6159173981122876e-06
1853,2.5500148481683027e-07,1.4219169557350142e-06
1854,2.9407461338282204e-07,1.6698865579201083e-06
1855,9.127932187880106e-08,1.5528097776495997e-06
1856,1.1648675979358813e-07,1.6359918220132386e-06
1857,2.0551152790648786e-07,1.6514145642076983e-06
1858,1.2625683609712723e-07,1.782766162250482e-06
1859,2.428966752177075e-07,1.6697236446816532e-06
1860,3.5747807491937067e-07,1.9205863424076597e-06
1861,1.6411553360740072e-07,2.1684001154653743e-06
1862,1.1611224695617928e-07,1.9368606842817826e-06
1863,1.3984937763389382e-07,2.134201366743582e-06
1864,1.6541811476145085e-07,2.1715322873205878e-06
1865,2.0098226105602635e-07,2.156676046638495e-06
1866,1.8294705039778592e-07,2.320897294794122e-06
1867,3.164033053337789e-07,2.4618312579605117e-06
1868,2.924405335669178e-07,2.5104440624090785e-06
1869,2.0266604583429881e-07,2.46910722978555e-06
1870,2.9014286928585875e-07,2.7947753125090458e-06
1871,2.166720207696926e-07,2.905954062271121e-06
1872,1.9714326304764995e-07,2.888209138518505e-06
1873,2.801449955347479e-07,2.6931033829669104e-06
1874,3.309933491735251e-07,2.4848398396670746e-06
1875,2.7234470234560604e-07,2.4922971562091334e-06
1876,3.089513467280369e-07,2.5103052934127845e-06
1877,4.613872617298398e-07,2.6594708657512456e-06
1878,4.3481437961290226e-07,2.412615828006892e-06
1879,2.5598072905808067e-07,2.633730105117138e-06
1880,2.2719176229202276e-07,2.660839157897499e-06
1881,2.7192780294171826e-07,2.9493708098016214e-06
1882,2.4491818506611196e-07,2.854494596249424e-06
1883,1.5924733487437948e-07,2.84875801526141e-06
1884,1.775856421915023e-07,3.4414646847835684e-06
1885,1.6565283911251782e-07,3.2311971835952136e-06
1886,1.99412028223378e-07,3.1893018785922322e-06
1887,1.7040493105469068e-07,3.2664210891653056e-06
1888,1.1603324878706189e-07,3.1202165757804323e-06
1889,2.224123528682398e-07,3.2710278787817515e-06
1890,2.3530247972303187e-07,3.4980760119651677e-06
1891,2.2628481133324385e-07,3.3439158926285018e-06
1892,1.8304055515727669e-07,3.4000410948920035e-06
1893,1.675089293939891e-07,3.4604143053229564e-06
1894,1.82114480384854e-07,3.463956232963028e-06
1895,1.7153051179441547e-07,3.546769477225098e-06
1896,1.267861180487273e-07,3.6543888768392208e-06
1897,1.6198264374267524e-07,3.5979956578557903e-06
1898,1.9464741474184422e-07,3.5715536910174706e-06
1899,2.3381656433230091e-07,3.638251996562758e-06
1900,2.5124697866640844e-07,3.843974837991482e-06
1901,2.6881833736780436e-07,3.695274102710755e-06
1902,3.044375844751812e-07,3.155348494487953e-06
1903,2.964720902109974e-07,3.950801158225659e-06
1904,2.848551332590432e-07,3.716553266031042e-06
1905,2.213965560327047e-07,4.023843843015129e-06
1906,4.444575407158702e-07,3.870998853017227e-06
1907,1.650852681223114e-07,3.897246642736718e-06
1908,2.264150413822108e-07,3.96889362264119e-06
1909,3.009038056500657e-07,3.872142414707014e-06
1910,2.3567704410254464e-07,4.071708218589265e-06
1911,2.952807562905946e-07,4.17223748172546e-06
1912,3.5945007459403655e-07,3.9586392404089565e-06
1913,3.9666362205981187e-07,4.012241902273672e-06
1914,2.879599817484646e-07,4.630798173366202e-06
1915,2.2383447628726572e-07,7.3818255259539e-06
1916,3.296238557659592e-07,7.228651497825922e-06
1917,2.3687477046507865e-07,7.4856812375401205e-06
1918,1.929711164194714e-07,6.539193918797537e-06
1919,3.2227470647683276e-07,6.21345600393397e-06
1920,2.816870341426636e-07,5.330093785005374e-06
1921,3.2562814866743395e-07,4.635278685327648e-06
1922,3.320071022550053e-07,5.214724637880863e-06
1923,3.9279009200754444e-07,4.450205238981653e-06
1924,3.6998961006062814e-07,4.48112868411954e-06
1925,3.7173840028437155e-07,4.23429867169034e-06
1926,3.232380239026611e-07,4.235532827578936e-06
1927,2.999141424098184e-07,4.237820576236118e-06
1928,3.679185236471483e-07,4.548706783680245e-06
1929,3.631772518275511e-07,4.434995560131938e-06
1930,2.6259008534257333e-07,4.672002631878058e-06
1931,3.0794462002603495e-07,4.586094064507051e-06
1932,3.1234678321556686e-07,4.445188011459322e-06
1933,3.464140096998136e-07,4.661677337480796e-06
1934,2.815671358291638e-07,4.932816693781206e-06
1935,2.788610311554862e-07,4.434249319729133e-06
1936,3.685913170237143e-07,4.82078644381545e-06
1937,4.520211471792379e-07,4.934459354899445e-06
1938,4.77119893815825e-07,5.215905787281372e-06
1939,3.74704250738489e-07,4.8375082997154095e-06
1940,3.5754538085797094e-07,5.279499816879252e-06
1941,4.840464384869847e-07,5.439619201297319e-06
1942,4.2175544967548717e-07,5.819618024816009e-06
1943,2.3225881329302922e-07,6.178084561270225e-06
1944,4.594856175543782e-07,6.654508410974813e-06
1945,7.341558698747974e-07,7.596443765578442e-06
1946,3.0487219593311465e-07,6.263104637582728e-06
1947,3.6716281748283564e-07,6.217926170393184e-06
1948,5.414199897302296e-07,6.173057727210107e-06
1949,5.625145629295503e-07,6.3388425246557745e-06
1950,4.2541447298205526e-07,6.160001362331968e-06
1951,5.447976061390136e-07,5.719841851714591e-06
1952,5.915634737618802e-07,5.789097542674426e-06
1953,4.923638989851042e-07,5.49896134316441e-06
1954,4.505139181709694e-07,5.517573754332261e-06
1955,4.345536419592122e-07,5.75525450585701e-06
1956,5.032098640000982e-07,5.467283642701659e-06
1957,4.717910031537542e-07,5.521898742699705e-06
