year,deux_DET ondes_NOUN,deux_DET sondes_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825400343878e-08,9.524730337773235e-09
1802,0.0,4.475680270843441e-09
1803,1.755305234496518e-08,1.950339223455444e-09
1804,0.0,2.4718509905596875e-08
1805,0.0,2.842877711017877e-09
1806,1.729001475325731e-08,2.305335300434308e-08
1807,0.0,8.540865792383556e-09
1808,0.0,1.1330369975581789e-08
1809,1.3554183553310395e-08,9.036122072814123e-09
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,1.3336041604361526e-08
1813,8.627225156487839e-09,6.614205716459765e-08
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,1.8880564667256294e-08,1.0788894222457657e-08
1816,4.1716869958463576e-08,4.6352077731626196e-09
1817,9.185553295765203e-08,3.113746815941454e-09
1818,1.3113295338484932e-08,9.536941902865692e-09
1819,3.8298885840504227e-08,1.8631890252862604e-08
1820,1.898636980968149e-08,3.20394981656591e-08
1821,2.2681422962023134e-08,8.875339574387908e-09
1822,1.1028177482330648e-08,1.7043547018147365e-08
1823,5.929612356680991e-09,1.5812299247741635e-08
1824,1.6842225392110777e-08,1.431589158329416e-08
1825,7.924898959288385e-09,1.6730342444759572e-08
1826,2.2900759399924198e-08,1.1450379977517855e-08
1827,1.935627302884768e-08,1.1982455028203276e-08
1828,1.559291185060374e-08,4.40270444546087e-08
1829,6.77280880267972e-08,8.573175780401954e-09
1830,4.5922078584226256e-08,3.1310507520032616e-09
1831,4.677361786775691e-08,9.354723218280014e-09
1832,5.141388426110893e-08,1.623596324051846e-08
1833,2.7800708068959068e-08,3.590924946283991e-08
1834,1.8669061851994684e-09,3.733812370398937e-09
1835,1.2100940693926532e-08,9.075705520444899e-09
1836,2.688300071440608e-08,1.008112526790228e-08
1837,2.5048407792382932e-08,2.0177883364169702e-08
1838,2.9667161172142187e-08,1.3255539776935166e-08
1839,3.5656523067473245e-08,2.027527834513876e-08
1840,4.0766007458614695e-08,5.732719632334238e-09
1841,2.5040138851295524e-08,1.4125206782011901e-08
1842,3.4882980060046975e-08,6.037438549100216e-09
1843,8.91943585656918e-08,5.906910960362666e-09
1844,1.2623690537338916e-08,2.030767598526495e-08
1845,1.5066614622583074e-08,2.4553002297977855e-08
1846,1.6978054517835517e-08,7.610851504580296e-09
1847,1.8714486405002617e-07,1.833696039454935e-08
1848,2.494018680465615e-08,1.930853166243196e-08
1849,3.5193544078993e-08,5.446619866233959e-08
1850,3.190828135046786e-08,6.1100964288129944e-09
1851,7.352360142931502e-08,1.6123596680017727e-08
1852,5.338647213193326e-08,3.971432604998881e-08
1853,4.598387537413373e-08,1.3138249599364826e-08
1854,4.364358119346434e-08,1.3508727303435109e-08
1855,1.8043586180738203e-08,3.6087172361476405e-08
1856,3.9346637947801355e-08,3.05454157523144e-08
1857,1.757343248698362e-08,7.322263795295214e-09
1858,9.493731312204545e-08,2.25109102469645e-08
1859,6.161529597648041e-08,8.147477359443656e-09
1860,1.5104706818647173e-08,1.1442959552132592e-08
1861,6.366551197345416e-08,1.0375119874339589e-08
1862,2.3493528900075944e-08,1.2198563048571032e-08
1863,1.1587520276634677e-07,3.995696662428827e-09
1864,5.7057263802562375e-08,1.102787416940032e-08
1865,4.753912818955541e-08,1.976874625109204e-08
1866,1.2358657386357663e-07,7.784980771141647e-09
1867,8.443891807985437e-08,1.358787216076962e-08
1868,7.558007042440806e-08,1.5807597009143137e-08
1869,1.6896975851832252e-07,3.4184632902167778e-09
1870,9.23181886491875e-08,1.3188312664169644e-08
1871,1.359510690690513e-07,4.248470908407853e-09
1872,1.0038583297955483e-07,1.9956218899608302e-08
1873,3.771182865985878e-08,9.577607151811662e-09
1874,5.974609251779839e-08,1.1949218670093131e-08
1875,6.865832591351761e-08,1.4875970233418911e-08
1876,6.95291717534019e-08,6.046014888738682e-08
1877,7.112538380482647e-08,1.3606595294923807e-08
1878,4.287753085918666e-08,1.9325083755461492e-08
1879,5.742765629701552e-08,1.3440515922447105e-08
1880,8.150664410067066e-08,1.5402831454736088e-08
1881,1.4921166752168702e-07,9.761510821881814e-09
1882,8.585446664710616e-08,1.2645232194685718e-08
1883,7.709593585758512e-08,9.479008689083912e-09
1884,8.252121475038621e-08,6.601696966868076e-09
1885,8.18595751184148e-08,9.66845359329227e-09
1886,6.517998429877991e-08,2.194177767256278e-08
1887,1.1360328816545362e-07,2.4809913734546996e-08
1888,8.940266837953459e-08,1.5217475501927424e-08
1889,9.898916175643535e-08,1.1277246414476139e-08
1890,9.24168475080478e-08,6.554386478008212e-09
1891,2.02700200957473e-07,3.824532024410132e-09
1892,2.2817384781603778e-07,8.775917326175886e-09
1893,1.3918021624093058e-07,3.325545017140996e-08
1894,1.3044185731558855e-07,2.7096619170663416e-08
1895,1.2759463174916164e-07,1.5648397910794642e-08
1896,1.1145385059307955e-07,1.3563166367802637e-08
1897,6.118049078462917e-08,1.1070756089637257e-08
1898,8.430948761350976e-08,3.677930626722059e-08
1899,1.1994844761886725e-07,2.5426860617017155e-08
1900,6.488816650662699e-08,1.505405422541628e-08
1901,1.9672361251110715e-07,2.4031577172678453e-08
1902,1.2324812814767938e-07,3.4371987700509976e-08
1903,9.126372191303744e-08,4.374178419475072e-08
1904,9.620579000113594e-08,2.956043854140944e-08
1905,1.1095632079793916e-07,2.9416326263742576e-08
1906,1.1883066086681993e-07,2.1605574218597212e-08
1907,1.4554246163811513e-07,1.9542804707839423e-08
1908,9.233411191189589e-08,2.2101250163331088e-08
1909,5.721022944271681e-08,2.3654229464042942e-08
1910,1.1489924012231256e-07,2.1911017888953666e-08
1911,9.151043656174807e-08,1.3300935464144459e-08
1912,1.625339454136565e-07,2.2921453846080908e-08
1913,1.3257474318351115e-07,3.234823808817566e-08
1914,9.844213444409888e-08,3.281404437061042e-08
1915,1.1780761610680202e-07,2.3561523398996087e-08
1916,1.2525707315802492e-07,6.592477230782379e-09
1917,9.32146072551987e-08,5.483212106582869e-09
1918,1.5506607464743638e-07,1.6080927700556913e-08
1919,1.0220711588182496e-07,1.4732557507279864e-08
1920,1.2721349973432439e-07,1.665890891899835e-08
1921,1.4766857170389613e-07,3.029098949447473e-08
1922,1.3206503979290574e-07,3.615188393091273e-08
1923,1.475616824286874e-07,1.2739137300599168e-08
1924,1.959526940709111e-07,2.4494085870685467e-08
