year,ces_DET heures_NOUN,ces_DET soeurs_NOUN
1800,4.779129909593394e-07,5.03066335255653e-08
1801,2.809795578428975e-07,9.524730337773235e-09
1802,3.938598638342228e-07,1.3427040812530322e-08
1803,4.0567055314966183e-07,7.801356893821776e-09
1804,5.759412742278869e-07,1.9774807569206132e-08
1805,4.292745461320635e-07,8.528633133053631e-09
1806,3.4580029328878936e-07,8.645007376628655e-09
1807,2.533790075531783e-07,4.839823786184638e-08
1808,3.58039702774704e-07,1.3596443526608937e-08
1809,3.4111361646438354e-07,2.259030518203531e-09
1810,5.616304292743735e-07,9.360507036149102e-09
1811,2.1811567663121423e-07,7.521229861140455e-09
1812,1.050880054975778e-06,5.3344164641089264e-09
1813,3.882251107256707e-07,3.4508899737772936e-08
1814,4.342414463565092e-07,6.293354282149721e-09
1815,2.80511247563453e-07,2.1577788000826104e-08
1816,2.757948767140306e-07,1.1588019432906549e-08
1817,4.810738927218949e-07,4.670620334934483e-09
1818,3.4213778743463763e-07,8.344823942962876e-09
1819,4.2646326914308474e-07,1.0351050350188018e-08
1820,4.663527022330527e-07,2.0173017922786585e-08
1821,3.747365582285056e-07,9.861488292628451e-09
1822,5.032859036191439e-07,1.0025615893027862e-08
1823,4.081549775936111e-07,1.4824030003524058e-08
1824,3.5621306437860767e-07,1.431589158329416e-08
1825,4.6668848341369085e-07,7.92489873724378e-09
1826,4.254256280589175e-07,8.807984230863042e-09
1827,3.6776920531167434e-07,9.217273055917019e-10
1828,3.834021802262555e-07,9.172301251858528e-10
1829,5.29822282047121e-07,3.429270478694235e-09
1830,6.251664448342353e-07,5.218417920005436e-09
1831,5.955840478577556e-07,3.1182412207897414e-09
1832,8.036801786293069e-07,9.470978445946798e-09
1833,6.927009597035294e-07,4.633451511359965e-09
1834,7.616977377722378e-07,4.667265462998671e-09
1835,8.591667679525017e-07,5.294161553592858e-09
1836,6.539290008933385e-07,6.0486752273547495e-09
1837,6.603038391617133e-07,9.045258431150671e-09
1838,6.173294133660079e-07,3.787297142565649e-09
1839,6.278344972798777e-07,3.4957374772659477e-09
1840,6.745500469307331e-07,4.4587821212971335e-09
1841,6.664529230704375e-07,1.926164561183441e-09
1842,7.72121294900785e-07,2.683306021822318e-09
1843,7.448614844918211e-07,1.7720733769266417e-09
1844,7.480909118839918e-07,4.390849128732555e-09
1845,7.617011354987824e-07,1.1160456059311485e-08
1846,6.117954001183534e-07,3.5127007969038004e-09
1847,8.122194863346976e-07,1.6179670936367074e-09
1848,7.06370484659935e-07,0.0
1849,1.1261933794415313e-06,6.703531951757213e-09
1850,7.128445957960139e-07,2.7155984128057753e-09
1851,7.874764538229329e-07,1.2898877521649865e-09
1852,8.821789183599549e-07,5.859490892490271e-09
1853,9.447596340805831e-07,4.180352286553557e-09
1854,9.076826055220977e-07,2.0782657816909023e-09
1855,8.793594616918199e-07,2.653468555990912e-09
1856,8.909942721402331e-07,2.070875637638636e-09
1857,9.767899662449508e-07,2.928905395993553e-09
1858,9.3860704808435e-07,3.914940760463281e-09
1859,1.262349769604043e-06,3.5645213447565993e-09
1860,1.1983067480514364e-06,3.204028736769615e-09
1861,1.0304380406722657e-06,2.3579818653196583e-09
1862,1.0323598704786718e-06,4.969785055708442e-09
1863,1.0453741552396423e-06,1.4983863039219614e-09
1864,1.1018284880037754e-06,4.794727948009836e-09
1865,1.028445485218299e-06,1.4120533631256649e-09
1866,1.0144803077594133e-06,4.865612968085742e-09
1867,1.0127817731131472e-06,3.396968040192405e-09
1868,1.0181080236648654e-06,2.469937032678615e-09
1869,1.1280929532730966e-06,1.953407657850903e-09
1870,9.88550018732326e-07,1.7202146374017957e-09
1871,1.255423162760394e-06,4.248470908407853e-09
1872,1.2245862084370174e-06,6.047339295989218e-10
1873,8.799426467476223e-07,1.1972008939764578e-09
1874,1.1536969939385244e-06,4.182226454041427e-09
1875,9.835304997096728e-07,4.577221879298321e-09
1876,9.661531734650453e-07,3.02300739996042e-09
1877,9.054570888622493e-07,6.80329748092845e-09
1878,1.0272490058582662e-06,1.8117265465633636e-09
1879,8.614148505614594e-07,3.6655952717623563e-09
1880,9.158266767173018e-07,2.5671385017744797e-09
1881,1.0647018857667945e-06,2.091752326904839e-09
1882,1.1307498866131027e-06,3.3276925659464496e-09
1883,9.63067265047357e-07,1.2638677882037541e-09
1884,1.1090850584594136e-06,2.6406787867472303e-09
1885,1.006163740768784e-06,6.445635691854079e-10
1886,9.512405583222971e-07,3.2267319927115068e-09
1887,1.1203634127099349e-06,3.917354773896875e-09
1888,1.0639551195623653e-06,6.340614699951175e-10
1889,9.855060216779066e-07,4.385595719913482e-09
1890,1.1502948300545768e-06,5.243509182406569e-09
1891,1.0804302590372572e-06,4.4619540284784875e-09
1892,1.0167527051407887e-06,3.761107425503951e-09
1893,1.178720943961764e-06,3.0792082772457263e-09
1894,1.2388825965103933e-06,5.041231432301174e-09
1895,1.431828437148397e-06,5.416753046105782e-09
1896,1.2708097258951057e-06,4.1279202278587945e-09
1897,1.1735000873258628e-06,4.661370844871726e-09
1898,1.1543043942907616e-06,1.13167097914868e-09
1899,1.2481271749464895e-06,1.1055156790007459e-09
1900,1.1954995891017006e-06,2.07642125715779e-09
1901,1.0842153104206886e-06,6.1476128077053716e-09
1902,1.0183928793594532e-06,3.928227187977029e-09
1903,1.2690518147451257e-06,4.860198243861191e-09
1904,1.2200399730488698e-06,2.1498500757388683e-09
1905,1.1869746128212455e-06,1.5482277126999122e-09
1906,1.1893354887604346e-06,4.115347562727578e-09
1907,1.2239966871163688e-06,4.628559036046198e-09
1908,1.2936599276258676e-06,3.929111258571538e-09
1909,1.3807468626225727e-06,3.85068837926994e-09
1910,1.3274870003243677e-06,4.2753204310130855e-09
1911,1.452994148110065e-06,9.044636151145369e-09
1912,1.3091276080956504e-06,2.083768435579003e-09
1913,1.5410487677058882e-06,6.893886517200798e-09
1914,1.5402510875617281e-06,5.357394972094198e-09
1915,2.8992455529675e-06,5.890381071793627e-09
1916,2.942442414166635e-06,8.789969641043172e-09
1917,2.743799454307805e-06,8.773139659190576e-09
1918,2.7509870408337633e-06,1.1486376294556067e-08
1919,2.8323340682256948e-06,2.762354567309444e-09
1920,2.0679765544429074e-06,3.786115865267448e-09
1921,1.8076148275980586e-06,6.815472908261455e-09
1922,1.6268348019821133e-06,8.115728977742265e-09
1923,1.692182074464199e-06,4.246379248229459e-09
1924,1.7919358361595528e-06,9.024137215263295e-09
1925,1.6937193585420118e-06,4.399271169575059e-09
1926,1.5638032682119274e-06,3.3438415369957397e-09
1927,1.7671521028717052e-06,1.1149224876660924e-09
1928,1.5562268345092889e-06,1.1426041224282812e-09
1929,1.5284637786550093e-06,3.342121912552898e-09
1930,1.3990800233898426e-06,2.100720708497761e-09
1931,1.3595184773507185e-06,4.5621426636444085e-09
1932,1.451042655364887e-06,2.1919073223131136e-09
1933,1.41089141614259e-06,4.588264879146209e-09
1934,1.38986324671464e-06,4.7926320689839486e-09
1935,1.4601306572714634e-06,4.787313656606784e-09
1936,1.476790199461675e-06,3.6374143697059935e-09
1937,1.7929752491596673e-06,6.295559185076627e-09
1938,1.9266308921572772e-06,1.2965214457594243e-09
1939,1.9989323973845785e-06,4.588215141154706e-09
1940,1.5392202232789032e-06,0.0
1941,2.0306337820130693e-06,2.9515025978810172e-09
1942,1.938861319272789e-06,3.034211770724937e-09
1943,1.9364578425218326e-06,2.9032352077962287e-09
1944,2.0018149449185785e-06,3.2131861615880553e-09
1945,2.230788129331529e-06,6.535512131478072e-09
1946,1.8974465021415199e-06,4.1763312808029696e-09
1947,1.6593852372182027e-06,5.960435478513659e-09
1948,1.727542962903783e-06,5.435943917220243e-09
1949,1.4126675145220702e-06,9.817008317369869e-10
1950,1.3751522009997075e-06,2.1270722960764488e-09
1951,1.361461002602482e-06,7.462981121975076e-09
1952,1.310719081715206e-06,4.217921456550755e-09
1953,1.2465318803833725e-06,2.1547654771580937e-09
1954,1.354473554648905e-06,6.840775279570721e-09
1955,9.864273540216573e-07,9.385607846468247e-10
1956,1.2331694585476782e-06,5.232684952005684e-09
