year,deviez_VERB avoir_VERB,deviez_VERB savoir_VERB
1800,4.4018303668735825e-08,2.2009151834367913e-08
1801,1.0715321963061797e-07,2.6193008650921e-08
1802,6.042168365638645e-08,1.3427040812530322e-08
1803,3.510610468993036e-08,7.801356893821776e-09
1804,1.1123329102247226e-07,3.213406074564773e-08
1805,3.980028751016107e-08,0.0
1806,3.1698359492793315e-08,3.458002950651462e-08
1807,1.4234775136401367e-08,2.2775640928784924e-08
1808,1.8128591960930862e-08,0.0
1809,2.25903047379461e-08,6.7770917766551975e-09
1810,3.2761775514700275e-08,9.360507036149102e-09
1811,4.262030373070047e-08,0.0
1812,6.934741492159446e-08,4.5342538612658245e-08
1813,3.4508900625951355e-08,5.7514832008109806e-08
1814,2.8320094713762956e-08,3.1466772298927026e-08
1815,2.6972236000233352e-08,3.776112933451259e-08
1816,4.4034472068688046e-08,2.0858434979231788e-08
1817,8.874178547557676e-08,1.71256075987003e-08
1818,6.556647491606782e-08,7.152706427149269e-09
1819,7.03871378959775e-08,7.24573512300708e-09
1820,6.170570543417853e-08,3.20394981656591e-08
1821,1.4693617345074017e-07,5.9168927535324656e-09
1822,8.421517350143404e-08,8.02049271442229e-09
1823,4.348382276475604e-08,3.162459805139406e-08
1824,7.326367779114662e-08,3.452656116564867e-08
1825,4.9310479255382234e-08,3.169959583715354e-08
1826,4.668231667892542e-08,1.4973572604048968e-08
1827,3.871254605769536e-08,2.488663675137559e-08
1828,5.1364885678140126e-08,2.2013523448549677e-08
1829,6.42988169374803e-08,1.971830521085849e-08
1830,5.9489963177838945e-08,1.0436835395921662e-08
1831,5.9246584527272717e-08,1.4032085715598441e-08
1832,3.2471927369215337e-08,1.352996914505411e-08
1833,2.4325620628928846e-08,9.266902800675325e-09
1834,2.5203233278148218e-08,1.4935249481595747e-08
1835,5.294161553592858e-08,1.0588323107185715e-08
1836,5.443807538085821e-08,3.293167694096155e-08
1837,7.653680000885288e-08,2.1569462660409044e-08
1838,5.9334322344284374e-08,1.4517972601879592e-08
1839,6.222413162504381e-08,3.8453112694014635e-08
1840,2.5478755105723394e-08,7.0066574764382494e-09
1841,2.632424944692957e-08,1.733548060656176e-08
