year,ses_DET sentiers_NOUN
1800,4.4018302336468196e-08
1801,9.048493865293494e-08
1802,6.265952379180817e-08
1803,3.7056443913385806e-08
1804,8.898663139689234e-08
1805,1.449867568226182e-07
1806,8.06867319624871e-08
1807,1.1103125263645097e-07
1808,7.931258672044805e-08
1809,6.77709144358829e-08
1810,9.360507080558023e-08
1811,2.5070768572277302e-08
1812,3.467370746079723e-08
1813,2.5881675469463516e-08
1814,4.090680150170556e-08
1815,1.0519171667056071e-07
1816,1.4600904307826568e-07
1817,7.940054624899773e-08
1818,7.152706160695743e-08
1819,7.14222423425781e-08
1820,6.407899810767503e-08
1821,1.5679766640630532e-07
1822,1.1729970594842598e-07
1823,4.842516754255399e-08
1824,8.926379724272238e-08
1825,1.0214313728162949e-07
1826,7.839106119789108e-08
1827,3.041700225026034e-08
1828,7.613009955775851e-08
1829,9.601956918459109e-08
1830,5.9489963177838945e-08
1831,6.548306430431694e-08
1832,7.035583848846727e-08
1833,7.297685833407286e-08
1834,6.720862111286863e-08
1835,9.907645193152348e-08
1836,1.3374293067469623e-07
1837,8.419047681229586e-08
1838,1.7358445347781526e-07
1839,1.2095251955557274e-07
1840,9.873017736694578e-08
1841,9.630822850326126e-08
1842,1.2276125627153078e-07
1843,1.459007022419634e-07
1844,8.232841874900032e-08
1845,1.0881444334476242e-07
1846,1.1591912851827146e-07
1847,1.2781940306183515e-07
1848,8.608387552788699e-08
1849,5.698002270015934e-08
1850,6.313766132137744e-08
1851,7.610338048635867e-08
1852,1.269556375582681e-07
1853,8.599581780011079e-08
1854,1.6210473285926952e-07
1855,1.3426550893314015e-07
1856,1.3719551689161946e-07
1857,1.0299984343209445e-07
1858,1.0570340047699744e-07
1859,1.339241590958551e-07
1860,9.200139605702873e-08
1861,1.1978548286606383e-07
1862,9.98474974367447e-08
1863,1.2986014780169697e-07
1864,1.4863657327168767e-07
1865,9.743167939113562e-08
1866,1.625114750547496e-07
1867,1.0773241676531597e-07
1868,1.1707501768043471e-07
1869,1.0011214091054654e-07
1870,9.575861215083137e-08
1871,1.0939812655763603e-07
1872,1.0099056690915376e-07
1873,5.566984045968226e-08
1874,5.914863132616688e-08
1875,5.8359578503086595e-08
1876,7.799359091897884e-08
1877,9.895705943563371e-08
1878,5.6163525385954927e-08
1879,6.292604837199178e-08
1880,5.583526396790717e-08
1881,6.135806529528054e-08
1882,6.655385376141965e-08
1883,3.665216602444232e-08
1884,4.951272547515373e-08
1885,4.834226896566207e-08
1886,5.2918402104751294e-08
1887,5.157850324621904e-08
1888,6.150396414383863e-08
1889,6.515742256851809e-08
1890,5.440140782297931e-08
1891,6.119251372282974e-08
1892,4.3879587741102455e-08
1893,5.357822280283031e-08
1894,3.654892766213891e-08
1895,3.009307203427625e-08
1896,7.017464453973332e-08
1897,3.612562338162206e-08
1898,6.111022987642656e-08
1899,6.411990938204326e-08
1900,4.723858337829512e-08
1901,3.129693837422565e-08
1902,3.977329976478927e-08
1903,4.5901870970865843e-08
1904,4.783416240883298e-08
1905,5.883265163930673e-08
1906,4.8869754465385995e-08
1907,4.3714168951325405e-08
1908,7.661766643352053e-08
1909,6.491160586818978e-08
1910,3.2599320576309765e-08
1911,5.7460042057755345e-08
1912,4.948950049765699e-08
1913,5.992378282471122e-08
1914,6.027069332503743e-08
1915,1.767114277129167e-08
1916,4.2851102222130066e-08
1917,1.7546279096336548e-08
1918,7.466144325007917e-08
1919,3.222746869369075e-08
1920,3.7103935923710196e-08
1921,5.2251955651172466e-08
1922,5.0907753901263675e-08
1923,3.8217414566332764e-08
1924,5.4144823624646676e-08
1925,3.079489729884699e-08
1926,3.4553028882555736e-08
1927,6.13207333799437e-08
1928,7.084145892122251e-08
1929,5.458799279267623e-08
1930,5.461873975320941e-08
1931,4.676196141417677e-08
1932,3.9454331357546835e-08
1933,4.244144902187941e-08
1934,3.1152108448395666e-08
1935,3.710168261505942e-08
1936,3.15242587589637e-08
1937,5.288269733227935e-08
1938,8.686693442339077e-08
1939,3.364691281149135e-08
1940,3.550096039361961e-08
1941,4.7224041566096275e-08
1942,2.730790527039062e-08
1943,7.258088219330716e-08
1944,8.354284375400312e-08
1945,1.5249527862692958e-08
1946,6.821341003160342e-08
1947,6.437270161363529e-08
1948,5.3272251943070614e-08
1949,5.5956945743673714e-08
1950,4.785912555149707e-08
1951,3.5182624369411997e-08
1952,3.268889103846817e-08
1953,7.326202844382124e-08
1954,2.149958033825783e-08
1955,4.3173795205575516e-08
1956,4.360570926564833e-08
1957,5.3010226985783504e-08
1958,4.218844251724363e-08
1959,4.650448615084457e-08
1960,5.467458463748187e-08
1961,6.531269458598388e-08
1962,4.1856913046700583e-08
1963,4.396916253313066e-08
1964,7.300761950546075e-08
1965,5.03428005949047e-08
1966,4.929776475925962e-08
1967,5.521975765532261e-08
1968,4.715986534620242e-08
1969,4.723428048691858e-08
1970,5.702418870434656e-08
1971,6.217461046009731e-08
1972,3.642404422521395e-08
1973,3.969506601197992e-08
1974,2.418995859176931e-08
1975,3.484002908393791e-08
1976,5.2564446795244635e-08
1977,4.2312830572655e-08
1978,4.33663159826736e-08
1979,5.208256381727949e-08
1980,3.922754054919153e-08
1981,3.6055631369436014e-08
1982,4.655626872906993e-08
1983,4.420721100295566e-08
1984,3.827345756990397e-08
1985,4.451512802816637e-08
1986,5.994485374749559e-08
1987,3.666490189235816e-08
1988,5.3369330232921897e-08
1989,4.774666395590543e-08
1990,4.3044344200104945e-08
1991,2.989347080983862e-08
1992,5.014049264673304e-08
1993,3.655877023334142e-08
1994,5.2749264289886355e-08
1995,3.63304210604376e-08
1996,3.8968074766998484e-08
1997,3.7400177177460137e-08
1998,5.721754958720737e-08
1999,5.849857648287937e-08
2000,5.964342353337315e-08
2001,5.082205722928279e-08
2002,5.914648981697468e-08
2003,4.2919305276445385e-08
2004,5.1536056311363154e-08
2005,7.115924660627826e-08
2006,5.1885412577501455e-08
2007,6.630835902576848e-08
2008,8.046560751040488e-08
2009,9.107247755935077e-08
2010,9.164158321084415e-08
2011,1.590772393811335e-07
2012,1.5863817637296052e-07
2013,1.4587124130827078e-07
2014,1.1780021935692275e-07
2015,1.4695894146043997e-07
2016,1.578361059628719e-07
2017,3.136967317018957e-07
2018,1.672790368445476e-07
2019,1.571408514422501e-07
