year,avais_VERB eu_VERB,avais_VERB su_VERB
1800,1.320549074534938e-07,3.144164395507687e-08
1801,5.9529565277216534e-08,2.8574191901498125e-08
1802,1.0741632650024258e-07,2.6854081625060644e-08
1803,5.070882025393075e-08,1.5602713787643552e-08
1804,1.8291696335381857e-07,1.1617699158250616e-07
1805,1.051864728651708e-07,1.421438877713399e-08
1806,1.9019016406218725e-07,3.1698359492793315e-08
1807,9.964342950752325e-08,3.701041606518629e-08
1808,9.744118045773575e-08,2.7192887941396293e-08
1809,1.5587310997489112e-07,6.09938268780752e-08
1810,1.8018975822542416e-07,2.8081521108447305e-08
1811,1.0279014617253779e-07,2.5070768572277302e-08
1812,1.1735716043403954e-07,1.0668832928217853e-08
1813,1.4091133948568313e-07,5.751483289628823e-09
1814,1.541871768040437e-07,1.5733386149463513e-08
1815,1.9150287755564932e-07,3.776112933451259e-08
1816,6.257530316133852e-08,1.8540831092650478e-08
1817,1.9149543106777855e-07,2.490997452753163e-08
1818,1.6928072454902576e-07,5.48374146092101e-08
1819,6.314140676977331e-08,4.968504185853817e-08
1820,1.4239776646718383e-07,5.22125169766241e-08
1821,2.1793889004584344e-07,1.0255947557880063e-07
1822,2.666813827545411e-07,9.724847416237026e-08
1823,2.1346603773508832e-07,1.2649839220557624e-07
1824,2.4168593881768174e-07,6.736890156844311e-08
1825,1.2767893053933221e-07,7.660735690251386e-08
1826,1.4621254251778737e-07,5.6371099788066203e-08
1827,1.769716391208931e-07,3.7790819362726324e-08
1828,2.1463185362335935e-07,4.953042775923677e-08
1829,2.5976723350140674e-07,7.372931065674493e-08
1830,3.0162456710058905e-07,8.76694201679129e-08
1831,1.2784788339104125e-07,1.262887678876723e-07
1832,1.7994858581005246e-07,8.929779937716376e-08
1833,2.884323464513727e-07,5.09679658478035e-08
1834,2.4176435431400023e-07,1.101474680353931e-07
1835,2.3521204184362432e-07,8.395027606411531e-08
1836,1.4852857077585213e-07,6.25029770162655e-08
1837,2.3239356039539416e-07,7.72325918774186e-08
1838,1.5843527023662318e-07,5.1759727170974656e-08
1839,1.587064843988628e-07,5.033862038317238e-08
1840,1.9554944685751252e-07,7.707323135264232e-08
1841,1.5024083666048682e-07,9.823439484080154e-08
1842,2.0594373495441687e-07,7.915753030829364e-08
1843,1.890211507316053e-07,4.8436671562512856e-08
1844,1.531308555513533e-07,5.1592476069117765e-08
1845,1.4229581779545697e-07,6.473064217971114e-08
1846,1.299699334822435e-07,5.444686124178588e-08
1847,1.5424619448367594e-07,5.177494699637464e-08
1848,1.5527277241744741e-07,3.781254065415851e-08
1849,1.1814974953949786e-07,3.77073661184113e-08
1850,2.0570658421092958e-07,4.8880771430503955e-08
1851,1.883236109279096e-07,3.805168802273329e-08
1852,1.386746220077839e-07,3.1250618093281446e-08
1853,1.409375869343421e-07,5.6733352238325097e-08
1854,1.3093074358039303e-07,4.520228102933288e-08
1855,1.6610712805231742e-07,7.270503488143731e-08
1856,1.7861303547306306e-07,6.471486813097727e-08
1857,1.8403289914203924e-07,6.101886640408338e-08
1858,1.888958962581455e-07,7.04689355757182e-08
1859,1.7109702810103045e-07,7.892868580938739e-08
1860,2.5128738911917026e-07,7.46080957014783e-08
1861,2.1882071621348587e-07,6.413710451624866e-08
1862,2.2544750777342415e-07,4.789065499721801e-08
1863,1.8579989102818217e-07,6.942522645658755e-08
1864,2.2295485280210414e-07,6.472883029573495e-08
1865,2.0145293433415645e-07,7.154403647291474e-08
1866,1.761351882123563e-07,6.033359767343427e-08
1867,2.309938338385109e-07,5.095451882652924e-08
1868,1.9710097376446356e-07,6.718228462432307e-08
1869,2.2659529008706158e-07,8.301982745706482e-08
1870,2.1846726383500936e-07,6.76617730732687e-08
1871,2.2623108009156567e-07,8.178306387662815e-08
1872,2.648734493959637e-07,6.893966997267853e-08
1873,2.603912037102418e-07,8.500126114086015e-08
1874,2.945482435734448e-07,1.0156835372754358e-07
1875,2.1913449188559753e-07,1.0642040138009179e-07
1876,2.73884467105745e-07,9.310862481015647e-08
1877,1.94203224168632e-07,7.916564470633602e-08
1878,2.5424563432352443e-07,6.280652087298222e-08
1879,2.7614149189503223e-07,1.2096464274691243e-07
1880,2.400274468072894e-07,6.738738278500023e-08
1881,2.635607927459205e-07,9.831235558976914e-08
1882,2.715397044994461e-07,8.785108462916469e-08
1883,2.2244073250021756e-07,8.088753844504026e-08
1884,2.1587548815205082e-07,7.459917839014452e-08
1885,1.9659188410514616e-07,4.1252068427866107e-08
1886,2.458769756685797e-07,8.26043375923291e-08
1887,2.448346663186385e-07,7.965287807110144e-08
1888,2.2001933075443958e-07,7.22830080235326e-08
1889,2.518584949484648e-07,4.9494580878217675e-08
1890,2.457894936469529e-07,4.129263331265065e-08
1891,2.1672347827461635e-07,4.5894385181100006e-08
1892,2.60143252717171e-07,5.641661005029164e-08
1893,2.2355051498834655e-07,5.480990594719515e-08
1894,2.476504903370369e-07,5.986462525697789e-08
1895,2.6301344746570976e-07,6.801034402315054e-08
1896,2.5652076374171884e-07,4.9535042734305534e-08
1897,2.0043894721766264e-07,3.903898004864459e-08
1898,2.540601258260722e-07,4.9793523970720344e-08
1899,1.9788730298841983e-07,5.472302433418008e-08
1900,2.211388618889032e-07,7.890400866017444e-08
1901,2.0566558589507622e-07,6.035838140405758e-08
1902,2.170345396734774e-07,4.4192553616539954e-08
1903,1.7172700950141007e-07,5.562226945698967e-08
1904,2.079979992686276e-07,6.342057901065346e-08
1905,2.0333391148597002e-07,6.347733716438597e-08
