year,nos_DET eaux_NOUN,nos_DET sots_NOUN
1800,1.6978488170948935e-07,1.5720821977538435e-08
1801,2.5240534040626983e-07,7.143547975374531e-09
1802,5.572221937200084e-07,1.1189200677108602e-08
1803,5.558466682487051e-07,1.755305234496518e-08
1804,1.9033252907085796e-07,1.2359254952798437e-08
1805,2.4448747981686836e-07,5.685755422035754e-09
1806,1.123850950079941e-07,1.729001475325731e-08
1807,1.7366425675291453e-07,5.693910232196231e-09
1808,2.1074488509853495e-07,2.945896149242344e-08
1809,3.4789070069152217e-07,9.036122072814123e-09
1810,6.248138508802015e-07,9.360507036149102e-09
1811,2.0307322312618226e-07,0.0
1812,5.521120840512594e-07,2.6672083208723052e-08
1813,2.5594099395398473e-07,2.300593315851529e-08
1814,1.5733385794192145e-07,3.1466771410748606e-09
1815,2.0498898534171417e-07,0.0
1816,2.0394914201915526e-07,2.3176038865813098e-09
1817,4.125714561098448e-07,1.8682481339737933e-08
1818,9.393887872022333e-07,9.536941680821087e-09
1819,2.950049129424315e-07,1.5526575580793178e-08
1820,2.7530235424677585e-07,2.3732962262101864e-09
1821,4.4376696273218386e-07,4.141825171721791e-08
1822,3.258325307342602e-07,1.5038423839541792e-08
1823,2.2137218458340158e-07,9.882686669016039e-09
1824,2.206331588539001e-07,1.6842225392110777e-08
1825,1.6994505336320742e-07,1.2327620702023978e-08
1826,1.8849086469430176e-07,2.642395191543301e-09
1827,5.382887540150705e-07,7.373818611267069e-09
1828,4.797113555277122e-07,7.337841001486822e-09
1829,9.199018062844289e-07,4.286587973467704e-09
1830,3.965997514843167e-07,9.39315203396518e-09
1831,3.710706950599274e-07,2.0268567268999504e-08
1832,3.0983630083802893e-07,9.470978667991403e-09
1833,1.646033624069787e-06,2.548398292390175e-08
1834,4.060521003879103e-07,1.213489042584115e-08
1835,4.250455489795968e-07,1.0588323107185715e-08
1836,3.75017862097593e-07,4.032449929525228e-09
1837,4.049492597912874e-07,4.87052354003481e-09
1838,2.670044372266034e-07,5.680945491803868e-09
1839,2.7126923396458835e-07,1.3982949909063791e-08
1840,2.223021389191615e-07,0.0
1841,3.5698249689630757e-07,3.2102742686390684e-09
1842,2.5223075894587055e-07,5.366612043644636e-09
1843,3.538239612410621e-07,3.5441467538532834e-09
1844,3.507190520779524e-07,5.488561272137815e-10
1845,3.1026068048056743e-07,1.4508592549589139e-08
1846,3.2199757704631793e-07,4.0981511517657054e-09
1847,2.1518961723643315e-07,8.089835468183537e-09
1848,2.244616927882248e-07,8.045221711050488e-10
1849,4.7678869941059077e-07,2.0948537127196687e-08
1850,2.0706437897644037e-07,4.752297222410107e-09
1851,3.3021126988330707e-07,6.449438760824933e-10
1852,5.462347409945778e-07,4.557382027314816e-09
1853,5.303075720775041e-07,1.3735443671336611e-08
1854,3.7720523471396206e-07,4.156531674404107e-09
1855,3.0886374702276953e-07,7.960405667972736e-09
1856,2.7335559593666403e-07,1.5531567143511893e-09
1857,3.8075769914769353e-07,1.9526036343364694e-09
1858,3.2445070619058214e-07,8.808616946964776e-09
1859,2.7344970776610467e-07,8.147477359443656e-09
1860,3.7212506143191604e-07,8.238931314963338e-09
1861,3.437937690087267e-07,4.244367413086536e-09
1862,3.3930077683597126e-07,3.162590411776023e-09
1863,4.1255567762021883e-07,4.994620717013731e-09
1864,3.015883973667144e-07,4.794728170054441e-09
1865,3.751355008851931e-07,2.165148416111151e-08
