year,vingt - trois hommes
1800,4.1337223422033276e-08
1801,0.0
1802,9.854017157806538e-09
1803,1.499999058296453e-08
1804,2.7184055007012375e-09
1805,2.18556461817343e-08
1806,3.1599316496766505e-09
1807,1.868969157214906e-08
1808,2.7391629853212862e-08
1809,3.4593430342511056e-08
1810,3.0771484915703695e-08
1811,1.9315123722662975e-08
1812,1.1683667366924055e-08
1813,9.441196269222019e-09
1814,2.751503025422153e-08
1815,2.3651340441688262e-08
1816,2.0265126465801586e-08
1817,1.535511273687007e-08
1818,3.258307401665661e-08
1819,4.748558168898853e-08
1820,5.179490614182214e-08
1821,4.6441382295370204e-08
1822,2.3026000661729995e-08
1823,4.4263074983064143e-08
1824,1.6537569536012597e-08
1825,3.075425425436151e-08
1826,4.4208718463778496e-08
1827,4.0242618126740126e-08
1828,6.214326786491142e-08
1829,1.498479029748978e-08
1830,2.0545057211052153e-08
1831,7.53037241452148e-08
1832,1.0081865298161574e-07
1833,4.1823472685109664e-08
1834,2.04574863715834e-08
1835,3.817818594598066e-08
1836,3.671744708277913e-08
1837,5.010051973286522e-08
1838,3.5099439521513176e-08
1839,4.50912152061278e-08
1840,4.940562803312787e-08
1841,2.8781139693734303e-08
1842,3.814308247029885e-08
1843,2.6462130264803818e-08
1844,2.6927882146310367e-08
1845,2.4401618503588907e-08
1846,6.27847281386984e-08
1847,3.1220179441682205e-08
1848,2.554614653149656e-08
1849,2.7522634837851e-08
1850,3.8636345900400215e-08
1851,3.6704555839151e-08
1852,2.710742208478223e-08
1853,3.2685208761762397e-08
1854,2.386937225651309e-08
1855,3.374316959181556e-08
1856,3.969798001435265e-08
1857,1.4979153029059944e-08
1858,3.5382520024995756e-08
1859,2.731387716004008e-08
1860,1.906833141385178e-08
1861,2.8917524819149776e-08
1862,3.8618462983031066e-08
1863,1.6996100526966984e-08
1864,3.149723681872274e-08
1865,2.7861869256184946e-08
1866,2.1357225321594342e-08
1867,1.9696327901996824e-08
1868,3.0836496023312066e-08
1869,1.714339958880373e-08
1870,2.3248166058920106e-08
1871,4.665970176898071e-08
1872,3.316755847748709e-08
1873,2.0993358273990737e-08
1874,3.5397885289611963e-08
1875,2.1375699432724105e-08
1876,1.1953496192873558e-08
1877,4.22068717753632e-08
1878,3.6557604943254773e-08
1879,3.225854072752554e-08
1880,1.1307172587127212e-08
1881,2.920069164247252e-08
1882,2.2715664182992867e-08
1883,1.8113184285795114e-08
1884,1.8914590782515006e-08
1885,3.2669585370292964e-08
1886,3.911304347070654e-08
1887,2.0887609863962098e-08
1888,3.704180218111475e-08
1889,3.595312170201481e-08
1890,2.3855617037327193e-08
1891,3.3730594761749444e-08
1892,1.5217814564039145e-08
1893,1.3585883529287912e-08
1894,2.5747596332781342e-08
1895,2.8560417975054264e-08
1896,3.51235136530903e-08
1897,2.447899838387002e-08
1898,2.6843147649113774e-08
1899,9.150615598585432e-09
1900,1.7208012792480076e-08
1901,9.251019006395467e-09
