year,leurs_DET eaux_NOUN,leurs_DET sauts_NOUN
1800,2.37384421630793e-06,7.860410988769218e-08
1801,2.4002320841987057e-06,3.5717739876872656e-08
1802,2.9673759058823634e-06,5.147032311469957e-08
1803,2.1278201174368405e-06,1.345734048641134e-07
1804,3.220821721328093e-06,1.2853624298259092e-07
1805,2.1748014358280443e-06,1.421438877713399e-08
1806,1.948008243601862e-06,4.3225035994964855e-08
1807,2.334503134804322e-06,1.0249038240317532e-07
1808,2.0893201906346803e-06,3.852325791697808e-08
1809,2.069272007076961e-06,1.0617443280125372e-07
1810,2.2114197371081445e-06,1.8721014516387413e-08
1811,1.9028712952007254e-06,1.0028307073639553e-08
1812,2.02974537266698e-06,3.200649700829672e-08
1813,1.9785103546610117e-06,7.476928232108548e-08
1814,1.9540865867639923e-06,2.8320094713762956e-08
1815,1.801745327156823e-06,2.1577788444915313e-08
1816,1.5921939109375671e-06,4.6352077731626196e-08
1817,1.3046598770216633e-06,9.341240314597599e-08
1818,1.6534673044077408e-06,2.741870730460505e-08
1819,1.3715141626846616e-06,5.072014364060351e-08
1820,1.664867284034699e-06,1.542642635854463e-08
1821,1.3411623509540505e-06,3.4515207469887343e-08
1822,1.7695212051194176e-06,3.709477880420309e-08
1823,1.4280482449890997e-06,3.162459771832715e-08
1824,1.7524335866880847e-06,4.7158231097910175e-08
1825,1.8350543555811782e-06,4.402721387464226e-08
1826,1.8408687090243347e-06,4.844391554570393e-08
1827,1.3263655525008744e-06,4.239945700090786e-08
1828,1.5528705574752166e-06,3.944089499441361e-08
1829,1.8449474730175552e-06,5.829759786024624e-08
1830,1.7147720896559804e-06,5.4271545479878114e-08
1831,1.8849768714801485e-06,1.5591206103948707e-09
1832,1.4341768022063661e-06,1.488296597074168e-08
1833,2.2703911355392847e-06,3.359252431778259e-08
1834,1.9247802338639985e-06,3.080395316601425e-08
1835,1.8537128951834347e-06,1.5882484660778573e-08
1836,1.6707784595837438e-06,3.36037508930076e-08
1837,1.6810264291677868e-06,3.896418832027848e-08
1838,1.8191650958954142e-06,5.807188974138455e-08
1839,1.5234424424193094e-06,4.544459031308179e-08
1840,1.603250655790589e-06,2.7389661649834807e-08
1841,1.357303966997847e-06,2.6966304744746594e-08
1842,1.4758182649288187e-06,3.4212151778234556e-08
1843,1.3916682206627229e-06,1.4176587015413133e-08
1844,1.4314167691154012e-06,1.6465683927435748e-08
1845,1.4346766352701934e-06,2.399498022498392e-08
1846,1.3178481932385466e-06,4.098150996334482e-08
1847,1.2911377176294536e-06,1.1325769655456952e-08
1848,1.242986698457571e-06,2.654923170197776e-08
1849,1.4136072472581418e-06,2.011059585527164e-08
1850,1.3306432302684357e-06,1.0183494048021657e-08
1851,1.3118157955460674e-06,1.9993259492423476e-08
1852,1.3424744675916145e-06,2.4740073101270355e-08
1853,1.461928928137013e-06,2.20961471342207e-08
1854,1.3550292843333978e-06,1.454786069388092e-08
1855,1.4100531942062844e-06,2.4411910715116392e-08
1856,1.3900753312867664e-06,1.2425253714809514e-08
1857,1.4498081668534724e-06,2.9777205146075403e-08
1858,1.3071008506670978e-06,2.202154192332273e-08
1859,1.2455456204207849e-06,3.666364989385329e-08
1860,1.2436208720600916e-06,2.013961006297471e-08
1861,1.342634897483208e-06,6.130753071875716e-09
1862,1.3874736257690756e-06,1.7168348548368684e-08
1863,1.2971030667330297e-06,2.0477944673302773e-08
1864,1.458556289080093e-06,1.2466292886870178e-08
1865,1.2684945289720417e-06,2.5416959203994338e-08
1866,1.2431641103205493e-06,2.2868380966656332e-08
1867,1.1714686873887104e-06,1.6014277903764196e-08
1868,1.3061026660210473e-06,2.6675320063951347e-08
1869,1.3317356568620653e-06,1.6603964647643465e-08
1870,1.406562120109811e-06,2.121598008386627e-08
1871,1.1173478124959502e-06,1.274541272522356e-08
1872,1.1465755296313773e-06,1.5723081503438152e-08
1873,1.2187505653571407e-06,1.1972009328342637e-08
1874,1.3251683341763965e-06,1.5533982988813477e-08
1875,1.2764727213010474e-06,2.0597497041308088e-08
1876,1.4395560707924915e-06,1.6928840551599933e-08
1877,1.478171014923646e-06,1.6699003069220453e-08
1878,1.2029865033014175e-06,5.012443438090486e-08
1879,1.3183924245652179e-06,2.1993571408529533e-08
1880,1.2457039346713827e-06,1.9253539207397807e-08
