year,soyez_VERB en_ADP,soyez_VERB sans_ADP
1800,2.0122652699683385e-07,1.6978488304175698e-07
1801,6.572063853127474e-07,2.1906879510424915e-07
1802,2.2825969381301547e-07,1.767893706983159e-07
1803,2.7304750460643845e-07,1.9893460390107975e-07
1804,3.9549615848955e-07,1.9033251952293995e-07
1805,3.3261667908845993e-07,1.9047280286343948e-07
1806,6.743105700479646e-07,1.7578182109900808e-07
1807,1.7366426163789583e-07,1.451947113650931e-07
1808,2.22075257738652e-07,1.0423940466353088e-07
1809,1.2650571079575457e-07,2.033127426415149e-07
1810,3.603795164508483e-07,2.386929338626942e-07
1811,2.6575014544505393e-07,8.022645658911642e-08
1812,2.1337666566978442e-07,8.535066342574282e-08
1813,1.6104152678053651e-07,1.0640243885973177e-07
1814,1.4160046646338742e-07,2.454408196683744e-07
1815,1.6183341244868643e-07,2.0768621666888976e-07
1816,2.0858435334503156e-07,2.2712517733225468e-07
1817,2.1796228111270466e-07,1.4011860294260714e-07
1818,4.172412104708201e-07,8.225612369017199e-08
1819,3.5090059213871427e-07,1.3352854644210765e-07
1820,4.0227371300716186e-07,1.5070430592345474e-07
1821,3.7375039596554416e-07,2.810524151186655e-07
1822,3.1480433904107485e-07,2.757044370582662e-07
1823,4.081549604961765e-07,1.8974758830836436e-07
1824,2.913704975071596e-07,1.6842225747382145e-07
1825,3.0554886620848265e-07,1.3472327964336728e-07
1826,2.589547420939198e-07,1.6206691100251192e-07
1827,3.336652980578947e-07,1.4747636711831547e-07
1828,3.824849557076959e-07,2.2563860824220683e-07
1829,2.297611132462407e-07,2.1261476490508358e-07
1830,1.9203777412712952e-07,1.7742620173066825e-07
1831,2.1204040479005926e-07,1.4499821432423232e-07
1832,2.0700852587651752e-07,2.489514372427948e-07
1833,2.108220371610514e-07,1.714377013684043e-07
1834,2.00692412022363e-07,2.0162586622518575e-07
1835,3.1991862670111004e-07,3.516835960226672e-07
1836,3.635925907019555e-07,2.3455417164086612e-07
1837,3.103219228250964e-07,1.9134200712755955e-07
1838,2.789975610539841e-07,1.963082425504581e-07
1839,2.9713768867623003e-07,1.9436300391362238e-07
1840,2.0828882441037422e-07,2.0701487812857522e-07
1841,2.7544152203518024e-07,1.9261645434198726e-07
1842,2.36130929920364e-07,2.622931631890424e-07
1843,2.6462961955076025e-07,1.7189110934623386e-07
1844,2.3820355465886678e-07,2.047233280677574e-07
1845,3.119347411484341e-07,1.964240254892502e-07
1846,2.4881632043616264e-07,1.9495488956522422e-07
1847,1.7851570532911865e-07,1.4238110068731658e-07
1848,2.2607072480695933e-07,1.745813094089499e-07
1849,2.32109798048441e-07,2.078094851754031e-07
1850,2.545873485360062e-07,1.446056181464428e-07
1851,2.5088317556765105e-07,1.412427081959322e-07
1852,2.884171692585369e-07,1.692741804504294e-07
1853,2.2932218257665227e-07,1.5646461548612933e-07
1854,3.190137931596837e-07,1.834069607298261e-07
1855,2.8710530841635773e-07,2.451804874681329e-07
1856,2.485050742961903e-07,2.1174704656345966e-07
1857,2.650659496339358e-07,2.2259681742298199e-07
1858,2.911737340127729e-07,2.1140679962172726e-07
1859,2.749773670984723e-07,2.5359023680948667e-07
1860,2.572377297838102e-07,2.8653171568748803e-07
1861,2.971057142531208e-07,1.9429770148349235e-07
1862,4.671597935157479e-07,1.9833960607229528e-07
1863,3.401336812203226e-07,2.312509437274457e-07
1864,2.8432737053663004e-07,2.2870852589562674e-07
1865,3.2618430623188033e-07,2.23104429153409e-07
1866,2.5009251203300664e-07,2.1165416086432742e-07
1867,2.906834026816796e-07,2.300232679885994e-07
1868,2.3513800329055812e-07,1.7487154480022582e-07
1869,2.515012340609246e-07,2.8226740056425115e-07
1870,2.328023782638411e-07,2.4885770955052067e-07
1871,2.8783389893760614e-07,2.3047954300636775e-07
1872,2.6729239266387594e-07,2.6789713558628137e-07
1873,2.909198144607217e-07,2.1190454901898192e-07
1874,2.037341744198784e-07,2.628828070783129e-07
1875,2.345826146665786e-07,1.7221796966282454e-07
1876,2.3095776668924373e-07,2.31562367503102e-07
1877,2.2512730879498122e-07,2.4553718702691185e-07
1878,2.0532901601200138e-07,1.7815311537106027e-07
1879,2.510932688437606e-07,2.06495201382495e-07
1880,2.37460312746407e-07,1.527447395233139e-07
1881,2.3009275196272938e-07,2.015054789694659e-07
1882,2.15634472056081e-07,2.1696556018468982e-07
1883,2.5024581873367424e-07,1.6999021568153694e-07
1884,2.099339582173343e-07,2.0795344823909545e-07
1885,2.1721791654272238e-07,1.5920720031203928e-07
1886,1.755342111664504e-07,1.9424926733790926e-07
1887,2.3438839491518593e-07,1.9260327377423891e-07
1888,1.7183066347570275e-07,1.718306563702754e-07
1889,1.5349584714385855e-07,1.7417079689607817e-07
1890,1.7434668109217455e-07,1.5271720243958953e-07
1891,1.5808065256806003e-07,1.5871807335088306e-07
1892,1.5107114847978664e-07,1.623544712003877e-07
1893,1.250158589982675e-07,1.3179011304487176e-07
1894,1.4304494300176884e-07,1.4241478751841896e-07
1895,1.3120579467340576e-07,1.330113796882415e-07
1896,1.2501701007749944e-07,1.5155364607721822e-07
1897,1.637306468182942e-07,1.2177831010262707e-07
1898,1.5956560162067035e-07,1.3580051572148477e-07
1899,1.475863484756701e-07,1.8683215330383973e-07
1900,1.3548648780670192e-07,1.598844399097743e-07
1901,1.005972976031444e-07,1.33570861038379e-07
1902,1.1637372665518342e-07,1.0949932871540113e-07
1903,1.3338544135876873e-07,8.748357060994749e-08
