year,dernières_ADJ sorties_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,1.7081731584767113e-08
1808,0.0
1809,1.581321384946932e-08
1810,0.0
1811,0.0
1812,1.0668832928217853e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,0.0
1817,2.6466848268569265e-08
1818,1.9073883805731384e-08
1819,0.0
1820,0.0
1821,1.1833785507064931e-08
1822,2.105379337535851e-08
1823,4.941343334508019e-09
1824,6.736890156844311e-09
1825,0.0
1826,1.145037931138404e-08
1827,0.0
1828,7.337841001486822e-09
1829,0.0
1830,1.0436835840010872e-09
1831,1.2472964883158966e-08
1832,0.0
1833,0.0
1834,0.0
1835,3.025235173481633e-09
1836,8.736974699274924e-09
1837,1.8090515752078318e-08
1838,5.680945713848473e-09
1839,1.11863602825224e-08
1840,2.229391071750797e-08
1841,7.704658244733764e-09
1842,1.341653010911159e-09
1843,2.953455480181333e-09
1844,1.6465684371524958e-09
1845,3.9061593959388574e-09
1846,1.1709002656346001e-09
1847,1.941560512364049e-08
1848,9.65426583121598e-09
1849,1.0893239199560867e-08
1850,1.0183494048021657e-08
1851,6.449438760824933e-10
1852,7.161600201754936e-09
1853,1.7915795513800958e-09
1854,6.234797567117312e-09
1855,2.7596072982305486e-08
1856,4.659470143053568e-09
1857,3.4170564155999728e-09
1858,7.82988140990426e-09
1859,4.073738679721828e-09
1860,7.781213007262977e-09
1861,4.715963619617014e-09
1862,0.0
1863,9.989241656072068e-10
1864,1.4384183844029508e-09
1865,3.294791106611683e-09
1866,6.3252967308358166e-09
1867,5.82337378318698e-09
1868,4.93987406535723e-10
1869,1.0255390314739543e-08
1870,1.4335121534259088e-08
1871,4.991953161948004e-08
1872,2.4189358072135292e-08
1873,2.9930022904522957e-09
1874,1.2546679251101978e-08
1875,6.865832347102696e-09
1876,4.836811839936672e-09
1877,6.184816214727107e-09
1878,2.113680963589104e-08
1879,1.7717043832021773e-08
1880,5.776061406947974e-09
1881,3.4862537301449947e-09
1882,1.7304001787010748e-08
1883,1.0742875922176154e-08
1884,5.281357573494461e-09
1885,4.511945039809007e-09
1886,7.098810428374236e-09
1887,7.834709769838355e-09
1888,6.340614699951175e-09
1889,6.891650361495749e-09
1890,6.554386366985909e-09
1891,5.736798147637501e-09
1892,1.002961980134387e-08
1893,1.0469308087124318e-08
1894,7.561847148451761e-09
1895,7.824198844375019e-09
1896,1.179405795248556e-08
1897,6.992056267307589e-09
1898,1.3014216371232123e-08
1899,5.527578395003729e-09
1900,4.671947717582725e-09
1901,6.706486921359556e-09
1902,5.892340837476695e-09
1903,1.2420506401156217e-08
1904,6.449550227216605e-09
1905,4.64468330463319e-09
1906,9.773950537805831e-09
1907,1.2857108266928208e-08
1908,1.1296195090437777e-08
1909,1.0451868703853506e-08
1910,9.085056262847502e-09
1911,1.5961122201701983e-08
