year,es_VERB en_ADP,es_VERB sans_ADP
1800,2.2009151834367913e-08,1.8864987794131594e-08
1801,2.3811825400343878e-08,5.2386017301842e-08
1802,5.147032311469957e-08,6.713520406265161e-09
1803,2.145373123596528e-08,9.751696339321825e-09
1804,1.9774807569206132e-08,3.9549615138412264e-08
1805,2.842877711017877e-09,8.528632911009026e-09
1806,2.5935023018064385e-08,1.729001475325731e-08
1807,1.4234775136401367e-08,1.1387820464392462e-08
1808,3.3991110370834576e-08,6.798221985349073e-09
1809,2.25903047379461e-08,4.518061036407062e-09
1810,1.1700633351097167e-08,9.360507036149102e-09
1811,1.0028307073639553e-08,7.521229861140455e-09
1812,2.400487453257938e-08,0.0
1813,2.5881675469463516e-08,5.751483289628823e-09
1814,3.4613449884091096e-08,3.1466771410748606e-09
1815,1.6183340889597275e-08,1.8880564667256294e-08
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,3.42512151974006e-08,3.113746815941454e-09
1818,1.9073883805731384e-08,2.384235386898581e-08
1819,2.3807414706311647e-08,3.519356894798875e-08
1820,1.0679833017945839e-08,1.898636980968149e-08
1821,6.7058117281249e-08,3.254291058851777e-08
1822,4.912551787583652e-08,1.7043547018147365e-08
1823,5.5343047478118024e-08,2.569498569471307e-08
1824,2.863178316658832e-08,9.263223965660927e-09
1825,1.7610886970942374e-08,8.805443485471187e-09
1826,1.2331177856594877e-08,2.642395191543301e-09
1827,1.474763688946723e-08,2.3964910056406552e-08
1828,1.6510142586412258e-08,1.6510142586412258e-08
1829,1.0287811491593857e-08,1.2002446148073886e-08
1830,2.400472176589119e-08,1.982998831806526e-08
1831,3.4300654760954785e-08,1.091384405071949e-08
1832,3.6530916958099624e-08,1.8941957335982806e-08
1833,2.7800709290204395e-08,1.2741991461950875e-08
1834,2.0535967593104942e-08,2.9870498963191494e-08
1835,4.689114518896531e-08,1.1344631900556124e-08
1836,6.653542783396915e-08,1.747394939854985e-08
1837,2.365682938432201e-08,1.3915782304252389e-08
1838,4.292270006089893e-08,2.0830134062066463e-08
1839,2.516931019158619e-08,2.027527834513876e-08
1840,3.567025785855549e-08,1.9109066329292546e-08
1841,4.687000298986277e-08,1.7977535904378783e-08
1842,2.750388716776797e-08,2.884553929050071e-08
1843,3.18973185642335e-08,1.4176587015413133e-08
1844,3.732221642849254e-08,1.811225303072206e-08
1845,1.7298706467272496e-08,1.9530798311961917e-08
1846,4.0981507964943376e-08,9.367202125076801e-09
1847,1.88762818709165e-08,2.9123407685460734e-08
1848,2.252662056889676e-08,1.850401076808339e-08
1849,1.0893239199560867e-08,2.1786478399121734e-08
1850,1.9009188889640427e-08,2.308258650884909e-08
1851,3.418202609850596e-08,9.029214709244116e-09
1852,1.7578472011337e-08,2.4740073101270355e-08
1853,2.8665272822081533e-08,7.763511611358354e-09
1854,1.0391328686409906e-08,1.2469595134234623e-08
1855,2.1227748447927297e-08,1.1144567935161831e-08
1856,2.329735160344626e-08,2.7439103433835044e-08
1857,4.002837528105374e-08,2.0990489346672803e-08
1858,3.425573069648635e-08,4.893675864536817e-08
1859,2.7497735644033128e-08,1.884104072757964e-08
1860,1.9681891672007623e-08,1.327383358784573e-08
1861,3.6312922446768425e-08,1.9335450573976232e-08
1862,2.3945327498609004e-08,1.671654992208005e-08
1863,4.894728533599846e-08,3.696019490462277e-08
1864,2.3973639073915365e-08,1.726102105692462e-08
1865,2.729969672543575e-08,2.2122168985561075e-08
1866,4.865612979187972e-08,2.968023871119385e-08
1867,4.804283548764943e-08,2.2808213984149006e-08
1868,6.91582400236257e-08,9.87974857480367e-09
