year,autres_ADJ herbes_NOUN,autres_ADJ serbes_NOUN
1800,3.898763907272951e-07,0.0
1801,3.47652644450136e-07,0.0
1802,4.3414098627181374e-07,0.0
1803,7.723343173893227e-07,0.0
1804,6.229064410945284e-07,0.0
1805,5.458325063045777e-07,0.0
1806,1.7866348400730203e-07,0.0
1807,2.3629726797480544e-07,0.0
1808,4.4188442416270846e-07,0.0
1809,5.760527983511565e-07,0.0
1810,2.4805342491163174e-07,0.0
1811,1.579458341893769e-07,0.0
1812,1.5469807124190993e-07,0.0
1813,1.6966875193702435e-07,0.0
1814,2.580275122454623e-07,0.0
1815,2.022917726662854e-07,0.0
1816,2.2248997311180574e-07,0.0
1817,3.876614869113837e-07,0.0
1818,2.7537919322639937e-07,0.0
1819,1.9666994433009677e-07,0.0
1820,1.5426425648001896e-07,0.0
1821,1.4299158124231326e-07,0.0
1822,1.7043547018147365e-07,0.0
1823,1.7393529105902417e-07,0.0
1824,1.288430269141827e-07,0.0
1825,1.2944001070991362e-07,7.044354433105582e-09
1826,1.761596877258853e-07,0.0
1827,1.97249647726494e-07,0.0
1828,1.7610818758839741e-07,0.0
1829,1.0545006290385572e-07,8.57317605795771e-10
1830,1.753388403358258e-07,0.0
1831,1.6682589887295762e-07,0.0
1832,1.0282776941039629e-07,0.0
1833,1.5985406776053424e-07,0.0
1834,1.5962048394158046e-07,0.0
1835,1.5428699384756328e-07,0.0
1836,1.498727197346561e-07,0.0
1837,1.7185990941470664e-07,0.0
1838,1.432860727845764e-07,0.0
1839,1.2165166651811887e-07,0.0
1840,8.280595231724419e-08,5.095750932326837e-09
1841,1.4125207314918953e-07,0.0
1842,8.586579269831418e-08,2.5491406319133603e-08
1843,9.332919148619112e-08,3.071593823733565e-08
1844,1.4983772633758718e-07,7.683985892015244e-09
1845,7.310098482093963e-08,0.0
1846,1.2528633419606194e-07,0.0
1847,9.11454804963796e-08,0.0
1848,1.1424214818589462e-07,0.0
