year,vingt - trois heures
1800,6.545059960672006e-08
1801,6.275958952528526e-08
1802,1.3302923207447748e-07
1803,7.071423624438467e-08
1804,4.34944880112198e-08
1805,9.366705633340189e-09
1806,9.479794726985347e-09
1807,4.3609279742895524e-08
1808,6.225370441370615e-08
1809,5.436110228629332e-08
1810,1.2052164777287544e-07
1811,2.4833731515627733e-08
1812,1.1099483998577853e-07
1813,7.238250532282109e-08
1814,9.974198178497318e-08
1815,1.4782088442188979e-07
1816,1.2665704041125991e-08
1817,2.3885730726647125e-08
1818,8.210934510088919e-08
1819,6.783654526998362e-09
1820,6.215388737018657e-08
1821,3.7801125785108525e-08
1822,7.346390873408382e-08
1823,5.0740599277787624e-08
1824,8.085034153282322e-08
1825,4.805352205039526e-08
1826,9.898909070216177e-08
1827,1.4084916344359044e-08
1828,2.004621502127435e-08
1829,2.9033031978542567e-08
1830,2.6252017448769038e-08
1831,2.7383171286032848e-08
1832,7.56139897362118e-08
1833,8.998383549396749e-08
1834,1.0637893244069829e-07
1835,3.402838189003887e-08
1836,6.609140867919194e-08
1837,3.643674162390198e-08
1838,4.955215149315961e-08
1839,4.585547397351064e-08
1840,4.314294343998881e-08
1841,4.3522700110543155e-08
1842,3.887660326995501e-08
1843,6.196010815529007e-08
1844,2.752627992208545e-08
1845,3.0502022241307714e-08
1846,2.8189061362926537e-08
1847,3.534359649393082e-08
1848,1.233262297839488e-08
1849,6.605432323336657e-08
1850,4.160837185906985e-08
1851,6.282126463474924e-08
1852,3.923442548625644e-08
1853,5.164263106038902e-08
1854,3.466742060087569e-08
1855,3.14160549796938e-08
1856,2.892281569799593e-08
1857,4.226260941209148e-08
1858,5.414597620267969e-08
1859,3.121586006349375e-08
1860,5.7204996295467936e-08
1861,3.1499446606630954e-08
1862,2.4260316977553487e-08
1863,5.098830158090095e-08
1864,7.926804601599002e-08
1865,6.397910817801389e-08
1866,5.3926992649167005e-08
1867,3.0875323631107676e-08
1868,5.7345059367719387e-08
1869,6.053762957591857e-08
1870,5.026630844895408e-08
1871,4.899268901681353e-08
1872,5.240473921475086e-08
1873,4.985922519296082e-08
1874,4.457511693090055e-08
1875,6.035491395550707e-08
1876,5.511889833442751e-08
1877,1.2049380870848836e-07
1878,3.190482011916629e-08
1879,2.8898275772348825e-08
1880,4.522869079259806e-08
1881,3.919040325595091e-08
1882,6.301765154148598e-08
1883,3.274306559220008e-08
1884,5.456131768610817e-08
1885,4.5453337094158996e-08
1886,3.6979606488074523e-08
1887,4.1775217951567356e-08
1888,8.107262505774315e-08
1889,6.291796239565883e-08
1890,6.14462858372633e-08
1891,5.410949660555886e-08
1892,5.741266306813486e-08
1893,7.268447621555651e-08
1894,5.9149883213649446e-08
1895,6.1106007365197e-08
1896,6.439311056594121e-08
1897,5.99091247721617e-08
1898,7.491110920465616e-08
1899,7.198483786829968e-08
1900,1.3078090432827594e-07
1901,6.475713121290028e-08
1902,2.433218604380727e-08
1903,3.516985458418276e-08
1904,3.739192899754329e-08
1905,4.273422149481121e-08
1906,3.518907315536168e-08
1907,4.3196042298632165e-08
1908,5.804604952253101e-08
1909,2.365765539025233e-08
1910,3.951900140464204e-08
1911,3.9341130408931946e-08
1912,3.793496317072709e-08
1913,3.4521491443229024e-08
1914,4.5796881842363746e-08
1915,1.0780120618392175e-07
1916,1.269802893943961e-07
1917,2.0865570071748607e-07
1918,1.4027842398789403e-07
1919,1.003359675344484e-07
1920,1.4183740226769714e-07
1921,1.2368300161824664e-07
1922,1.335597383800291e-07
1923,6.921534545512031e-08
1924,6.127094254182452e-08
1925,5.8488893728281255e-08
1926,1.0370390879366198e-07
1927,7.405607904686917e-08
1928,6.831891363745513e-08
1929,1.0120954407888405e-07
1930,8.021797270885145e-08
1931,4.6725620705956317e-08
1932,8.611462409824355e-08
1933,9.642862730530055e-08
1934,1.3141434906938088e-07
1935,6.897144211315265e-08
1936,1.046938886695159e-07
1937,1.1297548341282493e-07
1938,1.0040878239969686e-07
1939,9.487618513048801e-08
1940,5.629230059867041e-08
1941,5.2495416458242516e-08
1942,5.7194722291598055e-08
1943,6.101608129860381e-08
1944,1.6327471996646636e-07
1945,1.0573032716010289e-07
1946,1.2163913654106295e-07
1947,1.4352932498074011e-07
1948,2.5387658775244404e-07
1949,1.8711809501859022e-07
1950,2.0114326026998697e-07
1951,1.6046720929807634e-07
1952,1.483395823953515e-07
1953,1.3932665687832468e-07
1954,9.185714744397444e-08
1955,1.412744337070393e-07
1956,1.080451763613155e-07
1957,9.192049854611639e-08
1958,1.0795723470735652e-07
1959,1.1060996030209935e-07
1960,1.4694462535658204e-07
1961,9.66184234840739e-08
1962,9.582133397856296e-08
1963,6.27632115168808e-08
1964,1.3959531042218032e-07
1965,1.3093483319792654e-07
1966,1.0876823197669694e-07
1967,1.200446968496749e-07
1968,1.0721827337079048e-07
1969,1.148330346367743e-07
1970,9.306494153094036e-08
1971,1.0596041466470751e-07
1972,8.98827643425193e-08
1973,1.0541376971318073e-07
1974,1.2065422883011934e-07
1975,1.155748750036878e-07
1976,1.0981780196317459e-07
1977,1.0196617594715462e-07
1978,7.983033123437622e-08
1979,8.438292908863332e-08
1980,1.1333617733200185e-07
1981,8.842788901120002e-08
1982,1.0364445657273791e-07
1983,8.816252972110306e-08
1984,9.36115349681188e-08
1985,9.185695226676671e-08
1986,1.158703710757436e-07
1987,9.667698463999841e-08
1988,8.824989894407054e-08
1989,1.1754223105953088e-07
1990,9.014693347353386e-08
1991,1.0545076900569939e-07
1992,1.1949370914976498e-07
1993,1.510451816955083e-07
1994,1.2470479449078198e-07
1995,1.1442695591057372e-07
1996,1.0675363615320066e-07
1997,1.2562176721075957e-07
1998,1.2746272437524908e-07
1999,1.316077731239318e-07
2000,1.339223967278258e-07
2001,1.1035948510595972e-07
2002,1.241069966795294e-07
2003,1.470289996419183e-07
2004,1.8035417692630062e-07
2005,1.5156250832148999e-07
2006,1.902665447417462e-07
2007,1.9240935955622263e-07
2008,1.9804049777860655e-07
2009,2.1540827077615177e-07
2010,3.5047361990336867e-07
2011,3.944640880604311e-07
2012,5.088159866772912e-07
2013,5.575152179915221e-07
2014,6.227403552827582e-07
2015,5.56471547952242e-07
2016,5.56616090108264e-07
2017,7.000439623539023e-07
2018,7.108049793203008e-07
2019,6.480762628768844e-07
