year,aux_ADP âges_NOUN,aux_ADP ages_NOUN,aux_ADP sages_ADJ
1800,2.0122652699683385e-07,3.144164484325529e-09,1.0690159513160324e-07
1801,1.6668277891263017e-07,2.3811825844433088e-09,1.166779455274991e-07
1802,1.991677720525331e-07,4.475680270843441e-09,1.0741632650024258e-07
1803,2.691468239390815e-07,3.900678446910888e-09,1.1311967540450496e-07
1804,2.2988213288499537e-07,1.2359254952798437e-08,2.0763548103097662e-07
1805,2.4448747915073454e-07,0.0,1.1087223139583102e-07
1806,2.5935023018064385e-07,2.881669125542885e-09,1.21030105049158e-07
1807,1.9074599766355504e-07,0.0,1.6227643584443285e-07
1808,2.311395519427606e-07,2.2660739951163578e-09,1.450287356874469e-07
1809,1.6942729530455836e-07,6.7770917766551975e-09,6.325285539787728e-08
1810,2.5507381451461697e-07,0.0,1.3338723192646285e-07
1811,1.9555199060050654e-07,2.5070767684098882e-09,1.0529722516139373e-07
1812,1.3336041604361526e-07,8.00162469616339e-09,1.0135391192989118e-07
1813,2.3005932803243923e-07,1.1502966579257645e-08,8.339650747757332e-08
1814,3.3354777428939997e-07,9.440030979135372e-09,2.3914746005715415e-07
1815,2.939973740012647e-07,0.0,2.2926400333744823e-07
1816,4.843791998609959e-07,0.0,1.3905623674759227e-07
1817,2.942490830992739e-07,1.556873407970727e-09,1.401186011662503e-07
1818,1.9073883095188648e-07,2.384235475716423e-09,2.1696543228699738e-07
1819,2.5360071731483913e-07,3.105315005136333e-09,1.9874015588783323e-07
1820,3.061552149574709e-07,1.1866481131050932e-09,1.1747816497376107e-07
1821,4.4278081645643397e-07,9.861488070583846e-09,2.120220032875153e-07
1822,3.18814585398286e-07,4.010246357211145e-09,2.165533032894018e-07
1823,3.033984796729783e-07,2.9648061783404955e-09,1.46263769096322e-07
1824,2.509491467961311e-07,1.6842225392110777e-09,1.5579059109427362e-07
1825,3.786340414535516e-07,7.044354655150187e-09,1.3472327964336728e-07
1826,2.968290777616289e-07,8.807984341885344e-10,1.6206691610953783e-07
1827,2.8297027898638305e-07,4.608636583469661e-09,1.7604990887321037e-07
1828,2.7608625430275424e-07,4.586150570418113e-09,1.3391559150477406e-07
1829,2.8977333954571804e-07,1.628903412154159e-08,1.2945495148075636e-07
1830,4.23735525778568e-07,1.6698936899928185e-08,1.2941676175159955e-07
1831,2.1671776551102084e-07,1.5591206103948707e-09,2.1515865000765189e-07
1832,4.3160601137515187e-07,0.0,1.420646739136444e-07
1833,4.7377039891216555e-07,9.266902467608418e-09,1.6332916530359398e-07
1834,3.173740541484449e-07,1.8669061851994684e-09,1.7642263561157279e-07
