year,tes_DET sentiers_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,6.713520406265161e-09
1803,0.0
1804,2.4718509905596875e-08
1805,4.264316544322355e-08
1806,1.729001475325731e-08
1807,3.701041606518629e-08
1808,2.4926813058101516e-08
1809,1.129515236897305e-08
1810,2.106114038724627e-08
1811,1.7549536934780008e-08
1812,0.0
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,4.045835311217161e-08
1816,6.952811659743929e-09
1817,7.784367150875937e-09
1818,2.384235386898581e-08
1819,2.2772310259711048e-08
1820,3.2039500830194356e-08
1821,1.7750678704686607e-08
1822,1.4035862250239006e-08
1823,2.075364236020505e-08
1824,2.0210670470532932e-08
1825,1.2327619813845558e-08
1826,1.145037931138404e-08
1827,5.530363722527909e-09
1828,2.9351363395324626e-08
1829,1.1145129263923081e-08
1830,2.5048406016026092e-08
1831,2.9623292263636358e-08
1832,1.7588959622116818e-08
1833,2.3167256557599103e-08
1834,1.4935249481595747e-08
1835,1.1344631900556124e-08
1836,1.68018754465038e-08
1837,2.0873671680021744e-08
1838,3.219202726612025e-08
1839,3.2859933440931854e-08
1840,2.993753778213204e-08
1841,2.6966303856568175e-08
1842,2.884553929050071e-08
1843,1.6539350389255247e-08
1844,2.250310204843231e-08
1845,1.8972775184256108e-08
1846,2.8101606375230404e-08
1847,3.343798482546845e-08
1848,5.631655086713039e-09
1849,7.54147322368226e-09
1850,9.504594444820214e-09
1851,1.8058427864175997e-08
1852,1.2370036550635177e-08
1853,1.3138249821409431e-08
1854,1.6106559475037585e-08
1855,3.078023524949458e-08
1856,2.485050742961903e-08
1857,1.0739319711294826e-08
1858,1.4191660291373864e-08
1859,2.5460866748261424e-08
1860,2.1970482988464823e-08
1861,1.9807048445841247e-08
1862,2.7107917910385027e-08
1863,2.3474717281146695e-08
1864,2.5412057458318316e-08
1865,2.023943146411966e-08
1866,1.702964524952222e-08
1867,8.249779526181555e-09
1868,7.903798504571569e-09
1869,9.767038733343725e-09
1870,1.0894693147633916e-08
1871,1.4869647957382881e-08
1872,1.269941218851045e-08
1873,9.57760748487857e-09
1874,7.169530746864439e-09
1875,6.293679966073995e-09
1876,1.3905834483907142e-08
1877,1.1751150275074451e-08
1878,1.6305539085603726e-08
1879,1.588424503040642e-08
1880,2.5671385017744797e-09
1881,1.6036766581351003e-08
1882,1.1979693681496428e-08
1883,6.319339107552224e-09
1884,1.650424241717019e-08
1885,7.734762830224895e-09
1886,1.0325542587619196e-08
1887,1.0446279397058333e-08
1888,2.53624587998047e-09
1889,3.759082101151279e-09
1890,1.245333464128251e-08
1891,8.92390783491237e-09
1892,1.2537024751679837e-09
1893,1.1085149687062312e-08
1894,6.301539068331863e-09
