year,bonnes_ADJ herbes_NOUN
1800,2.2009151834367913e-08
1801,5.9529565277216534e-08
1802,8.056224487518193e-08
1803,1.560271414291492e-07
1804,9.145848167690929e-08
1805,8.812921237222326e-08
1806,2.881669125542885e-08
1807,1.0533734240425474e-07
1808,1.1330369886763947e-07
1809,1.4683698168482806e-07
1810,8.190443878675069e-08
1811,2.757784400841956e-08
1812,6.13457871168066e-08
1813,0.0
1814,3.4613449884091096e-08
1815,5.394447111228828e-09
1816,5.3304887615013286e-08
1817,1.8682481339737933e-08
1818,1.1921176934492905e-08
1819,2.070209959015301e-08
1820,1.898636980968149e-08
1821,9.861488514673056e-09
1822,2.105379337535851e-08
1823,1.8777104315859106e-08
1824,3.03160057057994e-08
1825,2.8177417732422327e-08
1826,8.80798456392995e-09
1827,8.295545583791863e-09
1828,1.0089530988466322e-08
1829,2.4004892296147773e-08
1830,3.757260813586072e-08
1831,4.8332740476553226e-08
1832,2.705993873419743e-09
1833,2.0850531967653296e-08
1834,2.8937046536725575e-08
1835,1.9664028627630614e-08
1836,1.68018754465038e-08
1837,1.1828414692161004e-08
1838,2.209256599883247e-08
1839,3.146163862766116e-08
1840,1.3376346252869098e-08
1841,5.264849889385914e-08
1842,2.4820581145945653e-08
1843,3.0125246297529884e-08
1844,3.4577936958157807e-08
1845,1.5066614622583074e-08
1846,1.5807152919933287e-08
1847,1.1865092020002521e-08
1848,4.82713291560799e-09
1849,3.1841775438579134e-08
1850,1.8330290174617403e-08
1851,3.224719336003545e-08
1852,4.7526981461487594e-08
1853,4.837264810930719e-08
1854,3.013485283531736e-08
1855,2.4942604426314574e-08
1856,1.5531567143511893e-08
1857,3.856392183365642e-08
1858,1.5170396494568195e-08
1859,3.208069188076479e-08
1860,2.9751696217772405e-08
1861,2.0278644541349422e-08
1862,2.2138133104476765e-08
1863,2.447364266799923e-08
1864,2.7329949858767577e-08
1865,3.247722446531043e-08
1866,2.77339928800302e-08
1867,2.6690463172940326e-08
1868,2.766329387782207e-08
1869,2.2952539424636598e-08
1870,7.454262984651905e-09
1871,2.3366590440332402e-08
1872,1.0885210954825197e-08
1873,9.577607151811662e-09
1874,2.9873046258899194e-08
1875,1.6592428764283795e-08
1876,2.7207066821688386e-08
1877,8.658742167710898e-09
1878,3.925407554561389e-08
1879,4.520900631632685e-08
1880,9.626769603698904e-09
1881,3.2770785196589713e-08
1882,3.394246306243076e-08
1883,1.8958017378167824e-08
1884,1.1883054540362536e-08
1885,2.320428826863008e-08
1886,4.130216879616455e-08
1887,2.8074376601239237e-08
1888,2.3460273723685532e-08
1889,1.8168895721260014e-08
1890,3.0150179242127706e-08
1891,2.2309770031370135e-08
1892,2.3193495124473884e-08
1893,2.278614097406262e-08
1894,1.764431090123253e-08
1895,2.1065151400989635e-08
1896,4.8945342001616154e-08
1897,1.8645483379486905e-08
1898,1.6975064909274806e-08
1899,2.7637891975018647e-08
