year,les_DET sentiers_NOUN
1800,1.7607320614843047e-06
1801,2.138301963272582e-06
1802,1.969299319171114e-06
1803,1.7006957904186493e-06
1804,1.9898399230555697e-06
1805,1.9985430235180957e-06
1806,1.5733912945847806e-06
1807,1.5942948117242395e-06
1808,1.7698038305979935e-06
1809,2.0421635014145068e-06
1810,2.1458962109477397e-06
1811,1.4616257573152325e-06
1812,1.2829272115766344e-06
1813,1.3055867011946276e-06
1814,1.5261384440634629e-06
1815,1.4888674222390819e-06
1816,1.515712980904027e-06
1817,1.3280130058967998e-06
1818,1.5759796383463254e-06
1819,1.4470767452090527e-06
1820,1.6874136363753678e-06
1821,1.7375942427122482e-06
1822,1.6642522950860439e-06
1823,1.545652207113335e-06
1824,1.738959795716255e-06
1825,1.7963103786655665e-06
1826,1.4577213985900173e-06
1827,1.4812157971277884e-06
1828,1.5492016309792689e-06
1829,1.2268215474620092e-06
1830,1.428802818281838e-06
1831,1.5606797845180154e-06
1832,1.941550574646733e-06
1833,1.9205656300869123e-06
1834,1.6820824697560965e-06
1835,1.7523674884500906e-06
1836,1.8347647952055013e-06
1837,1.5989233190794039e-06
1838,1.6720917099810606e-06
1839,1.6450940876211462e-06
1840,1.6586669673301913e-06
1841,1.8799365646415822e-06
1842,1.8924015883214906e-06
1843,1.8264169110437933e-06
1844,1.8962979188019702e-06
1845,1.8091099511785558e-06
1846,1.7867937955884372e-06
1847,1.8002580022269399e-06
1848,1.4771027423421401e-06
1849,2.042901453780388e-06
1850,1.8527170437820928e-06
1851,1.9561148221214353e-06
1852,1.8268590504799676e-06
1853,2.0328455221374497e-06
1854,2.356753394938682e-06
1855,2.206624369449628e-06
1856,2.255701360254214e-06
1857,2.047304957120133e-06
1858,2.283878566045061e-06
1859,2.438641872881675e-06
1860,2.5407948434086336e-06
1861,2.2542306672979073e-06
1862,2.2775169555844244e-06
1863,2.2415859038393826e-06
1864,2.1063240538410355e-06
1865,1.979698729892565e-06
1866,2.116055042300502e-06
1867,1.8280541063120381e-06
1868,1.8974056423815e-06
1869,2.0579150117328027e-06
1870,1.8836349906514727e-06
1871,1.8820726523927078e-06
1872,1.954500064016429e-06
1873,1.7137930541366586e-06
1874,1.801344669427607e-06
1875,1.7542202523368466e-06
1876,1.8573357010165381e-06
1877,1.90801579247335e-06
1878,1.8322595538022846e-06
1879,1.7857558157752251e-06
1880,1.6975203662727978e-06
1881,1.6413283034921733e-06
1882,1.8308964300217667e-06
1883,1.5855221557892207e-06
1884,1.7804776302199343e-06
1885,1.6790880455475055e-06
1886,1.763086277861703e-06
1887,1.964553398181579e-06
1888,1.7519118529207844e-06
1889,1.8237813228516586e-06
1890,1.8601348810154406e-06
1891,1.7458988151863863e-06
1892,1.8028241186573979e-06
1893,1.7890199652814687e-06
1894,1.992546682760832e-06
1895,1.804380609371492e-06
1896,1.7638013311560563e-06
1897,1.7649115271467508e-06
1898,1.7110864618530286e-06
1899,1.915858623746658e-06
1900,1.6798247874927341e-06
1901,1.5804954078824096e-06
1902,1.4269284585033404e-06
1903,1.6929690627165428e-06
1904,1.7446033382384485e-06
1905,1.6968575264897368e-06
1906,1.6867781118534708e-06
1907,1.7681095432209304e-06
1908,1.8270367174721969e-06
1909,1.7636152724875842e-06
1910,1.7977723301143556e-06
1911,1.7003915311342155e-06
1912,1.6149205324111904e-06
1913,1.764834937301174e-06
1914,1.4431482622256908e-06
1915,1.4513898526358204e-06
1916,1.7942526067127318e-06
1917,1.727211834223752e-06
1918,1.6827540783026507e-06
1919,1.8793218998780503e-06
1920,1.6651338121675963e-06
1921,1.5955778529530562e-06
1922,1.6585599329488332e-06
1923,1.7123524229667453e-06
1924,1.6746219939633988e-06
1925,1.7234145117672739e-06
1926,1.586095489614081e-06
1927,1.9132069333238633e-06
1928,1.4968114330216054e-06
1929,1.480559996380748e-06
1930,1.4652527431380236e-06
1931,1.4165452597580952e-06
1932,1.4784415069968304e-06
1933,1.2411255969624335e-06
1934,1.2556696429300018e-06
1935,1.3045429945179876e-06
1936,1.454965691927157e-06
1937,1.3724318828067794e-06
1938,1.4832205827985945e-06
1939,1.1944652920092835e-06
1940,1.3084640286820104e-06
1941,1.579053895639504e-06
1942,1.693090132093289e-06
1943,1.8232316780775193e-06
1944,1.65479092295584e-06
1945,1.5903079901846695e-06
1946,1.7359616784062837e-06
1947,1.5902442047632803e-06
1948,1.5503311605602477e-06
1949,1.2487234899438704e-06
1950,1.3304837160887928e-06
1951,1.2612438720083219e-06
1952,1.3845327142547603e-06
1953,1.2896271632811818e-06
1954,1.2489301060014668e-06
1955,1.2886439648696069e-06
1956,1.3474163207405354e-06
1957,1.1609239494170254e-06
1958,1.19203030912729e-06
1959,1.175788398199984e-06
1960,1.2665124842214937e-06
1961,1.3528066187262766e-06
1962,1.3698626180058682e-06
1963,1.381795586397061e-06
1964,1.2429546849546114e-06
1965,1.2268321167852037e-06
1966,1.3343631177775706e-06
1967,1.3469676867217117e-06
1968,1.479023225670062e-06
1969,1.2453499778075638e-06
1970,1.2858034743601365e-06
1971,1.3935334486347983e-06
1972,1.3528197371215356e-06
1973,1.2570104779285884e-06
1974,1.0463563491214245e-06
1975,1.0326356409962045e-06
1976,1.16841628283737e-06
1977,1.218256830526343e-06
1978,1.435246900882703e-06
1979,1.3436131105493132e-06
1980,1.325777091665259e-06
1981,1.397946434167352e-06
1982,1.287436006691678e-06
1983,1.3123226239031283e-06
1984,1.2810010225905444e-06
1985,1.3312429771872303e-06
1986,1.385325553826533e-06
1987,1.2808271812048133e-06
1988,1.259276348974936e-06
1989,1.3808115042479585e-06
1990,1.3060416641508255e-06
1991,1.2080480047416131e-06
1992,1.2408394205465356e-06
1993,1.3637528795129583e-06
1994,1.3656784503268682e-06
1995,1.3805559788693245e-06
1996,1.4193987070143521e-06
1997,1.523817417137252e-06
1998,1.4461736270732217e-06
1999,1.504053216194734e-06
2000,1.5891659188582707e-06
2001,1.5435009146358425e-06
2002,1.6201756949385526e-06
2003,1.4538393742213884e-06
2004,1.4368429290811946e-06
2005,1.4871380642489385e-06
2006,1.7587507699090565e-06
2007,1.5822132652942855e-06
2008,1.7455502216989771e-06
2009,1.8643632557768797e-06
2010,1.8295249759603394e-06
2011,2.5601491842053292e-06
2012,2.7074022170836543e-06
2013,2.510770482189173e-06
2014,2.3499410701788292e-06
2015,2.4812344605606995e-06
2016,2.958909355754713e-06
2017,2.428068121673732e-06
2018,2.539647020682878e-06
2019,2.5879770682024628e-06
