year,tes_DET heures_NOUN,tes_DET soeurs_NOUN
1800,1.5720822421627645e-08,9.432493897065797e-09
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,1.3652374342143503e-08,9.751696339321825e-09
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,2.842877755426798e-08,1.4214388555089386e-08
1806,6.916005812485082e-08,2.881669125542885e-09
1807,8.540865348294346e-09,0.0
1808,6.798221985349073e-09,9.064295980465431e-09
1809,1.129515236897305e-08,1.581321384946932e-08
1810,7.020380277111826e-09,7.020380277111826e-09
1811,5.0141535368197765e-09,0.0
1812,1.0668832484128643e-08,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,1.0898113522728181e-08,1.556873407970727e-09
1818,1.0729059418679299e-08,1.1921177378582115e-09
1819,5.175524897538253e-09,1.035105001712111e-09
1820,2.254631326081835e-08,3.5599443393152796e-09
1821,3.648750634965836e-08,1.0847637343935901e-08
1822,2.4061478143266868e-08,3.0076847679083585e-09
1823,8.894418312976882e-09,0.0
1824,5.052667617633233e-09,1.6842225392110777e-09
1825,7.924898959288385e-09,8.805443041381977e-10
1826,2.1139162309502524e-08,6.1655889282974385e-09
1827,8.295545583791863e-09,0.0
1828,2.109629271274116e-08,3.668920500743411e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,1.878630406793036e-08,3.1310507520032616e-09
1831,1.5591206548037917e-08,3.1182412207897414e-09
1832,2.976593294068408e-08,1.3529969367098715e-09
1833,5.791814361444381e-09,0.0
1834,3.640467127752345e-08,2.8003592777992026e-09
1835,3.479020449503878e-08,5.294161553592858e-09
1836,2.083432448785061e-08,3.3603750337896088e-09
1837,2.5048407792382932e-08,1.3915781860163179e-09
1838,1.009945949093094e-08,6.312161904276081e-10
