year,aux_ADP âges_NOUN,aux_ADP ages_NOUN,aux_ADP sages_NOUN
1800,2.0122652699683385e-07,3.144164484325529e-09,6.06823724158545e-07
1801,1.6668277891263017e-07,2.3811825844433088e-09,7.619784518908546e-07
1802,1.991677720525331e-07,4.475680270843441e-09,8.727576812361804e-07
1803,2.691468239390815e-07,3.900678446910888e-09,6.026548244886243e-07
1804,2.2988213288499537e-07,1.2359254952798437e-08,7.168367499588157e-07
1805,2.4448747915073454e-07,0.0,1.0319646133183369e-06
1806,2.5935023018064385e-07,2.881669125542885e-09,5.359904342583377e-07
1807,1.9074599766355504e-07,0.0,4.6974759948525957e-07
1808,2.311395519427606e-07,2.2660739951163578e-09,6.616936127912254e-07
1809,1.6942729530455836e-07,6.7770917766551975e-09,4.924686676233136e-07
1810,2.5507381451461697e-07,0.0,7.37139923323582e-07
1811,1.9555199060050654e-07,2.5070767684098882e-09,6.167408841406541e-07
1812,1.3336041604361526e-07,8.00162469616339e-09,5.041023456442417e-07
1813,2.3005932803243923e-07,1.1502966579257645e-08,5.118820116667422e-07
1814,3.3354777428939997e-07,9.440030979135372e-09,6.608021863030444e-07
1815,2.939973740012647e-07,0.0,5.124724780092293e-07
1816,4.843791998609959e-07,0.0,5.863538010686398e-07
1817,2.942490830992739e-07,1.556873407970727e-09,6.803536966026869e-07
1818,1.9073883095188648e-07,2.384235475716423e-09,6.69970147804122e-07
1819,2.5360071731483913e-07,3.105315005136333e-09,8.177329325897986e-07
1820,3.061552149574709e-07,1.1866481131050932e-09,6.740161175855519e-07
1821,4.4278081645643397e-07,9.861488070583846e-09,9.575505319769917e-07
1822,3.18814585398286e-07,4.010246357211145e-09,8.591952536107783e-07
1823,3.033984796729783e-07,2.9648061783404955e-09,6.739992537418971e-07
1824,2.509491467961311e-07,1.6842225392110777e-09,5.709514150353812e-07
1825,3.786340414535516e-07,7.044354655150187e-09,6.965105503464741e-07
1826,2.968290777616289e-07,8.807984341885344e-10,6.28009268144325e-07
1827,2.8297027898638305e-07,4.608636583469661e-09,7.373818426970047e-07
