year,mieux_ADV eu_VERB,mieux_ADV su_VERB
1800,3.144164484325529e-09,1.7921737915926883e-07
1801,1.1905912700171939e-08,1.4287095706499997e-07
1802,1.5664880947952042e-08,1.2755688771903806e-07
1803,1.5602713787643552e-08,2.398917251511534e-07
1804,1.9774807569206132e-08,2.125791809248767e-07
1805,1.9900143755080535e-08,3.041879210741172e-07
1806,1.152667650217154e-08,1.7290015019710836e-07
1807,4.27043254092041e-08,9.110256593558574e-08
1808,1.3596443970698147e-08,1.4502872947019796e-07
1809,1.129515236897305e-08,1.423189246452239e-07
1810,1.1700633351097167e-08,1.9891076874500868e-07
1811,2.0056614147279106e-08,1.554387605295915e-07
1812,5.3344164641089264e-09,1.360276140616179e-07
1813,1.7254450312975678e-08,1.4378708113049754e-07
1814,2.2026739543434815e-08,1.1957373224902312e-07
1815,1.0788894222457657e-08,6.47333635583891e-08
1816,4.6352077731626196e-09,9.965696712299632e-08
1817,1.2454987263765815e-08,1.6502857969058482e-07
1818,1.9073883805731384e-08,1.4186200480992284e-07
1819,2.2772310259711048e-08,2.2254756970596645e-07
1820,8.306536791735653e-09,1.4121112901221977e-07
1821,8.875339574387908e-09,1.3510238705549682e-07
1822,8.02049271442229e-09,1.9349438673543773e-07
1823,8.894418535021487e-09,1.1167436042569534e-07
1824,5.894778887238772e-09,2.4505437767885496e-07
1825,1.0566531649658373e-08,1.7963103804419234e-07
1826,1.0569580766173203e-08,1.7175569277938507e-07
1827,7.373818444733615e-09,1.1245073272547756e-07
1828,1.0089530988466322e-08,1.5409465936588873e-07
1829,6.001223074036943e-09,1.1488055984276713e-07
1830,1.7742621594152297e-08,1.4715938645437632e-07
1831,3.897801548191637e-08,1.3096612860863388e-07
1832,2.976593194148336e-08,2.0294953628763324e-07
1833,1.3900354645102198e-08,1.251031923610313e-07
1834,9.334531370086552e-09,1.2881652367013885e-07
1835,1.4369867074037757e-08,8.621920244422654e-08
1836,1.9490174807401672e-08,8.199315215673408e-08
1837,1.3219993100221927e-08,9.880205320556001e-08
1838,1.0730675015224733e-08,1.2624323630916479e-07
1839,1.11863602825224e-08,1.1535933674977628e-07
1840,9.554533164646273e-09,1.1656530451986669e-07
1841,7.704658244733764e-09,9.181384674761262e-08
1842,1.1404051036834062e-08,1.2477372468566728e-07
1843,1.2404512972352677e-08,1.287706679620193e-07
1844,1.866110821424627e-08,1.037338102083396e-07
1845,8.928364714222425e-09,1.2555512346468234e-07
1846,1.1709002656346001e-08,1.3699533640831874e-07
1847,1.833696039454935e-08,1.0462853961001883e-07
1848,7.24069959545659e-09,7.562508130831702e-08
1849,5.865590679832167e-09,9.133562173246901e-08
1850,1.5614691761811628e-08,1.2491753409449302e-07
1851,1.096404567135778e-08,1.3479326343990294e-07
1852,9.765818376195057e-09,1.0156451057952154e-07
1853,1.2541057081705276e-08,9.913406939787706e-08
1854,7.79349651480743e-09,8.832629561084104e-08
1855,1.4328730202350926e-08,1.109149891931338e-07
1856,1.0354378687793542e-08,8.128186834710505e-08
1857,1.5620829074691756e-08,1.049524460672302e-07
1858,1.0276719919488642e-08,9.249047527859489e-08
1859,1.8331824946926645e-08,1.5683893539453209e-07
1860,1.373155189554609e-08,1.0619066354022877e-07
1861,1.650587222457034e-08,9.714885101930193e-08
1862,1.400575744270327e-08,9.623310862072465e-08
1863,1.3485475847119233e-08,1.0089134178103976e-07
1864,1.0068928801842958e-08,1.064429624442198e-07
1865,1.1296426905005319e-08,1.2143659122720862e-07
1866,1.1677471434268227e-08,1.2991186376654085e-07
1867,1.067618526917613e-08,1.2132028182065824e-07
1868,8.89177353968762e-09,9.237564713160396e-08
1869,8.30198221279943e-09,1.0401895655931526e-07
1870,9.17447806614291e-09,1.1296075941302774e-07
1871,1.1683295220166201e-08,1.1577082958957874e-07
1872,1.3304146229131675e-08,1.155041777778365e-07
1873,1.2570609442263958e-08,1.1373408170811672e-07
1874,8.364453130127458e-09,8.961913627869578e-08
1875,1.0298748520654044e-08,9.268873912837705e-08
1876,1.5115036333668286e-08,1.0036384878731042e-07
1877,7.421779191219002e-09,1.0514186954413418e-07
1878,9.662541877730746e-09,1.3406777010782633e-07
1879,5.498392852132383e-09,1.3440515544971277e-07
1880,1.0910338410496934e-08,1.2578978436650345e-07
1881,6.9725074602899895e-09,9.691785379795093e-08
1882,1.1314154946262533e-08,7.254369904785563e-08
1883,1.8326083761621703e-08,7.393626333396242e-08
1884,9.902545450302114e-09,9.04432511106279e-08
1885,7.7347630522695e-09,9.92627886553521e-08
1886,9.680196200179125e-09,9.357522706698873e-08
1887,1.828098916689669e-08,8.552891334057122e-08
1888,1.268122939990235e-08,1.0652233028984881e-07
1889,9.397704836544563e-09,1.1841108715771043e-07
1890,1.1797895993481688e-08,8.32407067719032e-08
1891,1.211101796627645e-08,9.242619114502304e-08
1892,1.1283322720601063e-08,8.274436380517614e-08
1893,6.15841644346915e-09,9.483961349587844e-08
1894,9.452309157609307e-09,1.0208493450569733e-07
1895,4.814891596538473e-09,1.2699276275007776e-07
1896,1.533227589334274e-08,1.5155364896379808e-07
1897,8.157399200570126e-09,1.182822828571517e-07
1898,1.7540900287826844e-08,1.1882544947994234e-07
1899,7.738609753005221e-09,9.673262013620842e-08
1900,2.0245106924221545e-08,6.540727071069341e-08
1901,1.4530721514915967e-08,7.377135347041985e-08
1902,1.0311596021495006e-08,4.8611809688736685e-08
1903,7.020286574288548e-09,6.75027536090056e-08
1904,1.6123875568041512e-08,7.201997931360893e-08
1905,8.773290538499623e-09,7.483100805671938e-08
1906,9.773950537805831e-09,1.1677298772383438e-07
1907,1.337139288182243e-08,9.359975255973652e-08
1908,8.349361202419914e-09,1.0215689383308302e-07
1909,7.151278680339601e-09,8.086445513200147e-08
1910,9.085056262847502e-09,9.405705347909077e-08
1911,6.916486494645824e-09,8.193376288545551e-08
1912,1.2502610502451716e-08,7.970414495073186e-08
1913,9.015082902408267e-09,7.848424643519536e-08
1914,1.2054139020278853e-08,1.1250529752260263e-07
1915,1.767114277129167e-08,8.482148672328549e-08
1916,9.888715624128963e-09,1.087758718654186e-07
