year,grandes_ADJ orties_NOUN,grandes_ADJ sorties_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,0.0,2.1430643926123594e-08
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,0.0,4.4857802805609026e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,0.0
1806,0.0,8.933174200365102e-08
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739951163578e-09
1809,6.7770917766551975e-09,9.036122294858728e-09
1810,0.0,0.0
1811,0.0,4.763445815569867e-08
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,3.776012391654149e-08
1815,5.394447111228828e-09,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,2.6226590676969863e-08
1819,0.0,2.4842520929269085e-08
1820,0.0,3.085285271708926e-08
1821,0.0,0.0
1822,0.0,3.5089655625597516e-08
1823,0.0,1.0376821535373892e-07
1824,0.0,2.6105450245950124e-08
1825,0.0,4.0505039322624725e-08
1826,0.0,8.279505436803447e-08
1827,0.0,1.0599863742299931e-07
1828,1.8344602503717056e-09,2.5682442839070063e-08
1829,0.0,1.971830521085849e-08
1830,1.0436835395921662e-08,1.6698937344017395e-08
1831,0.0,4.677361609140007e-09
1832,2.570694235259907e-08,0.0
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,0.0
1835,0.0,2.2689263801112247e-09
1836,0.0,3.2259599436201825e-08
1837,0.0,3.1310509740478665e-08
1838,0.0,1.04781889831429e-07
1839,0.0,5.2436064379435265e-08
1840,2.5478754661634184e-09,1.4013314952876499e-08
1841,0.0,1.4767261191650505e-08
1842,0.0,4.695785538189057e-09
1843,4.134837805480629e-09,6.497602011990011e-09
1844,0.0,2.360081374774836e-08
1845,5.580227946389016e-10,4.464182357111213e-09
1846,0.0,4.27378594736183e-08
1847,1.0786447290911383e-09,3.235934187273415e-09
1848,1.6090443422100975e-09,2.252662056889676e-08
1849,0.0,1.75967720394965e-08
1850,0.0,3.394497838371535e-08
1851,0.0,4.901573547044791e-08
1852,1.3021090872200602e-09,9.114764054629632e-09
1853,1.1943863675867306e-09,1.0152284346531815e-08
1854,5.7152309551611324e-09,3.533051895487915e-08
1855,2.1227748447927297e-09,1.0083180512765466e-08
1856,2.5885946719483854e-09,4.038207634948776e-08
1857,5.369659827891837e-09,3.221796163188628e-08
1858,1.9574704079872163e-09,3.6213201326518174e-08
1859,3.5645213447565993e-09,3.106225676674512e-08
1860,3.204028820036342e-09,5.950338888283113e-09
1861,2.357981809808507e-09,1.5091083938045813e-08
1862,1.3553959066214816e-09,8.584174260306554e-09
1863,4.994620828036034e-10,1.0189026539153545e-07
1864,1.4384183844029508e-09,3.835782358407869e-09
1865,1.4120533631256649e-09,8.943004559114343e-09
1866,7.784980660119345e-09,3.989802621617855e-08
1867,4.85281148598915e-09,8.249779526181555e-09
1868,3.951899252285784e-09,9.87974857480367e-09
1869,2.9301114867763545e-09,2.3440891894210836e-08
1870,6.307453670473251e-09,6.880858549607183e-09
1871,1.0621177271019633e-09,1.083360103848463e-07
1872,0.0,9.433849423867713e-08
1873,5.986004469882289e-10,7.602225371439175e-08
1874,5.974609140757536e-10,6.034355237716227e-08
1875,5.721527140956084e-10,2.4030413214859436e-08
1876,0.0,2.2370254981751714e-08
1877,1.8554447978047506e-09,1.4843558715504912e-08
1878,3.019544336790858e-09,3.0195443923020093e-09
1879,6.10932526790009e-10,5.498392852132383e-09
1880,1.2835692508872398e-09,1.3477476912271413e-08
1881,8.367009307619355e-09,1.3945015142624584e-09
1882,5.324308105514319e-09,1.8635077481121698e-08
1883,4.423537092179686e-09,2.338155447034751e-08
1884,0.0,9.902545450302114e-09
1885,1.5469526104539e-08,1.160214413431504e-08
1886,1.2906927748801422e-09,1.5488312854472497e-08
1887,2.6115698492645834e-09,7.1818169189441505e-09
1888,1.268122939990235e-09,9.510921827882157e-09
1889,6.265136742733546e-10,8.14467782106476e-09
1890,6.554386478008212e-10,9.176140736144589e-09
1891,1.2748440081367107e-09,4.461953917456185e-09
1892,4.387958441043338e-09,8.149066310636499e-09
1893,4.926733243593162e-09,7.390100087434348e-09
1894,6.301539290376468e-10,1.5123694296903523e-08
1895,0.0,1.625025980445116e-08
1896,0.0,1.8280790214930676e-08
1897,0.0,5.826713334045053e-09
1898,1.13167097914868e-09,6.790025763869778e-09
