year,toutes_DET sorties_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,1.3427040812530322e-08
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,4.5321479902327155e-09
1809,1.129515236897305e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,1.622322720606917e-08
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,0.0
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,8.894418535021487e-09
1824,3.3684450784221553e-09
1825,1.937197424695114e-08
1826,2.642395191543301e-09
1827,2.7651818612639545e-09
1828,0.0
1829,0.0
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,0.0
1834,1.120143711119681e-08
1835,1.5126175867408165e-08
1836,0.0
1837,1.0436836284100082e-08
1838,4.418513555037862e-09
1839,1.3982950353153e-09
1840,6.369688665408546e-10
1841,7.704658244733764e-09
1842,6.708265054555795e-10
1843,1.1813822142769936e-09
1844,1.097712254427563e-09
1845,6.696273757711424e-09
1846,1.1709002656346001e-08
1847,4.853901280910122e-09
1848,0.0
1849,0.0
1850,8.146795238417326e-09
1851,5.159551008659946e-09
1852,0.0
1853,1.7915795513800958e-09
1854,2.5978321716024766e-09
1855,5.306937111981824e-09
1856,4.6594703095870216e-09
1857,4.393358121745905e-09
1858,0.0
1859,4.582956236731661e-09
1860,1.373155145145688e-09
1861,3.772770984511453e-09
1862,5.873382252774562e-09
1863,0.0
1864,4.794727948009836e-10
1865,1.882737743486018e-09
1866,2.919367858567057e-09
1867,1.455843445796745e-09
1868,3.457911734727759e-09
1869,3.4184632902167778e-09
1870,1.1468097582678638e-09
1871,1.0621177271019633e-09
1872,6.047339295989218e-10
1873,9.577607151811662e-09
1874,1.1949218281515073e-09
1875,5.721527251978387e-09
1876,3.627608879952504e-09
1877,3.0924081073635534e-09
1878,1.8117265465633636e-09
1879,0.0
1880,1.2835692508872398e-09
1881,4.183504653809678e-09
1882,1.3310770263785798e-09
1883,1.2638677882037541e-09
1884,1.3203393933736152e-08
1885,6.445635691854079e-10
1886,4.5174246565693466e-09
1887,8.48760173255414e-09
1888,5.07249175996094e-09
1889,2.5060546970934183e-09
1890,4.588070645628051e-09
1891,5.736797925592896e-09
1892,4.387958663087943e-09
1893,1.847525021858587e-09
1894,4.411077725308132e-09
1895,1.023164486468886e-08
1896,7.66613794667137e-09
1897,2.330685422435863e-09
1898,5.6583548957434e-10
1899,2.7637891975018647e-09
1900,5.191053142894475e-10
1901,0.0
1902,9.820567692386817e-10
1903,9.1803746826713e-09
1904,2.1498500757388683e-09
1905,1.5482277682110634e-09
1906,5.144184633820714e-09
