year,avez_VERB eu_VERB,avez_VERB su_VERB
1800,1.9368053472135216e-06,3.710113958277361e-07
1801,2.512147602828918e-06,7.381665909633739e-07
1802,2.246791609650245e-06,4.3637882640723547e-07
1803,1.7728583543430432e-06,4.0372020748691284e-07
1804,2.867347120627528e-06,6.575123734364752e-07
1805,2.5216324957000325e-06,5.25932364325854e-07
1806,2.8931958695466164e-06,9.567141887600883e-07
1807,1.9074598185397917e-06,3.7295112065294234e-07
1808,1.774335942172911e-06,5.211970233176544e-07
1809,2.4374940039706416e-06,4.134025743951497e-07
1810,2.6232821710436838e-06,5.826915412399103e-07
1811,1.6897697605600115e-06,4.3121721660099865e-07
1812,2.107094587699976e-06,3.334010330036108e-07
1813,1.5126400967346854e-06,4.917518481306615e-07
1814,1.9540864286682336e-06,4.782949076798104e-07
1815,1.882661990748602e-06,2.751168040049379e-07
1816,1.9769161099247867e-06,3.3605255111979204e-07
1817,2.797701426970889e-06,4.732895035886031e-07
1818,2.561861037975177e-06,5.054579332863796e-07
1819,2.3621096261194907e-06,5.579216235673812e-07
1820,2.950007228719187e-06,6.241768915060675e-07
1821,4.243398507242091e-06,6.814288440182281e-07
1822,2.961566906378721e-06,7.579365615129063e-07
1823,2.855108277799445e-06,4.2989688608940924e-07
1824,2.629071332194144e-06,3.88213294399975e-07
1825,2.668049319254351e-06,4.446748675945855e-07
1826,2.2522015115100658e-06,3.8843211314087966e-07
1827,2.0296436105127214e-06,3.8436027693933283e-07
1828,2.7168355245521525e-06,3.3845790881059656e-07
1829,2.062706244032597e-06,3.995100144038588e-07
1830,2.2908855044079246e-06,4.446092134458013e-07
1831,2.7565251912164968e-06,4.31876401307818e-07
1832,3.180895873811096e-06,4.464889968858188e-07
1833,2.5657736841822043e-06,4.0542698798162746e-07
1834,2.41951033785881e-06,3.7804849739586643e-07
1835,2.822544502123492e-06,4.0840674842002045e-07
1836,2.754163460849668e-06,4.072774402175128e-07
1837,2.3002787656878354e-06,3.4719874975053244e-07
1838,2.1145742721273564e-06,4.178651238362363e-07
1839,2.2351746338244993e-06,4.4186123204781325e-07
1840,2.161872316719382e-06,3.458740991391096e-07
1841,2.1219912014203146e-06,3.10754558086046e-07
1842,2.1124326394783566e-06,3.817002891537413e-07
1843,2.2050498955650255e-06,4.394741779378819e-07
1844,1.9402064026508015e-06,3.144945708299929e-07
1845,2.1210446448094444e-06,4.2521335785750125e-07
1846,2.2077324501879048e-06,3.7000447150603577e-07
1847,1.8719879335549194e-06,2.7505441835273814e-07
1848,2.124743105014204e-06,4.199605712074117e-07
1849,2.175296231143875e-06,4.365675181361439e-07
1850,2.207102625106927e-06,3.0278923190962814e-07
1851,2.1050968825875316e-06,3.6310339623923937e-07
1852,2.140016249541077e-06,3.632884215676313e-07
1853,2.124813363479916e-06,3.278590554600669e-07
1854,2.0569634671119275e-06,3.6265737435314804e-07
1855,2.230505742772948e-06,4.595807467921986e-07
