year,ses_DET ombres_NOUN,ses_DET sombres_ADJ
1800,3.552905738501977e-07,1.980823611802407e-07
1801,4.333752436913585e-07,1.4763331535050384e-07
1802,3.2448681963614945e-07,6.489736392722989e-08
1803,6.280092179622443e-07,9.55666195068261e-08
1804,4.844827685701603e-07,3.485309889583732e-07
1805,3.0134503581358274e-07,2.6723051860244595e-07
1806,4.841204406247357e-07,1.498467980809437e-07
1807,2.846955240443094e-07,6.832692633906845e-08
1808,3.3537895482993463e-07,2.447359861434961e-07
1809,4.4276997179792943e-07,1.581321384946932e-07
1810,6.03752710048866e-07,2.1295153374012443e-07
1811,3.710473492901656e-07,7.52123057168319e-08
1812,2.747224385757363e-07,1.4669645054254943e-07
1813,2.3005932803243923e-07,1.6391727797326894e-07
1814,3.020809913323319e-07,1.0384034254684593e-07
1815,1.7531952778426785e-07,1.942000902310781e-07
1816,2.109019590079697e-07,3.7081662185300956e-08
1817,3.2850029718645146e-07,8.56280379935015e-08
1818,2.2531024690408685e-07,1.2874872123980197e-07
1819,3.2191765608757805e-07,1.387040668987538e-07
1820,2.563159817725591e-07,1.5307760747873544e-07
1821,3.2444297382028253e-07,1.2918549430196435e-07
1822,2.446250277898798e-07,2.0051231786055723e-07
1823,2.6683254450432514e-07,1.541699138352115e-07
1824,3.7305528621800477e-07,1.5831691246859236e-07
1825,3.944838453673327e-07,1.3120109931819002e-07
1826,2.571931361217139e-07,1.1450379844291092e-07
1827,2.470229046869221e-07,1.3733736636822869e-07
1828,2.2930753590388875e-07,1.2932945026022935e-07
1829,2.486220967989894e-07,8.401712198180533e-08
1830,2.567461510061264e-07,1.763825281386744e-07
1831,1.200522896649403e-07,1.153749238369528e-07
1832,2.191855045241553e-07,1.4071167697693454e-07
1833,2.5599818909149974e-07,1.2626155410089268e-07
1834,3.556456356079707e-07,1.8762406739369908e-07
1835,2.790779376482533e-07,1.3689189870547125e-07
1836,3.320050656618889e-07,1.713791308866064e-07
