year,vous_PRON ôtez_VERB,vous_PRON otez_VERB,vous_PRON sautez_VERB
1800,2.5782149037922863e-07,3.144164484325529e-09,1.5720821977538435e-08
1801,2.500241649272539e-07,2.3811825844433088e-09,9.524730337773235e-09
1802,2.953948978756671e-07,6.713520406265161e-09,1.5664880947952042e-08
1803,1.9503393033915017e-07,5.851017448321727e-09,1.1702034896643454e-08
1804,2.1999473176492756e-07,0.0,0.0
1805,1.4498676348395634e-07,0.0,2.842877711017877e-09
1806,2.910485861207235e-07,1.729001475325731e-08,4.610670600868616e-08
1807,1.1672516109229036e-07,0.0,0.0
1808,2.016805886739803e-07,0.0,3.6257183921861724e-08
1809,1.1521055931495994e-07,2.259030518203531e-09,1.3554183553310395e-08
1810,2.5975407424994046e-07,0.0,4.680253518074551e-09
1811,1.4791752178666684e-07,0.0,2.757784534068719e-08
1812,1.7070133040419933e-07,0.0,0.0
1813,1.351598559740097e-07,0.0,5.751483289628823e-09
1814,1.919473096023694e-07,0.0,0.0
1815,1.9420009689241624e-07,2.697223555614414e-09,3.776112889042338e-08
1816,1.715026911597306e-07,9.270415546325239e-09,0.0
1817,3.7364962679475866e-07,1.556873407970727e-09,5.4490570278176165e-08
1818,2.300787222964118e-07,5.960588467246453e-09,2.1458118837358597e-08
1819,3.5297079925555863e-07,2.070210003424222e-09,1.035105001712111e-09
1820,3.892205917566116e-07,1.1866481131050932e-09,7.001224133773576e-08
1821,3.4022134975941754e-07,1.97229765852569e-09,1.3806083831724436e-08
1822,2.2357123441452131e-07,2.0051231786055723e-09,1.804610860745015e-08
1823,2.243369872090284e-07,1.9765373782121287e-09,1.680056804787e-08
1824,1.7684336661716316e-07,8.421112696055388e-10,2.3579115548955087e-08
1825,1.7875048818893902e-07,4.4027217427355936e-09,9.68598756756478e-09
1826,1.7175569211325126e-07,3.5231937367541377e-09,1.7615968683770689e-09
1827,1.7697164356178519e-07,5.530363889061363e-09,9.217272889383565e-09
1828,2.072940028519099e-07,1.8344602503717056e-09,2.659967268670016e-08
1829,1.6460498031278803e-07,0.0,1.7146351560803907e-08
1830,1.6907673838773007e-07,3.1310507520032616e-09,6.262101281961918e-09
1831,1.8709446747422476e-07,3.1182412207897414e-09,2.182768810143898e-08
1832,2.1106752079447233e-07,0.0,1.894195755802741e-08
1833,1.378451806033354e-07,0.0,3.475088550253247e-09
1834,2.482985266283322e-07,1.8669061851994684e-09,5.600718555598405e-09
1835,1.9815290386304696e-07,3.781543966852041e-09,1.5882484660778573e-08
1836,2.506839695826102e-07,6.048674894287842e-09,7.392825018825988e-09
1837,1.4959465044483977e-07,6.957890930081589e-10,1.3219992878177322e-08
1838,1.508606626288156e-07,0.0,5.04972974546547e-09
1839,1.4961757432985223e-07,4.894032845648155e-09,1.0487213097931658e-08
1840,2.051039800221588e-07,6.369688665408546e-10,1.7198159119047318e-08
1841,2.3370796409238892e-07,2.5682194149112547e-09,2.3113973846022873e-08
1842,2.6765977700904386e-07,7.379091560011375e-09,2.750388583550034e-08
1843,2.1914640324638412e-07,4.13483786099178e-09,2.953455530141369e-08
1844,1.8386680800119848e-07,2.195424508855126e-09,1.8112251476409824e-08
1845,1.9363390757476395e-07,1.0602433153650281e-08,1.0044410636567136e-08
1846,2.874560180998742e-07,8.196302303531411e-09,1.8734404472198207e-08
1847,1.7851569555915603e-07,1.0786447290911383e-09,1.0247124926365814e-08
1848,1.6412252445974218e-07,3.2180886289090438e-09,6.4361772578180876e-09
1849,1.675883019025548e-07,1.6758829879393033e-09,1.256912263158938e-08
1850,1.6225700871785875e-07,2.0366988096043315e-09,6.1100964288129944e-09
1851,1.547865355888689e-07,1.2898877521649865e-09,2.3217978650791338e-08
1852,1.4844043416673003e-07,1.9531636308300904e-09,1.3021090872200602e-09
1853,1.4332636233405083e-07,1.7915795513800958e-09,1.0749477308280575e-08
1854,2.2081574613252997e-07,5.195664454227256e-10,2.7537021107804094e-08
1855,1.7937447793769934e-07,2.1227748447927297e-09,1.2205955357558196e-08
1856,1.925914343559043e-07,9.31894050815174e-09,1.5531567587601103e-08
1857,1.5523199614619898e-07,9.763018171682347e-10,6.8341128311999455e-09
1858,1.7372549265814996e-07,3.91494070495213e-09,1.9574703580271802e-08
1859,2.0470536910011106e-07,1.018434669930457e-09,1.884104072757964e-08
1860,1.4051954355664975e-07,9.154367819341758e-10,1.647786196379286e-08
1861,1.886385554428216e-07,3.3011745559363703e-09,1.8863854034378846e-08
1862,2.3312809149800273e-07,9.487771568394976e-09,1.1746764672082577e-08
1863,1.673197982388075e-07,4.495158689721279e-09,5.9935452156878455e-09
1864,1.9562489761426605e-07,1.9178911792039344e-09,6.712618905169165e-09
