year,énormes_ADJ sommes_NOUN
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,1.5664880947952042e-08
1803,0.0
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,1.5733386149463513e-08
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,2.0239355080775567e-08
1818,1.1921176934492905e-08
1819,6.210630232317271e-09
1820,2.254631326081835e-08
1821,1.97229765852569e-09
1822,8.02049271442229e-09
1823,6.917880934764753e-09
1824,1.431589158329416e-08
1825,7.044354433105582e-09
1826,1.3211976401805714e-08
1827,7.373818444733615e-09
1828,1.1923991571904935e-08
1829,2.4004892296147773e-08
1830,1.7742621594152297e-08
1831,1.4032085715598441e-08
1832,6.764984572527055e-09
1833,6.950177322551099e-09
1834,5.600718555598405e-09
1835,1.739510224751939e-08
1836,1.2097349788575684e-08
1837,4.313892532081809e-08
1838,2.2723781967215473e-08
1839,5.872839281551023e-08
1840,3.4396318682183846e-08
1841,3.338685417020315e-08
1842,2.5491406319133603e-08
1843,1.6539351221922516e-08
1844,2.9089374464774664e-08
1845,2.8459162138005922e-08
1846,9.952652035849496e-09
1847,1.6179670936367074e-08
1848,3.137636639394259e-08
1849,6.703531951757213e-09
1850,1.4935791270431764e-08
1851,1.2253933867611977e-08
1852,2.6042181744401205e-08
1853,2.6276499198729653e-08
1854,7.27393034694046e-09
1855,2.1227748447927297e-08
1856,1.7602443946884705e-08
1857,2.4407546206361985e-08
1858,8.808616946964776e-09
1859,2.4442432078330967e-08
1860,8.696649622663699e-09
1861,6.6023493339173456e-09
1862,8.132375661773494e-09
1863,2.7969877081091e-08
1864,1.1986819536957682e-08
1865,6.589582213223366e-09
1866,1.0704348518686402e-08
1867,1.067618526917613e-08
1868,1.679557115608077e-08
1869,2.6859355628516823e-08
1870,1.490852596930381e-08
1871,3.18635318130589e-09
1872,1.269941218851045e-08
1873,2.21482157058972e-08
1874,1.4936523129449597e-08
1875,8.58229043387837e-09
1876,1.209202959984168e-08
1877,1.0514186854493346e-08
1878,2.7779808675632012e-08
1879,2.6270098985037293e-08
1880,1.6686399817444908e-08
1881,1.743126887276958e-08
1882,1.8635077481121698e-08
1883,1.64302811356265e-08
1884,1.2543224237049344e-08
1885,1.353583467533781e-08
1886,1.8069698626277386e-08
1887,8.48760173255414e-09
1888,2.0924028731883482e-08
1889,1.3783300722991498e-08
1890,2.2940351840361473e-08
1891,2.039750413018737e-08
1892,1.6298132621272998e-08
1893,2.0322774574310642e-08
1894,1.3233232287745977e-08
1895,1.625025980445116e-08
1896,2.6536630670648265e-08
1897,1.8645483379486905e-08
1898,1.3580051749784161e-08
1899,1.8241008703512307e-08
1900,2.0245106924221545e-08
1901,3.129693837422565e-08
1902,2.1114219705964388e-08
1903,2.1060859722865644e-08
1904,1.3436562973367927e-08
1905,1.2901897328276846e-08
1906,1.800464666246171e-08
1907,2.0057088434555226e-08
1908,1.2278472460991452e-08
1909,1.0451868703853506e-08
1910,1.6566866989364826e-08
1911,2.2877609140437016e-08
1912,1.5628263128064646e-08
1913,2.704524781904638e-08
1914,3.147469485043075e-08
1915,3.7698438148936475e-08
1916,4.1752354462687435e-08
1917,3.070598708632133e-08
1918,2.5270027848023346e-08
1919,3.591060959706738e-08
1920,1.9687803387569147e-08
1921,3.1048266180278006e-08
1922,2.6560567079059183e-08
1923,3.503262746562541e-08
1924,2.5783249313349188e-08
1925,2.0896537833436923e-08
1926,1.0031524944054127e-08
1927,1.2264147031260109e-08
1928,1.3711249025050165e-08
1929,1.2254447234738564e-08
1930,1.6805765667982087e-08
1931,2.0529641986399838e-08
1932,1.6439305028370654e-08
1933,1.7205993074753678e-08
1934,2.036868629318178e-08
1935,1.6755597798123745e-08
1936,1.4549657478823974e-08
1937,1.888667711114067e-08
1938,2.463390735840676e-08
1939,3.5176316970364496e-08
1940,1.5214697057785997e-08
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,2.322588166236983e-08
1944,2.2492303131116387e-08
1945,1.9606536838523425e-08
1946,2.645009899993056e-08
1947,3.099426493236024e-08
1948,2.0656587551570738e-08
1949,1.9634017078828947e-08
1950,2.7651939404904624e-08
1951,9.595261474260042e-09
1952,1.5817205323287453e-08
1953,1.723812381726475e-08
1954,1.6613311615287785e-08
1955,2.2525458831523792e-08
1956,1.4825940475304833e-08
1957,1.236905244894615e-08
1958,1.4062814024384807e-08
1959,9.300897829689347e-09
1960,2.5607082676515347e-08
1961,6.94815938118154e-09
1962,3.361236977639237e-08
