year,étiez_VERB en_PRON,étiez_VERB sans_ADP
1800,0.0,3.458580977167003e-08
1801,2.1430643926123594e-08,4.524246932646747e-08
1802,0.0,2.6854081625060644e-08
1803,0.0,5.070882025393075e-08
1804,0.0,4.69651695311768e-08
1805,0.0,5.1171799242411e-08
1806,0.0,1.729001475325731e-08
1807,0.0,3.9857372513552036e-08
1808,0.0,3.3991110370834576e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,4.680253340438867e-08
1811,0.0,3.008491944456182e-08
1812,0.0,1.600324850414836e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,2.4275012222574333e-08
1816,0.0,2.7811246638975717e-08
1817,7.784366928831332e-09,5.916118794857539e-08
1818,0.0,6.795070817133819e-08
1819,1.035105001712111e-09,3.9333990287104825e-08
1820,0.0,9.8491796052258e-08
1821,2.9584463767662328e-09,6.903042049088981e-08
1822,0.0,3.408709403629473e-08
1823,0.0,7.708495530778237e-08
1824,5.052667617633233e-09,2.3579115548955087e-08
1825,0.0,3.610231757988913e-08
1826,0.0,7.574866600634778e-08
1827,9.217273055917019e-10,3.502563927781921e-08
1828,0.0,6.695779575238703e-08
1829,0.0,3.8579290873030914e-08
1830,2.0873671680021744e-09,2.817945699007396e-08
1831,0.0,4.053713453799901e-08
1832,0.0,7.035583848846727e-08
1833,1.1583628500844156e-09,1.50587169400751e-08
1834,1.8669061851994684e-09,2.9870498963191494e-08
1835,0.0,6.201732105637348e-08
1836,0.0,3.1587525484155776e-08
1837,1.3915781860163179e-09,6.470838798122713e-08
1838,1.2624323808552163e-09,4.039783618736692e-08
1839,0.0,1.957613093850341e-08
1840,1.9109065441114126e-09,4.7772665823231364e-08
1841,6.420548537278137e-10,3.4028907691663335e-08
1842,0.0,4.628702754416736e-08
1843,1.7720733769266417e-09,4.252975926988256e-08
1844,1.097712254427563e-09,2.9638231424655714e-08
1845,5.580227946389016e-10,4.185170965342877e-08
1846,5.854501328173001e-10,2.4588905134237393e-08
1847,0.0,1.88762818709165e-08
1848,0.0,1.850401076808339e-08
1849,0.0,1.256912263158938e-08
1850,0.0,1.6972489191857676e-08
1851,0.0,2.4507867735223954e-08
1852,6.510545436100301e-10,3.059956199535918e-08
1853,1.1943863675867306e-09,2.5679307569248522e-08
1854,3.117398783558656e-09,3.065441944727354e-08
1855,0.0,2.600399184871094e-08
1856,0.0,5.2807330064297275e-08
1857,1.4644527812635033e-09,2.880090299584026e-08
1858,2.4468380654951716e-09,2.6915218498402282e-08
1859,0.0,3.920973412618878e-08
1860,0.0,1.876645328025006e-08
1861,0.0,2.0278644541349422e-08
1862,1.0843167252971853e-08,2.3945327498609004e-08
1863,4.994620828036034e-10,3.096664968893492e-08
1864,2.3973640850272204e-09,2.9727313943794798e-08
1865,1.882737743486018e-09,2.58876440284439e-08
1866,0.0,1.4110277390955162e-08
1867,0.0,3.88224918879132e-08
1868,2.9639244392143382e-09,3.556709415875048e-08
