year,aux_ADP yeux_NOUN,aux_ADP cieux_NOUN
1800,3.5525915563994204e-05,1.3457024099494674e-06
1801,3.640590210807204e-05,1.4715708296364483e-06
1802,3.013923094385973e-05,5.326059522303694e-07
1803,3.072759488986776e-05,1.1546008469309754e-06
1804,3.60321719199419e-05,1.4781668191687913e-06
1805,3.384161607300484e-05,1.3617384695407964e-06
1806,3.091166399826761e-05,1.8673215969045032e-06
1807,2.8720083264488494e-05,1.0021282053074287e-06
1808,3.115625190730498e-05,1.065054762605655e-06
1809,3.07928455072215e-05,9.578289308365129e-07
1810,3.9059055211509985e-05,1.509381775122165e-06
1811,2.7114034764963435e-05,1.5518805227543453e-06
1812,2.7826983568957075e-05,9.255212787273592e-07
1813,3.295887449894508e-05,1.069775940720774e-06
1814,3.4383739489385334e-05,1.1579772376535402e-06
1815,3.430598565046239e-05,8.873865295910832e-07
1816,3.066421697894839e-05,1.119402728733121e-06
1817,3.429013736422348e-05,1.0975957952519266e-06
1818,3.4840833279758954e-05,1.0013789095708603e-06
1819,3.736832661616063e-05,1.1189484814266848e-06
1820,3.428701131724665e-05,1.2792066534927926e-06
1821,3.6753767972186324e-05,1.3648300125623791e-06
1822,3.3558745712980453e-05,2.1695432792512293e-06
1823,3.2219534261912486e-05,1.1345324946177016e-06
1824,3.3167395031341584e-05,1.7263280618351473e-06
1825,3.443544648007446e-05,1.7241057275185767e-06
1826,3.087462789608253e-05,1.224309869485296e-06
1827,2.995337223410388e-05,9.392401056906863e-07
1828,3.177927248998458e-05,9.612571858497176e-07
1829,3.303587550362863e-05,1.0159213688076818e-06
1830,3.366296937201696e-05,1.1146540748185885e-06
1831,3.0487044341498404e-05,1.0991800856174905e-06
1832,3.404005167340074e-05,1.4057637738318363e-06
1833,3.230326478842471e-05,1.700476701671505e-06
1834,3.1475105288336636e-05,1.2788307284239409e-06
1835,3.2047827744463575e-05,1.9921173830539374e-06
1836,3.0221868428270682e-05,1.8912190333786327e-06
1837,2.9352557874062768e-05,1.1355277695912491e-06
1838,2.8857941060778103e-05,1.1904737675649812e-06
1839,3.083310468809941e-05,1.0424290062260866e-06
1840,3.2254192888103717e-05,1.1484548476659029e-06
1841,3.1049772587721236e-05,1.4587485868133854e-06
1842,3.257868797845731e-05,1.2879868691584306e-06
1843,3.359850995821034e-05,1.216823668048761e-06
1844,3.509111695620959e-05,9.989181481984133e-07
1845,3.355725880282989e-05,1.0144854041271856e-06
1846,3.277408450230723e-05,1.1949037750369484e-06
1847,3.189930146163533e-05,9.405781788984768e-07
1848,2.969813203890226e-05,9.26809532231232e-07
1849,3.090998552579549e-05,1.0809445605275414e-06
1850,3.0018224606465083e-05,1.159560467201004e-06
1851,3.083154251726228e-05,8.913124549536633e-07
1852,3.1054000487529265e-05,1.1471580600996845e-06
1853,3.189130984537769e-05,9.334129416060932e-07
1854,3.408355723877321e-05,1.1477222825462263e-06
1855,3.365500174368208e-05,1.3946630872396781e-06
1856,3.329295111598185e-05,1.234241889136456e-06
1857,3.0984402314970794e-05,1.6099216750831147e-06
1858,3.1430612693839066e-05,1.1294604078671e-06
1859,3.4402213714201935e-05,1.2562392130988087e-06
1860,3.416867741634633e-05,1.3022087710368169e-06
1861,3.418696246626496e-05,1.1785193532176663e-06
1862,3.222227701371594e-05,1.3282879534060044e-06
1863,3.261437313994975e-05,1.1342783370338339e-06
1864,3.349500900640123e-05,1.326701218218318e-06
1865,3.231248490465077e-05,1.005381966123764e-06
1866,3.251591886055394e-05,1.2762503232011113e-06
1867,2.998940465204214e-05,1.1588513810778522e-06
1868,2.976718781155796e-05,8.704057918862418e-07
1869,3.214967148323922e-05,1.264343152840297e-06
1870,2.900625997881434e-05,1.1525438594617299e-06
1871,2.6847150365938433e-05,8.380108997840807e-07
1872,2.9111286039551487e-05,8.901683345996503e-07
1873,2.6478492372916662e-05,8.236741866340935e-07
1874,2.5575509198461077e-05,8.233011161706827e-07
1875,2.7142352791997837e-05,9.486292027460763e-07
1876,2.5868478019219765e-05,9.59502540531787e-07
1877,2.692497741918487e-05,1.0310088196519018e-06
1878,2.6181865450780606e-05,8.315825184013192e-07
1879,2.7359391879144823e-05,9.194534538181642e-07
1880,2.5916546860571543e-05,9.293041220992393e-07
1881,2.607787621400348e-05,8.15783409269244e-07
1882,2.627812250466377e-05,8.259332728854929e-07
1883,2.46334145685978e-05,8.082434397316263e-07
1884,2.525479249015916e-05,7.341087160384063e-07
1885,2.283366404753906e-05,7.399589958545505e-07
1886,2.4327623350473004e-05,7.666715031717786e-07
1887,2.3269739472198125e-05,6.339585678638571e-07
1888,2.353192382997804e-05,7.35511285654411e-07
1889,2.4507335410817177e-05,7.869011904304557e-07
1890,2.3258240844370448e-05,7.734176179496899e-07
