year,deux_DET eaux_NOUN,deux_DET seaux_NOUN
1800,3.8673223912155663e-07,2.2637983798645678e-07
1801,3.119349116786907e-07,2.3811826110886614e-07
1802,7.250602038766374e-07,8.951360541686881e-08
1803,2.554944273924775e-07,7.996391016007465e-08
1804,2.644880510160874e-07,1.1370514130248921e-07
1805,3.0703080255989335e-07,1.449867568226182e-07
1806,1.556101381083863e-07,8.068673817973604e-08
1807,1.9074599322266295e-07,1.138782081966383e-07
1808,3.580396992219903e-07,9.744118134591417e-08
1809,4.947276579514437e-07,1.920175929370771e-07
1810,2.0593115834799391e-07,7.956431291589183e-08
1811,2.1310152220621603e-07,1.4290336913802548e-07
1812,1.2802598803318688e-07,1.8137015711516824e-07
1813,3.077043686516845e-07,8.627224912238773e-08
1814,9.125363931161701e-08,4.720015844839054e-08
1815,1.4834729711310501e-07,8.361392911382381e-08
1816,3.383701709935849e-07,1.622322720606917e-08
1817,1.977229260319291e-07,3.113746815941454e-08
1818,2.84916149784209e-07,1.1205906691458267e-07
1819,2.6291667154509923e-07,1.8114337985153384e-07
1820,1.96983592104516e-07,5.6959108540866055e-08
1821,2.1202200173320307e-07,1.1340711347784804e-07
1822,1.5539704634193185e-07,1.0326384369818697e-07
1823,1.9765373338032077e-07,1.1463916715914735e-07
1824,1.8779081756292726e-07,7.747423502735273e-08
1825,2.606411271255382e-07,8.893497671635942e-08
1826,3.805049288985174e-07,9.424543012670483e-08
1827,2.562401846262219e-07,9.125100097762129e-08
1828,1.742737225640667e-07,7.704732962743321e-08
1829,2.734843072005333e-07,9.85915239448687e-08
1830,2.2752301731543412e-07,7.931995193999342e-08
1831,2.229542468423773e-07,1.5435293732046773e-07
1832,2.1783250758744543e-07,1.3394669040600604e-07
1833,2.6294836175111413e-07,8.10853997279537e-08
1834,2.5016544213940506e-07,7.000897994657862e-08
1835,2.9269151013977535e-07,7.789980571715205e-08
1836,2.1371985781115654e-07,7.392825052132679e-08
1837,3.082345728655511e-07,7.653679867658525e-08
1838,2.379685055675651e-07,7.827081116573709e-08
1839,1.8177836125232716e-07,1.1256274712323489e-07
1840,1.9554944685751252e-07,6.624476034389204e-08
