year,grosses_ADJ heures_NOUN
1800,6.288328968651058e-09
1801,0.0
1802,2.0140561218795483e-08
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,3.1698359492793315e-08
1807,0.0
1808,9.064295980465431e-09
1809,0.0
1810,3.978215445954447e-08
1811,2.5070768572277302e-08
1812,0.0
1813,1.1502966579257645e-08
1814,5.034683425719777e-08
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,1.7881765401739358e-08
1819,3.2088255608186955e-08
1820,5.577246042776096e-08
1821,2.7612166775270452e-08
1822,1.1328945959121484e-07
1823,1.630643282624078e-07
1824,4.29476756380609e-08
1825,6.427973175959778e-08
1826,6.870227764466108e-08
1827,2.7651818612639545e-08
1828,3.66892045633449e-08
1829,3.429270423183084e-08
1830,3.235419132607831e-08
1831,7.795603274018958e-09
1832,5.411987746839486e-09
1833,4.6334514003376626e-09
1834,5.0406466556296436e-08
1835,6.579886502322552e-08
1836,1.2298973217639286e-07
1837,6.401259611266141e-08
1838,1.2687445405390463e-07
1839,3.635567225046543e-08
1840,2.0383003729307347e-08
1841,1.733548060656176e-08
1842,1.8112315203211438e-08
1843,1.1813821920725331e-08
1844,1.2074834465636286e-08
1845,1.1718478631905782e-08
1846,9.367202125076801e-09
1847,8.089835468183537e-09
1848,2.896279838182636e-08
1849,1.256912218750017e-08
1850,4.616517124134134e-08
1851,2.1283148132766883e-08
1852,4.557382027314816e-09
1853,3.702597650701023e-08
1854,5.50740427707197e-08
1855,4.404757802944914e-08
1856,1.0872097000458325e-08
1857,6.93174257992979e-08
1858,4.257498176230001e-08
1859,1.4258085379026397e-08
1860,9.15436793036406e-09
1861,1.5562680033553988e-08
1862,2.3041730301542884e-08
1863,1.048870412745373e-08
1864,3.0206784629172034e-08
1865,2.7770381549885315e-08
1866,2.6274309505858184e-08
1867,2.717574432153924e-08
1868,1.2349684830326169e-08
1869,2.5394299441039436e-08
1870,2.0069170769687616e-08
1871,3.080141475209075e-08
1872,2.9027228620748247e-08
1873,5.9860045809045914e-09
1874,1.6131444624534197e-08
1875,2.574687130163511e-08
1876,1.3301232115736639e-08
1877,1.0514186854493346e-08
1878,1.1474268646338714e-08
1879,2.7491964260661916e-08
1880,3.080566313151678e-08
1881,2.4403776777148778e-08
1882,3.128031167420886e-08
1883,2.6541224329434954e-08
1884,1.4523733327109767e-08
1885,1.740321664556177e-08
1886,1.1616235084943582e-08
1887,1.3710741875172516e-08
1888,2.6630582183884144e-08
1889,2.380751895625366e-08
1890,1.5730527991308918e-08
1891,5.736798147637501e-09
1892,1.191017329205124e-08
1893,2.0322774574310642e-08
1894,9.452309157609307e-09
1895,1.9259566386153892e-08
1896,2.181900704556483e-08
1897,3.1464253424928756e-08
1898,6.224190496340043e-09
1899,1.492446166651007e-08
1900,9.863001082521805e-09
1901,1.3412973842719111e-08
1902,4.910283735171106e-09
1903,7.560307935250421e-09
1904,1.6123875568041512e-09
1905,5.676835002077496e-09
1906,1.4403716774857855e-08
1907,1.0799970695529737e-08
1908,7.367083831866239e-09
1909,1.2102164159699669e-08
1910,3.206490406526541e-09
1911,1.5429085564733214e-08
1912,5.730363294986773e-09
1913,1.0075680734189518e-08
1914,2.0090231700464756e-08
1915,3.534228465440492e-09
1916,3.29623865980011e-08
1917,1.2063066989753679e-08
1918,1.1486376294556067e-09
1919,6.4454939163738345e-09
1920,1.514446346106979e-08
1921,1.3630945261411398e-08
1922,1.4755870969551665e-09
1923,2.1231896241147297e-09
1924,1.1602462102189293e-08
1925,2.5295809447101192e-08
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,1.1426041446327417e-08
1929,6.684243825105796e-09
1930,6.302162347537887e-09
1931,6.843213995466613e-09
1932,2.1919072779041926e-08
1933,1.7205993074753678e-08
1934,8.38710612072191e-09
1935,8.377798899061872e-09
1936,9.699771652549316e-09
1937,7.554670666820584e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,0.0
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,3.774205836748479e-08
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,5.568441707737293e-09
1947,9.536696765621855e-09
1948,5.435944139264848e-09
1949,3.9268033269479474e-09
1950,5.317680740191122e-09
1951,9.595261474260042e-09
1952,4.2179215675730575e-09
1953,4.3095309543161875e-09
1954,2.9317608341017376e-09
1955,0.0
1956,8.72114158667614e-10
1957,3.534015080575159e-09
1958,1.3235589513271862e-08
1959,3.8753737996444215e-09
1960,2.7683333403416555e-09
1961,4.16889545107324e-09
1962,1.2049716779927166e-08
1963,4.526237162849611e-09
1964,1.034274621503073e-08
1965,1.4227312661319047e-08
1966,6.6468897053084675e-09
1967,9.367637332502454e-09
1968,5.3896989093971115e-09
1969,7.72098829315837e-09
1970,7.817832520240486e-09
1971,7.707596338946132e-09
1972,8.721249500354133e-09
1973,6.064523994098181e-09
1974,2.812785782069227e-09
1975,1.028066431985053e-08
1976,1.1427053969725876e-08
1977,6.464460078348111e-09
1978,9.504946163474415e-09
1979,9.948355028654987e-09
1980,5.6851505725319385e-09
1981,8.223214109648325e-09
1982,7.449002747961231e-09
1983,7.57837881337764e-09
1984,3.479405208395292e-09
1985,4.812446441349039e-09
1986,3.5966913891627428e-09
1987,6.110816741511371e-09
1988,6.596209356501959e-09
1989,5.488121956886971e-09
1990,2.724325431913144e-09
1991,4.68917216167597e-09
1992,9.366905084906563e-09
1993,2.2156829704300662e-09
1994,7.912389854425328e-09
1995,8.133675954979935e-09
1996,8.540947504798169e-09
1997,3.3564262480467733e-09
1998,7.152193948201102e-09
1999,3.656160929565999e-09
2000,7.95245647111642e-09
2001,3.5049694258049158e-09
2002,9.63868718173444e-09
2003,3.333538334260311e-09
