year,les_DET eaux_NOUN,les_DET sauts_NOUN
1800,6.798626600357238e-05,3.1441643688623344e-07
1801,5.570538405663683e-05,1.9287578112425763e-07
1802,6.57835489619174e-05,2.6854081625060644e-07
1803,6.877285841255798e-05,3.686141076819638e-07
1804,6.552382501467946e-05,2.026917798048089e-07
1805,6.032870669514523e-05,2.501732385695732e-07
1806,5.051277844358992e-05,2.564685583905657e-07
1807,5.490352896231343e-05,1.8220512254529808e-07
1808,5.092548053653445e-05,1.3823051414618703e-07
1809,5.907139029659447e-05,1.8749953589747292e-07
1810,5.2238649459468434e-05,1.8018975467271048e-07
1811,5.3568709972751094e-05,1.2535384108502967e-07
1812,5.794242997581023e-05,2.453831511317617e-07
1813,4.849650667893002e-05,1.581657944615955e-07
1814,4.401571959533612e-05,2.2970742818984036e-07
1815,5.169229098100914e-05,1.402556275564848e-07
1816,5.242188080956112e-05,2.0858435156867472e-07
1817,4.4865978225061554e-05,2.2418977474458757e-07
1818,5.1160924613213865e-05,1.406698864059308e-07
1819,4.7381931381096365e-05,2.1426673679769692e-07
1820,3.839281180262333e-05,1.6731738927688866e-07
1821,3.80860542463779e-05,1.5679765930087797e-07
1822,4.8787653213366866e-05,1.6943290859217086e-07
1823,3.7892198633926455e-05,1.4231069567216537e-07
1824,4.0812080214891466e-05,2.0715937054660571e-07
1825,4.547130765786278e-05,1.5321471091844785e-07
1826,4.5599815848618164e-05,1.0833820396349836e-07
1827,4.266859968993231e-05,1.2904182788986418e-07
1828,4.227238491694152e-05,1.0823315665930977e-07
1829,4.606024685926968e-05,2.2718917058739407e-07
1830,4.466026530280942e-05,2.7761983645291366e-07
1831,4.8145645450858865e-05,1.0134284167406804e-07
1832,4.258693161318661e-05,1.5288865107265792e-07
1833,5.670186237693997e-05,2.09663669537008e-07
1834,4.441183205017296e-05,1.8015645331104224e-07
1835,5.218606474954868e-05,1.474802147072296e-07
1836,4.175064509581716e-05,1.31054627150462e-07
1837,4.713414455181919e-05,1.2802519400167967e-07
1838,4.5350988330028486e-05,1.7800296525649628e-07
1839,4.228024772601202e-05,1.3493547434961783e-07
1840,4.3711350599551224e-05,8.216898539359363e-08
1841,4.367578185338061e-05,1.2391658721355725e-07
1842,3.850678172057087e-05,1.4154439176294886e-07
1843,4.213517991047411e-05,1.311334258957686e-07
1844,4.2020973978651455e-05,1.2898119639004335e-07
1845,4.3623432247841265e-05,1.0937247063580458e-07
1846,4.385255556371703e-05,1.2587177877776412e-07
1847,3.948055450564425e-05,1.326732972373179e-07
1848,4.3825539705721894e-05,2.429656937863456e-07
1849,4.31640432907443e-05,1.466397634430905e-07
1850,3.981474583270028e-05,1.276331325072988e-07
1851,4.472298724067514e-05,9.738652817503635e-08
1852,4.753544521918229e-05,1.2370036461817335e-07
1853,4.7953417379176244e-05,1.3496565465231924e-07
1854,4.652613529287919e-05,1.34048138811238e-07
1855,4.722218659480859e-05,9.764764286046557e-08
1856,4.4654809698840836e-05,1.403018217160934e-07
1857,4.9362308800482424e-05,1.244784826326395e-07
1858,4.278541041458084e-05,1.4827839045494784e-07
1859,4.789290733242524e-05,1.8077215724332518e-07
1860,4.40297640125209e-05,1.2907658764049756e-07
1861,4.351419875092688e-05,1.2780261071654309e-07
1862,4.55652457276301e-05,1.296662057725939e-07
1863,4.365847894405306e-05,1.5832948196958796e-07
1864,4.697203030445962e-05,1.4192395347834008e-07
1865,4.387814396977774e-05,1.4450012297828607e-07
1866,4.269624105290859e-05,1.3964309708569544e-07
1867,4.248054256095202e-05,1.4898131439622375e-07
1868,4.514106421993347e-05,1.4276236148802468e-07
1869,4.1994847379100975e-05,1.577376718131518e-07
1870,4.5666539335798007e-05,1.1009373857007176e-07
1871,3.967434554397187e-05,7.965883241922711e-08
1872,4.122652535443194e-05,1.239704570110689e-07
1873,5.254634288576199e-05,1.4186831265305955e-07
1874,4.5013302042207215e-05,2.4256912567466316e-07
1875,4.4648510083789006e-05,1.6878505704198687e-07
1876,4.7088783503568266e-05,1.2878011190764482e-07
1877,4.5572196768262074e-05,2.0533588873661301e-07
1878,4.281834753783187e-05,1.6547102710262607e-07
1879,4.3463571500979015e-05,2.174919746522619e-07
1880,4.3280670297463075e-05,1.6237150468612072e-07
1881,4.544889452517964e-05,1.3456938940947794e-07
1882,4.390091635286808e-05,1.7370555660534137e-07
1883,4.515736327448394e-05,1.6114314860260492e-07
1884,4.18494773839484e-05,1.3071360260852316e-07
1885,4.54339970019646e-05,1.5276156162258303e-07
1886,4.119181630812818e-05,1.6456332385672567e-07
1887,4.354466136646806e-05,1.7236361671280065e-07
