year,six_DET îles_NOUN,six_DET iles_NOUN,six_DET cils_NOUN
1800,4.087413785214267e-08,3.144164484325529e-09,0.0
1801,8.572257037542386e-08,0.0,0.0
1802,2.6854081625060644e-08,0.0,0.0
1803,7.801356893821776e-09,0.0,0.0
1804,4.2021465418429216e-08,9.887403784603066e-09,0.0
1805,2.2743021688143017e-08,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,0.0,0.0
1807,4.27043254092041e-08,2.8469551160981155e-09,0.0
1808,1.1330369531492579e-08,0.0,0.0
1809,1.581321384946932e-08,0.0,0.0
1810,0.0,0.0,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09,4.262030373070047e-08
1812,2.6672082320544632e-09,0.0,0.0
1813,6.901780125190271e-08,0.0,0.0
1814,1.8880061958270744e-08,0.0,0.0
1815,4.315557688983063e-08,0.0,0.0
1816,7.879853569647821e-08,0.0,0.0
1817,2.6466848268569265e-08,0.0,0.0
1818,1.1921176934492905e-08,0.0,0.0
1819,2.173720581311045e-08,0.0,0.0
1820,1.1866481131050932e-08,0.0,0.0
1821,1.97229765852569e-09,0.0,0.0
1822,1.7043547018147365e-08,1.0025615893027862e-09,0.0
1823,4.941343334508019e-09,0.0,0.0
1824,3.452656116564867e-08,2.5263338088166165e-09,0.0
1825,3.522177216552791e-09,0.0,0.0
1826,2.8185549894033102e-08,5.284790383086602e-09,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10,0.0
1828,2.5682442839070063e-08,9.172301251858528e-10,0.0
1829,6.001223351592699e-09,0.0,0.0
1830,1.1480519646056564e-08,1.0436835840010872e-09,0.0
1831,5.9246584527272717e-08,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.2176972319366541e-08,4.058990921151917e-09,0.0
1833,5.3284690437749305e-08,5.791814139399776e-09,0.0
1834,2.8003592333902816e-08,0.0,0.0
1835,1.4369867074037757e-08,7.563087933704082e-10,0.0
1836,1.4113575197427508e-08,0.0,0.0
1837,5.5663127440652715e-09,1.3915781860163179e-09,0.0
1838,4.418513555037862e-09,0.0,0.0
1839,4.894032734625853e-09,0.0,5.5931801412612e-09
1840,1.9109066329292546e-08,6.369688665408546e-10,4.458782232319436e-09
1841,2.247191943638427e-08,1.2841097074556274e-09,2.5682194149112547e-09
1842,2.1466448174578545e-08,6.708265054555795e-10,0.0
1843,2.4218335781256428e-08,4.7255288571079745e-09,0.0
1844,1.8112252364588244e-08,5.488561272137815e-10,0.0
1845,1.0044410636567136e-08,0.0,2.7901139176833567e-09
1846,1.6978054517835517e-08,5.854501328173001e-10,0.0
1847,1.294373674909366e-08,5.393223645455691e-10,0.0
1848,1.287235473768078e-08,8.045221711050488e-10,0.0
1849,6.703531951757213e-09,8.379414939696517e-10,5.865590679832167e-09
1850,1.0862393651223101e-08,0.0,0.0
1851,1.2898877521649865e-08,1.2898877521649865e-09,5.159551008659946e-09
1852,7.161599979710331e-09,0.0,0.0
1853,7.763511611358354e-09,5.971931837933653e-10,0.0
1854,3.117398783558656e-09,5.195664454227256e-10,0.0
