year,nos_DET iles_NOUN,nos_DET cils_NOUN
1800,2.5153315874604232e-08,0.0
1801,2.3811825844433088e-08,0.0
1802,9.398928568771225e-08,0.0
1803,5.070881914370773e-08,0.0
1804,4.44933170307138e-08,0.0
1805,2.55858996212055e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,2.574139346123161e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,5.176335027279322e-08,0.0
1814,2.5173417572688095e-08,0.0
1815,4.045835311217161e-08,0.0
1816,1.622322720606917e-08,0.0
1817,5.449057050022077e-08,0.0
1818,2.98029441125891e-08,0.0
1819,5.175525008560555e-09,0.0
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,1.972297702934611e-08,0.0
1822,9.023054303725075e-09,1.0025615893027862e-08
1823,2.0753642027138142e-08,0.0
1824,1.0947446504872005e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,2.7304752237000685e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,1.8860986994440054e-08,0.0
1830,2.400472176589119e-08,0.0
1831,1.091384405071949e-08,0.0
1832,6.764984572527055e-09,0.0
1833,1.6217079235048004e-08,0.0
1834,1.0267984240641681e-08,0.0
1835,3.781543966852041e-08,0.0
1836,2.5538850312312178e-08,0.0
1837,3.3397877241547747e-08,0.0
1838,2.4617430982587507e-08,0.0
1839,4.1249704096912865e-08,0.0
1840,4.395085273500854e-08,0.0
1841,3.017657768111803e-08,1.926164561183441e-09
1842,3.4882977395511716e-08,0.0
1843,2.7171790650815097e-08,0.0
1844,2.2503100327586623e-08,0.0
1845,1.3392546849289033e-08,0.0
1846,1.5807153808111707e-08,1.1709002656346001e-09
1847,2.534815113364175e-08,5.393223645455691e-10
1848,1.2067832733109185e-08,1.6090443422100975e-09
1849,5.865590679832167e-09,0.0
1850,1.2220192857625989e-08,0.0
1851,1.0964046337491595e-08,0.0
1852,2.40890174474373e-08,6.510545436100301e-10
1853,1.791579506971175e-08,0.0
1854,1.1430461910322265e-08,5.195664454227256e-10
1855,2.2819829581521844e-08,3.1841622671890946e-09
1856,1.3460691894451315e-08,2.5885946719483854e-09
1857,1.2203772437047178e-08,0.0
1858,1.565976370798694e-08,1.468102750479261e-09
1859,1.4258085379026397e-08,0.0
1860,1.327383358784573e-08,9.154367819341758e-10
1861,1.9335450851531988e-08,9.431927461278633e-10
1862,2.0782737364388737e-08,5.873382225018986e-09
