year,pourrons_VERB avoir_VERB,pourrons_VERB savoir_VERB
1800,5.345079756580162e-08,2.2009151834367913e-08
1801,2.1430643926123594e-08,4.7623651688866175e-09
1802,3.1329761895904085e-08,1.5664880947952042e-08
1803,5.265916058760922e-08,5.851017448321727e-09
1804,2.7190360185613827e-08,9.887403784603066e-09
1805,4.5486043376286034e-08,1.7057265822018053e-08
1806,1.729001475325731e-08,1.4408345627714425e-08
1807,5.124519120158766e-08,1.9928686256776018e-08
1808,4.985362878073829e-08,0.0
1809,4.743964154840796e-08,4.518061036407062e-09
1810,5.3822915901946544e-08,1.1700633351097167e-08
1811,3.760615285841595e-08,2.2563691359778204e-08
1812,2.400487453257938e-08,0.0
1813,3.163315653864629e-08,0.0
1814,1.4474714760126517e-07,2.8320094713762956e-08
1815,5.3944472000466703e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,4.514932783195036e-08,1.2454987263765815e-08
1818,6.556647491606782e-08,1.4305412854298538e-08
1819,7.763287612760905e-08,1.1386155129855524e-08
1820,4.50926265216367e-08,2.610625848831205e-08
1821,5.423818549843418e-08,1.97229765852569e-09
1822,9.223566621585633e-08,1.604098542884458e-08
1823,5.929612001409623e-08,3.9530747564242574e-09
1824,8.926379280183028e-08,4.210556348027694e-09
1825,9.245714949202011e-08,2.1133063299316746e-08
1826,8.279505436803447e-08,1.8496766784892316e-08
1827,6.267745789045875e-08,1.1060727445055818e-08
1828,6.604057034564903e-08,2.2013523448549677e-08
1829,4.6295149047637096e-08,6.858540846366168e-09
1830,6.888311787633938e-08,1.1480519646056564e-08
1831,7.327867024287116e-08,4.677361609140007e-09
1832,4.058990654698391e-08,6.764984572527055e-09
1833,1.1236119945579048e-07,5.791814139399776e-09
1834,8.58776871837108e-08,1.213489042584115e-08
1835,8.395027606411531e-08,2.4958190181223472e-08
1836,1.0417162599196672e-07,9.409050427677812e-09
1837,1.4750729349088942e-07,5.5663127440652715e-09
1838,7.006499913586595e-08,1.7042836475411605e-08
1839,1.2025337525756186e-07,6.292327547896548e-09
1840,1.0255198645836572e-07,6.3696887764308485e-09
1841,8.924562422407689e-08,6.420548537278137e-09
1842,1.0531976357697204e-07,1.2074877098200432e-08
1843,1.0396163219184018e-07,1.7720733325177207e-08
1844,6.641159444598088e-08,1.3172547497219966e-08
1845,7.14269177137794e-08,2.1204865419122143e-08
1846,9.308656956363848e-08,1.5807152919933287e-08
1847,7.496581133636937e-08,7.550513103637968e-09
1848,5.148941895072312e-08,4.82713291560799e-09
1849,5.111443002192573e-08,5.02764896381791e-09
1850,7.467895812851566e-08,1.6972489191857676e-08
1851,4.6435957301582675e-08,3.2247193804124663e-09
1852,6.054807499822346e-08,1.1718981340891332e-08
1853,4.777545470346922e-08,1.4929829816878737e-08
1854,8.365019965594911e-08,3.844791862661623e-08
1855,4.8823821430232783e-08,1.0083180512765466e-08
1856,8.8012214405353e-08,1.9155599773057475e-08
1857,9.128422107096412e-08,1.7085282522089074e-08
1858,7.53626139271546e-08,2.1532175153993194e-08
1859,1.043895565544517e-07,2.2405561850291633e-08
1860,6.270742147762576e-08,1.2816115280145368e-08
1861,6.366551019709732e-08,1.1789909493131745e-08
1862,9.71367057900352e-08,1.355395884417021e-08
1863,5.693867777267769e-08,1.548332484446746e-08
1864,9.349719221063424e-08,1.2945765348604255e-08
1865,1.1343495032178907e-07,1.3649848362717876e-08
1866,8.952727625910484e-08,1.5083399418358567e-08
1867,1.0433544872512357e-07,1.358787216076962e-08
1868,8.743577240011291e-08,1.2349684830326169e-08
1869,9.034510384253736e-08,1.1720445947105418e-08
1870,8.429051945313404e-08,1.6628741050794815e-08
1871,9.983906323896008e-08,9.559059321873065e-09
1872,1.0038583297955483e-07,1.3908880269752899e-08
1873,9.398026890039546e-08,7.183205141814142e-09
1874,1.236744111565713e-07,6.572069999322139e-09
1875,9.154443603165419e-08,1.2587359599081083e-08
1876,5.8646342893098335e-08,1.1487427897804992e-08
1877,7.359930975781026e-08,1.6699003069220453e-08
1878,6.099479321619583e-08,1.2078177347163432e-09
1879,1.0080386658728457e-07,4.887460214320072e-09
1880,7.893950737525302e-08,1.2193908105473383e-08
1881,1.0389036475544344e-07,8.367009307619355e-09
1882,1.0981385401009902e-07,1.5972924316542958e-08
1883,1.049010265319339e-07,1.2006744043446815e-08
1884,1.1751020423389491e-07,1.4523733327109767e-08
1885,9.539540712921735e-08,2.2559724754955823e-08
1886,8.002295004416737e-08,9.680196200179125e-09
1887,1.1033882429956066e-07,1.6322312390570914e-08
1888,8.750048152705858e-08,1.2047167707862627e-08
1889,1.1841108715771043e-07,8.771191772893872e-09
1890,9.503860098902805e-08,1.5730527991308918e-08
1891,8.732681777701146e-08,1.211101796627645e-08
1892,1.429220759519012e-07,1.0656471260972467e-08
1893,1.0469307909488634e-07,2.586534897375259e-08
1894,8.381046967542716e-08,1.0082462864602348e-08
1895,1.2759463174916164e-07,2.2870734639468537e-08
1896,9.612157469973681e-08,1.4152869098893461e-08
1897,7.982597338695996e-08,2.0976168357833558e-08
1898,1.3693218647858885e-07,1.2448380992680086e-08
1899,1.061295051840716e-07,1.2160672469008205e-08
1900,1.0485927504078063e-07,1.661137005726232e-08
1901,9.444968895877537e-08,7.824234593556412e-09
1902,7.512734612191707e-08,9.820567470342212e-09
1903,1.128646047732218e-07,1.0260418292773466e-08
1904,1.1394205046144634e-07,1.0211787859759625e-08
1905,7.379885147429377e-08,1.3417973399043603e-08
1906,6.738881808132646e-08,1.4918134283448126e-08
1907,1.0388543358885727e-07,7.199980611716228e-09
1908,1.0903283964580623e-07,2.1118973236866623e-08
1909,9.956779933872895e-08,2.0903737407707013e-08
1910,9.512588405868883e-08,8.01622590529405e-09
1911,7.927357614789798e-08,1.5429085564733214e-08
1912,1.2190045595161791e-07,1.8753915753677575e-08
1913,9.227201758221781e-08,1.6439267724877027e-08
1914,1.098265940413512e-07,1.1384464038144415e-08
1915,1.1073916539316997e-07,3.534228465440492e-09
1916,1.0438088793307543e-07,1.7579939282086343e-08
1917,8.224818515145671e-08,1.973956464951243e-08
1918,9.189101035644853e-08,1.722956355365568e-08
1919,1.2246438529928128e-07,3.6831393490643904e-09
1920,1.1509791875141673e-07,1.741613253614105e-08
1921,7.421292735898533e-08,1.1359120755116692e-08
1922,8.484625624305409e-08,1.623145884366295e-08
1923,8.280439800500972e-08,6.369568872344189e-09
1924,1.2633792323413218e-07,9.02413699321869e-09
1925,1.506750351154551e-07,1.5397448649423495e-08
1926,7.80229711949687e-08,1.4489979882625903e-08
1927,7.581473226991875e-08,1.0034302277972529e-08
1928,5.141718517620575e-08,2.0566874425753667e-08
1929,8.355304714768863e-08,1.2254447234738564e-08
1930,1.0818711615456778e-07,1.470504518152893e-08
1931,1.0036713860017699e-07,2.2810713318222042e-08
1932,1.0082773371777876e-07,9.863582839386709e-09
1933,9.405943046658649e-08,1.1470662641954732e-08
1934,9.70508011732818e-08,1.4377896206951846e-08
1935,7.659701850570855e-08,2.752705441366743e-08
1936,7.396075574206407e-08,3.6374143697059935e-09
1937,1.0324716726017868e-07,1.6368453259474336e-08
1938,7.519824407609121e-08,9.075650453382877e-09
1939,9.023489866422096e-08,3.5176316970364496e-08
1940,9.63597486247636e-08,7.607348528892999e-09
1941,8.854507882460894e-08,1.1806010391524069e-08
1942,8.192371581117186e-08,2.730790527039062e-08
1943,6.096794180621146e-08,5.806470415592457e-09
1944,9.960876923287287e-08,6.4263723231761105e-09
1945,1.3506725338174874e-07,1.5249527862692958e-08
1946,1.3364260098569503e-07,1.3921104269343232e-08
1947,1.3589793468327116e-07,2.26496545963073e-08
1948,9.567261116671943e-08,1.0871888278529696e-08
1949,9.227987618487532e-08,9.817008539414473e-09
1950,7.12569203642488e-08,9.571825110299415e-09
1951,8.742349422163898e-08,1.4925962688039363e-08
1952,9.384875454543362e-08,1.370824520563474e-08
1953,9.265491485166422e-08,1.4005975934594517e-08
1954,5.765796373680132e-08,1.5636057781875934e-08
1955,9.010183532609517e-08,1.220129064449793e-08
1956,6.715278999536167e-08,1.3953826538681824e-08
1957,4.1524678806581505e-08,7.068030161150318e-09
1958,7.196851470325782e-08,5.790570245522986e-09
1959,7.130687862400009e-08,1.1626121398933265e-08
1960,8.927874972641803e-08,1.7302083321624195e-08
1961,1.2437205043625e-07,1.250668635321972e-08
1962,6.785893447158742e-08,6.341956293454132e-09
1963,5.8841084893401785e-08,1.5518526907953856e-08
1964,1.052526528155795e-07,1.8251904876365188e-08
1965,7.66086074577288e-08,1.1491291473930687e-08
1966,8.917910321315503e-08,8.862519607077957e-09
1967,8.430873776887893e-08,7.888536934785861e-09
1968,7.321008155258824e-08,1.7067380397861598e-08
1969,8.538504658872625e-08,1.0446043141598693e-08
1970,8.139743101764907e-08,1.609553734738256e-08
1971,6.063309143655715e-08,1.490135304038631e-08
1972,6.617889170001945e-08,1.2312352026810913e-08
1973,7.056900841462266e-08,1.1026407342740185e-08
1974,6.300640364997889e-08,1.0688586016271984e-08
1975,5.254561585843476e-08,7.996072248772634e-09
1976,5.770662170334617e-08,8.570290255249802e-09
1977,4.7014253823363106e-08,9.402850942308305e-09
1978,5.1089084962541165e-08,1.2475242172627077e-08
1979,6.905328575612657e-08,1.345953837272873e-08
1980,6.82218086467401e-08,6.822181042309694e-09
1981,5.123695245856652e-08,7.590659656386833e-09
1982,4.779776929808577e-08,8.690503427999374e-09
1983,4.483874249672226e-08,1.0736036948344463e-08
1984,5.799008562235031e-08,7.538710988796993e-09
1985,4.932757491360462e-08,6.617113967877231e-09
1986,6.833713683818132e-08,1.2588419195935785e-08
1987,4.522004459772688e-08,1.0388388815840699e-08
1988,4.557380961500712e-08,6.596209356501959e-09
1989,5.5430035672543454e-08,1.3720305780395847e-08
1990,4.2499475938484466e-08,5.448650863826288e-09
1991,5.8614652687083435e-08,7.6199047072123e-09
1992,4.518154383958972e-08,1.3774860363469088e-08
1993,4.6529343933343625e-08,4.4313659408601325e-09
1994,5.485923537662529e-08,8.967375286772494e-09
1995,6.506940763983948e-08,2.7112254663563817e-09
1996,3.95018808774239e-08,5.3380921904988554e-09
1997,4.6989967472654826e-08,8.630809844589749e-09
1998,4.386678753576234e-08,5.72175506974304e-09
1999,4.844413226123834e-08,9.597422412355172e-09
2000,4.859834490389403e-08,4.418031274155965e-09
2001,3.1982846593336944e-08,4.8193329327261836e-09
2002,3.50497728618393e-08,7.448076377869484e-09
2003,4.916968876500505e-08,8.750538071922165e-09
2004,4.184551727348662e-08,1.2773894830786503e-08
2005,4.1884870682906694e-08,9.007498746882447e-09
2006,5.0650047711542356e-08,6.58862386870851e-09
2007,5.0330442036283785e-08,9.98619853476157e-09
2008,5.577246042776096e-08,1.1495087548496485e-08
2009,5.435739325321265e-08,9.53638501499654e-09
2010,4.6293170186118004e-08,8.97520635589899e-09
2011,5.0858826483590747e-08,6.883149605840799e-09
2012,5.3787193365906205e-08,1.0212757750593937e-08
2013,5.968727379013217e-08,1.1993237514218436e-08
2014,6.27979090950248e-08,8.445236510112863e-09
2015,6.716223310831992e-08,9.97458915463767e-09
2016,7.539677682188994e-08,1.3256576281150956e-08
2017,5.6098134137982925e-08,8.049956257139002e-09
2018,6.81507188460273e-08,9.809573597863164e-09
2019,6.581548461781495e-08,1.1479444950168727e-08
