year,les_DET herbes_NOUN
1800,5.892164267606859e-06
1801,3.295556723514892e-06
1802,4.4823939049365435e-06
1803,4.304398467880333e-06
1804,3.643508284412178e-06
1805,3.727012756193915e-06
1806,1.994115017112108e-06
1807,2.3003396449894353e-06
1808,2.9572266413424586e-06
1809,4.0030020653780696e-06
1810,3.1310896102532126e-06
1811,2.41431496306177e-06
1812,1.92572435064875e-06
1813,2.0791612151960237e-06
1814,1.3750979093174465e-06
1815,3.398501661422415e-06
1816,2.551681845375242e-06
1817,3.0094363836496996e-06
1818,2.908767214648833e-06
1819,1.9211549115993876e-06
1820,2.3543098848222144e-06
1821,1.301716503254724e-06
1822,1.581039668963058e-06
1823,1.9636898969110916e-06
1824,1.4922212159262926e-06
1825,2.0631153319072837e-06
1826,1.993246868892129e-06
1827,1.562327788917628e-06
1828,1.6647727107965693e-06
1829,1.741212111383561e-06
1830,2.5538937720170907e-06
1831,2.5070658722370354e-06
1832,2.193207976119993e-06
1833,2.7626954448578545e-06
1834,2.1226722708433954e-06
1835,2.2863214894641715e-06
1836,2.3482300122168454e-06
1837,2.193823000595785e-06
1838,1.887336459560629e-06
1839,1.6381026350931194e-06
1840,1.7185420091436754e-06
1841,2.119423008650756e-06
1842,1.7394530757997018e-06
1843,2.0875023309940843e-06
1844,2.1279153159525777e-06
1845,1.7387989998951525e-06
1846,1.910909261937377e-06
1847,1.4313615253058742e-06
1848,1.9123492508987816e-06
1849,1.7236456315572468e-06
1850,2.0815061008150337e-06
1851,1.963209101063512e-06
1852,1.9245172566684232e-06
1853,2.14093754968836e-06
1854,1.8907022720782152e-06
1855,2.0431708414037075e-06
1856,2.0284227450484416e-06
1857,2.111740727173128e-06
1858,1.819958143300937e-06
1859,1.924332281078023e-06
1860,2.041424053800256e-06
1861,2.067006960260187e-06
1862,2.0290276268597474e-06
1863,2.1277085693327535e-06
1864,1.9490568559099586e-06
1865,2.0408877428601535e-06
1866,1.992468554590232e-06
1867,1.9537419291282276e-06
1868,1.8776461274683243e-06
1869,1.949500823328343e-06
1870,1.984554232947744e-06
1871,1.7747987668403908e-06
1872,2.1407580770294032e-06
1873,1.937071015756242e-06
1874,1.8413745439538332e-06
1875,2.113532076464253e-06
1876,2.020578051542543e-06
1877,2.4819666186726153e-06
1878,2.605866774585408e-06
1879,2.468167373592678e-06
1880,1.950383444526693e-06
1881,2.162174604913858e-06
1882,2.112419275723809e-06
1883,2.044938153589193e-06
1884,2.088116758613978e-06
1885,2.1625107056721937e-06
1886,2.072852515189183e-06
1887,2.3954624690514237e-06
1888,2.2819873279900094e-06
1889,2.1163631274134787e-06
1890,2.1151004630515224e-06
1891,1.9473242267586954e-06
1892,2.2572912516949373e-06
1893,2.2022496823925763e-06
1894,2.2301148467906984e-06
1895,2.0457269727103267e-06
1896,2.0627806394113435e-06
1897,2.2461980044852226e-06
1898,2.1863883612471824e-06
1899,2.4227376353991303e-06
1900,2.0977045717129883e-06
1901,1.9325859104135645e-06
1902,1.945454479845843e-06
1903,1.8517355275804448e-06
1904,2.1923097168752292e-06
1905,1.9982459207312786e-06
1906,2.3930745953748556e-06
1907,1.962509067254814e-06
1908,2.1192642967182707e-06
1909,2.0969750216259797e-06
1910,2.5977917521569083e-06
1911,2.216467912319331e-06
1912,2.0025014855207246e-06
1913,2.0448329315359004e-06
1914,2.1945229189412885e-06
1915,1.7470869404512257e-06
1916,1.7019578477661668e-06
1917,2.136259376506189e-06
1918,2.038831752315673e-06
1919,1.8839257683866961e-06
1920,1.9983119443622854e-06
1921,2.115068283292665e-06
1922,2.2458434786321035e-06
1923,2.2728743855893185e-06
1924,2.479059332927136e-06
1925,2.448194322823838e-06
1926,2.2693537140572317e-06
1927,2.568781449885371e-06
1928,2.27835259636322e-06
1929,2.184633752344567e-06
1930,2.0996702840836434e-06
1931,2.2126392371646375e-06
1932,2.183139804934342e-06
1933,1.8754532875586705e-06
1934,2.075209726726257e-06
1935,2.220116788187454e-06
1936,2.220035216105032e-06
1937,2.218555029909197e-06
1938,2.3505934301226716e-06
1939,1.9744619130790397e-06
1940,1.8663362411075468e-06
1941,2.2519964848477514e-06
1942,2.603353649988094e-06
1943,2.845170485210602e-06
1944,2.3841842349270337e-06
1945,2.259108657476361e-06
1946,2.4180959172781513e-06
1947,2.4998066077142056e-06
1948,2.4309542174805188e-06
1949,2.311905434870809e-06
1950,2.2419341974000417e-06
1951,2.4883712459455865e-06
1952,2.1226690734010845e-06
1953,2.191396418993463e-06
1954,2.184161748575164e-06
1955,1.8940156092384086e-06
1956,2.1201095039558027e-06
1957,2.10892339824742e-06
1958,1.958867230200667e-06
1959,1.7183407413634555e-06
1960,1.901844968732469e-06
1961,1.9642446176248995e-06
1962,1.8924398403896703e-06
1963,1.9469286547391107e-06
1964,2.0381293603932704e-06
1965,1.8369649446015046e-06
1966,1.953631672879652e-06
1967,1.95438503247658e-06
1968,1.914241392952931e-06
1969,1.9052673665420627e-06
1970,1.6265689879446654e-06
1971,1.8410878217522963e-06
1972,1.5385310261351037e-06
1973,1.6010344126016207e-06
1974,1.5104660437970097e-06
1975,1.4758464566000384e-06
1976,1.5523653011939587e-06
1977,1.455091148017118e-06
1978,1.7441576076748788e-06
1979,1.6022702595819283e-06
1980,1.6634750892308148e-06
1981,1.604791940224004e-06
1982,1.7461703905041759e-06
1983,1.7373434388900932e-06
1984,1.7918936592309365e-06
1985,1.7005982329010294e-06
1986,1.722815099469699e-06
1987,1.6334213626123528e-06
1988,1.62986327723047e-06
1989,1.7611384492965954e-06
1990,1.5523206755574392e-06
1991,1.5872847427544912e-06
1992,1.7505092557712487e-06
1993,1.7819630002691156e-06
1994,1.684284100633704e-06
1995,1.7850708218247746e-06
1996,1.6868371375267088e-06
1997,1.7041054718447413e-06
1998,1.6111508855942702e-06
1999,1.630647773254168e-06
2000,1.6152322714901857e-06
2001,1.5491965257297124e-06
2002,1.8055013697448885e-06
2003,1.5421781540680968e-06
2004,1.4632716585083472e-06
2005,1.5006493399027931e-06
2006,1.7315726807964893e-06
2007,1.6497199837317567e-06
2008,1.8366594929375424e-06
2009,1.881528802982757e-06
2010,2.335443234358081e-06
2011,2.7563189668455834e-06
2012,3.26808262052225e-06
2013,3.177092308348506e-06
2014,3.4807365283384684e-06
2015,3.2714436088987497e-06
2016,3.577825573586324e-06
2017,3.243880739134397e-06
2018,3.457616486457482e-06
2019,3.232611687664644e-06
