year,des_DET herbes_NOUN
1800,2.9618028563049847e-06
1801,2.5050040903806803e-06
1802,3.3746628105291165e-06
1803,5.143044385036433e-06
1804,2.9835241761588804e-06
1805,2.7860202029827974e-06
1806,2.391785463906615e-06
1807,1.4918045012635162e-06
1808,2.27060618840369e-06
1809,1.8998446114082412e-06
1810,1.544483602344826e-06
1811,1.4816824318586441e-06
1812,1.157568366494388e-06
1813,1.2308174461850285e-06
1814,8.999496756700864e-07
1815,1.3836756840301945e-06
1816,3.1426708844151108e-06
1817,3.1557824105021837e-06
1818,2.026600146365354e-06
1819,1.6603084027622117e-06
1820,1.4192311112992684e-06
1821,1.1636556465077774e-06
1822,1.1970585518383814e-06
1823,1.3855527392081513e-06
1824,1.0248494568543265e-06
1825,1.4044681773128787e-06
1826,1.1547267622091795e-06
1827,1.1908717159059279e-06
1828,1.4079482983930802e-06
1829,1.3588484186755068e-06
1830,1.2190224758512613e-06
1831,1.2691242181617213e-06
1832,1.177107350258666e-06
1833,1.64950871983649e-06
1834,1.1789512086579634e-06
1835,1.4506002941061524e-06
1836,1.1479041255313405e-06
1837,1.1341361698669061e-06
1838,1.0093147366774247e-06
1839,9.711158863723313e-07
1840,9.76473310210224e-07
1841,2.6792949974208113e-06
1842,9.71356792334177e-07
1843,9.888168683858112e-07
1844,1.1427184984924565e-06
1845,8.42056400607305e-07
1846,1.0906935923316041e-06
1847,9.76173502920119e-07
1848,9.51749731470386e-07
1849,9.259253435089931e-07
1850,9.742209705621008e-07
1851,9.500023159247917e-07
1852,1.0540573036621481e-06
1853,1.0438936519641118e-06
1854,9.154760753915525e-07
1855,1.1187023645220506e-06
1856,9.422484454901792e-07
1857,1.1017566361459785e-06
1858,8.108821045738068e-07
1859,8.962225361841547e-07
1860,8.275548570857438e-07
1861,9.134821592482467e-07
1862,8.701641398545235e-07
1863,8.985322974552901e-07
1864,9.100393825178799e-07
1865,8.830040112428605e-07
1866,8.11584218496364e-07
1867,8.81755854109656e-07
1868,9.390700643763239e-07
1869,9.376356970847155e-07
