year,belles_ADJ ondes_NOUN
1800,0.0
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,0.0
1804,4.69651695311768e-08
1805,0.0
1806,1.4408345627714425e-08
1807,0.0
1808,4.5321479902327155e-09
1809,1.129515236897305e-08
1810,4.680253518074551e-09
1811,1.2535384286138651e-08
1812,1.3336041604361526e-08
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,0.0
1817,3.113746815941454e-09
1818,7.152706427149269e-09
1819,2.2772310259711048e-08
1820,1.898636980968149e-08
1821,9.86148829262845e-10
1822,1.1028177482330648e-08
1823,1.9765373782121287e-09
1824,7.57900142644985e-09
1825,7.924898959288385e-09
1826,1.7615968683770689e-09
1827,1.566936447261469e-08
1828,8.255071293206129e-09
1829,2.571952872898464e-09
1830,6.262101504006523e-09
1831,3.1182412207897414e-09
1832,2.0294953273491956e-08
1833,1.0425265983826648e-08
1834,3.733812370398937e-09
1835,8.31939672707449e-09
1836,8.064899859050456e-09
1837,1.3915782304252389e-08
1838,1.3886756633496589e-08
1839,1.11863602825224e-08
1840,8.280594876453051e-09
1841,1.2841097074556274e-08
1842,1.0733224087289273e-08
1843,1.3585895075607368e-08
1844,1.6465683927435748e-08
1845,1.785672942844485e-08
1846,1.3465353276842507e-08
1847,2.6966118227278457e-09
1848,9.65426583121598e-09
1849,5.02764896381791e-09
1850,1.2220192857625989e-08
1851,1.870337307252612e-08
1852,3.906327261660181e-09
1853,8.360704129017904e-09
1854,3.117398783558656e-09
1855,6.8990182455763716e-09
1856,8.801221973442352e-09
1857,3.0753508184488965e-08
1858,3.4255731584664773e-09
1859,7.129042689513199e-09
1860,2.288591893773173e-08
1861,1.650587222457034e-08
1862,4.066187830886747e-09
1863,2.1976331865403154e-08
1864,1.8699438442126848e-08
1865,8.001635798393636e-09
1866,1.9949013108089275e-08
1867,1.3102591012170706e-08
1868,5.433861360870651e-09
1869,1.6115613732381462e-08
1870,5.734048791339319e-10
1871,3.18635318130589e-09
1872,8.4662747923403e-09
1873,2.9930022904522957e-09
1874,1.0754296120296658e-08
1875,1.5448122780981066e-08
1876,1.4510435519810017e-08
1877,1.2369631985365004e-09
1878,1.1474268646338714e-08
1879,8.55305515301552e-09
1880,3.2089231272180996e-09
1881,9.064259565150223e-09
1882,1.0648616211028639e-08
1883,6.319338829996468e-09
1884,7.2618666635548834e-09
1885,8.379326565943757e-09
1886,5.162771099520569e-09
1887,5.223139698529167e-09
1888,3.1703073499755874e-09
1889,2.5060546970934183e-09
1890,2.6217545912032847e-09
1891,1.2748440081367107e-09
1892,7.522214851007902e-09
1893,1.1700991287000306e-08
1894,6.9316934414587195e-09
1895,1.2037228991346183e-09
1896,1.2973464080801023e-08
1897,2.330685422435863e-09
1898,9.05336783318944e-09
1899,5.527578395003729e-09
1900,6.748368974740515e-09
1901,5.029864968975062e-09
1902,1.4239823542538943e-08
1903,1.0260418292773466e-08
1904,1.827372564378038e-08
1905,5.676835002077496e-09
1906,2.1091157265118454e-08
1907,1.5942815068115124e-08
1908,6.875944702500192e-09
1909,7.151278680339601e-09
1910,6.412980813053082e-09
1911,5.852411444351446e-09
1912,1.5628263128064646e-09
1913,7.954484182448596e-09
1914,8.036092680185902e-09
1915,1.1780761921542648e-09
1916,8.789969641043172e-09
1917,8.773139548168274e-09
1918,9.189101035644853e-09
1919,1.6574126959767455e-08
1920,1.4387239843927091e-08
