year,mêmes_ADJ airs_NOUN,mêmes_ADJ serres_NOUN
1800,6.917161954334006e-08,0.0
1801,1.4287095950749062e-08,2.1430643926123594e-08
1802,4.4756802708434407e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,3.131650672116848e-08,3.9857372513552036e-08
1808,5.211970233176544e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,6.084329839950442e-08,1.1700633351097167e-08
1811,7.270522672797597e-08,0.0
1812,5.067695596494559e-08,0.0
1813,6.614205716459765e-08,0.0
1814,4.72001566720337e-08,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,6.85024303948012e-08,0.0
1818,2.8610825708597076e-08,0.0
1819,5.072014630513877e-08,0.0
1820,6.051905643289501e-08,1.1866481131050932e-09
1821,7.59334568556369e-08,0.0
1822,3.909990198280866e-08,1.0025615893027862e-09
1823,4.15072847204101e-08,0.0
1824,4.8000341479337294e-08,1.6842225392110777e-09
1825,8.277116592125822e-08,0.0
1826,4.315912249808207e-08,0.0
1827,3.871254605769536e-08,3.6869092223668076e-09
1828,7.06267186956211e-08,5.503380862137419e-09
1829,2.4004892296147773e-08,3.429270423183084e-09
1830,4.905312778191728e-08,0.0
1831,4.053713453799901e-08,0.0
1832,1.1500473817704915e-07,2.0294953273491956e-08
1833,4.9809603552830595e-08,0.0
1834,1.4001796166951408e-08,3.733812370398937e-09
1835,4.689114518896531e-08,0.0
1836,4.301280043250699e-08,3.36037508930076e-09
1837,2.5048407792382932e-08,1.3915781860163179e-09
1838,2.3354999711955315e-08,0.0
1839,3.5656523067473245e-08,0.0
1840,2.229391071750797e-08,1.9109065441114126e-09
1841,4.494383887276854e-08,6.420548537278137e-10
1842,3.4882980060046975e-08,2.683306021822318e-09
1843,4.4892523476391943e-08,0.0
1844,3.0735943568060975e-08,0.0
1845,3.013322924516615e-08,1.1160455892778032e-09
1846,4.039605983052752e-08,5.854501328173001e-10
1847,2.480882876909618e-08,0.0
1848,3.378993085334514e-08,6.43617736884039e-09
1849,4.1059134758825167e-08,1.6758829879393033e-09
1850,2.2403686017469226e-08,0.0
1851,9.029214709244116e-09,0.0
1852,2.278690836021724e-08,0.0
1853,2.9262466227919504e-08,1.1943863675867306e-09
1854,2.3900057044556888e-08,0.0
1855,1.963566731433275e-08,5.306937111981824e-10
1856,2.8992259260007813e-08,0.0
1857,5.4672902649599564e-08,4.881509085841174e-10
1858,1.8106600663259087e-08,1.468102750479261e-09
1859,3.971895168319861e-08,0.0
1860,2.746310379109218e-08,0.0
1861,1.744906619194353e-08,3.772770984511453e-09
1862,1.9879140111811466e-08,9.035972525772706e-10
1863,3.346395871517416e-08,0.0
1864,2.3973639073915365e-08,5.274200631788517e-09
1865,4.047886292823932e-08,0.0
