year,trois_DET îles_NOUN,trois_DET iles_NOUN,trois_DET cils_NOUN
1800,2.138031902632065e-07,9.432493897065797e-09,0.0
1801,2.7145480885337747e-07,1.6668277424969347e-08,0.0
1802,3.5581658153205353e-07,1.1189200677108602e-08,0.0
1803,1.2287137352018362e-07,1.950339223455444e-09,2.5354410126965377e-08
1804,1.3595179737535545e-07,4.202146608456303e-08,0.0
1805,2.5585899399160894e-08,2.842877711017877e-09,0.0
1806,1.4120178093435243e-07,0.0,0.0
1807,7.402083213037258e-08,5.693910232196231e-09,1.1387820464392462e-08
1808,1.5182695278781466e-07,0.0,0.0
1809,1.852404967195298e-07,9.036122294858728e-09,0.0
1810,1.7550951270095538e-07,2.3401267590372754e-08,0.0
1811,8.022645658911642e-08,2.5070767684098882e-09,3.008491944456182e-08
1812,5.86785815492874e-08,2.6672082320544632e-09,0.0
1813,2.7894694198948855e-07,2.8757416448144113e-09,0.0
1814,7.237357380063258e-08,6.293354282149721e-09,0.0
1815,7.821948422304104e-08,0.0,0.0
1816,1.2746821020925836e-07,2.3176038865813098e-09,0.0
1817,6.07180652423267e-08,6.227493631882908e-09,0.0
1818,4.4108355412575406e-08,5.9605886892910576e-09,1.1921176934492905e-08
1819,7.763287790396589e-08,0.0,0.0
1820,1.4358441546846734e-07,1.1866481131050932e-09,7.119888678630559e-09
1821,1.1143481870590222e-07,5.9168927535324656e-09,2.2681422962023134e-08
1822,8.321261191213125e-08,2.0051231786055723e-09,0.0
1823,6.720227219148e-08,1.9765373782121287e-09,0.0
1824,1.0779023984497371e-07,5.894778887238772e-09,0.0
1825,7.484626385334536e-08,1.3208164340028361e-08,0.0
1826,1.523781349987985e-07,1.4973572604048968e-08,7.0463874735082754e-09
1827,8.848582311316022e-08,7.373818444733615e-09,0.0
1828,1.2107437408204191e-07,1.4675681669906737e-08,0.0
1829,9.601957434712816e-08,1.8860987549551567e-08,0.0
1830,1.1271782374144834e-07,1.1480519646056564e-08,0.0
1831,9.198811490307435e-08,1.5591206103948707e-09,0.0
1832,1.1500473662273691e-07,6.764984572527055e-09,1.3529969367098715e-09
1833,4.459697060532619e-07,5.3284690437749305e-08,0.0
1834,2.548326936135936e-07,1.5868702352150876e-08,0.0
1835,1.1722786297241328e-07,1.0588323107185715e-08,0.0
1836,1.1761312279645608e-07,8.064900303139666e-09,0.0
1837,8.975679044453955e-08,1.8090515530033713e-08,0.0
1838,1.0351945434194931e-07,1.641162095111781e-08,3.787297142565649e-09
1839,1.2654569747638789e-07,1.1885508133246958e-08,1.2584655095793096e-08
1840,6.751869818799605e-08,1.910906610724794e-08,7.0066574764382494e-09
1841,9.181384230672052e-08,8.988767952189392e-09,1.926164561183441e-09
1842,1.448985260665836e-07,7.379091560011375e-09,6.037438549100216e-09
1843,6.615740399951164e-08,1.6539350833344457e-08,1.7720733769266417e-09
1844,1.1965063562158207e-07,1.4819115490283252e-08,0.0
1845,9.039969084412292e-08,2.1204865530144446e-08,1.674068439427856e-09
1846,1.1299187252511445e-07,8.196301859442201e-09,0.0
1847,7.658377754182766e-08,1.4561703842730367e-08,3.775256551818984e-09
1848,9.252004873339104e-08,8.849743549088629e-09,5.63165514222419e-09
1849,9.971503645012092e-08,1.005529792763582e-08,4.1897072478036534e-09
1850,7.332115714575593e-08,1.0862393651223101e-08,0.0
1851,7.545843550005316e-08,1.096404567135778e-08,6.449438760824933e-10
1852,6.380334482969374e-08,1.3672145415810633e-08,1.6276363368206148e-08
1853,5.195580743411199e-08,1.3735443005202796e-08,6.569124799682413e-09
1854,8.728716205386178e-08,1.0391328797432209e-08,3.117398783558656e-09
1855,6.10297732350773e-08,1.539011762474729e-08,5.306937111981824e-10
1856,4.866557823390849e-08,9.31894050815174e-09,2.5885946719483854e-09
1857,6.63885206808601e-08,9.763017949637742e-09,0.0
1858,6.117094875079943e-08,6.8511465389775594e-09,2.4468380654951716e-09
1859,5.906921041187729e-08,1.1711999148289465e-08,1.018434669930457e-08
1860,7.140407021211104e-08,7.781212424395889e-09,0.0
1861,8.347256130747382e-08,9.903523834342565e-09,5.659156698811785e-09
1862,5.2860440469260084e-08,6.776979477596257e-09,0.0
1863,8.24112407760147e-08,5.993545049154392e-09,4.994620828036034e-10
1864,5.418042459126582e-08,4.315255153208852e-09,4.794727948009836e-10
1865,5.4599393062293444e-08,7.530951029455224e-09,2.3534221238463715e-09
1866,6.471265417973271e-08,1.897589108068587e-08,9.731225825149181e-10
1867,1.0336488642792574e-07,1.261730986357179e-08,2.91168689159349e-09
1868,4.297690514576402e-08,3.4579119567723637e-09,4.939874287401835e-09
1869,8.985675159500772e-08,7.813630742425914e-09,2.441759683335931e-09
1870,6.135431851461703e-08,6.880858549607183e-09,1.1468097582678638e-09
1871,4.6733178216129545e-08,1.0621177271019633e-09,3.18635318130589e-09
1872,3.205089671443062e-08,1.2094678591978436e-09,1.2094678591978436e-09
1873,5.866284202848959e-08,2.9930022904522957e-09,6.584604861359367e-09
