year,vastes_ADJ yeux_NOUN,vastes_ADJ cieux_NOUN
1800,0.0,1.0375742931501009e-07
1801,0.0,4.524246932646747e-08
1802,0.0,6.042168365638645e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,6.179627254354614e-08
1805,0.0,2.558589917711629e-08
1806,0.0,1.210301041609796e-07
1807,0.0,5.409214942631024e-08
1808,0.0,4.5321478570059526e-08
1809,0.0,2.4849335034105025e-08
1810,0.0,1.1466621430145096e-07
1811,0.0,1.1281845502253418e-07
1812,0.0,5.86785815492874e-08
1813,0.0,7.764502640839055e-08
1814,0.0,2.5173417128598885e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,1.622322720606917e-08
1817,0.0,2.802372112142848e-08
1818,0.0,5.48374146092101e-08
1819,0.0,6.417651343681996e-08
1820,0.0,3.322614805512103e-08
1821,0.0,2.5639868894700157e-08
1822,0.0,2.8071724500478012e-08
1823,0.0,2.7671523739059012e-08
1824,0.0,4.126345309884982e-08
1825,0.0,3.962449279804048e-08
1826,0.0,1.4092774724971946e-08
1827,0.0,3.871254605769536e-08
1828,0.0,2.8434133270138773e-08
1829,0.0,5.058173968564006e-08
1830,0.0,2.6092089377982575e-08
1831,0.0,6.236482619215167e-08
1832,0.0,4.058990699107312e-08
1833,0.0,5.90765054653275e-08
1834,0.0,6.534171781424902e-08
1835,0.0,2.4958190181223472e-08
1836,0.0,2.4194700631863242e-08
1837,0.0,1.2524203674146861e-08
1838,0.0,2.5879863807531933e-08
1839,0.0,1.3982949909063791e-08
1840,0.0,1.465028409697311e-08
1841,0.0,2.43980835534785e-08
1842,0.0,1.0062398025922903e-08
1843,0.0,2.9534555467947143e-08
1844,0.0,1.4819115712327857e-08
1845,0.0,1.3950570032505993e-08
1846,0.0,2.2247105491146613e-08
1847,0.0,9.168480197274675e-09
1848,0.0,1.4481399079890878e-08
1849,0.0,2.1786477955032524e-08
1850,0.0,3.733947728790099e-08
1851,0.0,2.5152811389261842e-08
1852,0.0,1.1718981784980542e-08
