year,trois_DET eaux_NOUN,trois_DET seaux_NOUN
1800,9.432493897065797e-09,4.4018303668735825e-08
1801,8.096020565062645e-08,1.452521445344246e-07
1802,1.1189200677108602e-08,1.5664880947952042e-08
1803,2.3404069793286908e-08,1.0141763939763848e-07
1804,1.730295728918918e-08,9.39303390623536e-08
1805,2.842877755426798e-08,4.264316544322355e-08
1806,5.76333825108577e-09,1.2103009794373065e-07
1807,1.9928686256776018e-08,5.693910054560547e-08
1808,2.2660739062985158e-08,1.3596443970698147e-08
1809,5.421673421324158e-08,4.969867006821005e-08
1810,9.594519667643908e-08,3.978215445954447e-08
1811,7.019814773912003e-08,1.7549537290051376e-07
1812,1.600324850414836e-08,6.13457871168066e-08
1813,3.738464116054274e-08,2.5881675469463516e-08
1814,4.090680150170556e-08,9.125363931161701e-08
1815,3.506390555685357e-08,2.4275012222574333e-08
1816,2.3176038865813098e-09,9.965696534663948e-08
1817,2.1796227045456362e-08,4.670620334934483e-09
1818,2.6226590676969863e-08,2.98029441125891e-08
1819,1.2421260464634543e-08,3.001804671498576e-08
1820,3.5599443393152796e-09,4.746592452420373e-08
1821,5.9168927535324656e-09,1.4792232327920374e-08
1822,2.7069162911175226e-08,9.023054303725075e-09
1823,7.609668595254249e-08,1.3835761869529506e-08
1824,5.221090049190025e-08,2.189489300974401e-08
1825,3.874394849390228e-08,1.584979791857677e-08
1826,2.906634755106552e-08,2.3781557056956615e-08
1827,2.949527377893446e-08,2.027800150017356e-08
1828,4.219258542548232e-08,3.210305266065916e-08
1829,2.8291481157793896e-08,2.571952872898464e-09
1830,5.844628248041772e-08,4.174734158368665e-08
1831,4.053713453799901e-08,6.236482441579483e-09
1832,3.111892965534935e-08,1.0823975493678972e-08
1833,5.21263281427764e-08,1.6217079235048004e-08
1834,3.733812370398937e-09,2.0535967593104942e-08
1835,6.806779140333674e-09,3.7059130875150004e-08
1836,1.6129799718100912e-08,2.9571300075303952e-08
1837,5.5663127440652715e-09,1.7394727436226276e-08
1838,1.2624323364462953e-08,1.5149188570262595e-08
1839,1.8876983531868063e-08,2.4470162784950844e-08
1840,5.732719632334238e-09,1.4013314952876499e-08
1841,0.0,1.6051371787284552e-08
1842,1.8783142152756227e-08,2.0795621225033756e-08
1843,4.843666989717832e-08,2.6581099321631996e-08
1844,1.8112252364588244e-08,1.0977122322231025e-08
1845,1.5066614622583074e-08,1.953079797889501e-08
1846,1.6978054517835517e-08,1.3465352832753297e-08
1847,2.9662729161827883e-08,2.1572894581822766e-08
1848,2.333114323960217e-08,1.528592136201823e-08
1849,4.189707314417035e-08,7.54147366777147e-09
1850,2.2403686017469226e-08,1.765138968323754e-08
1851,1.096404567135778e-08,1.7413483988093503e-08
1852,4.427170807730363e-08,2.8646399474752116e-08
1853,5.971931837933653e-09,2.448492031348337e-08
1854,4.208488119106235e-08,4.676098175337984e-09
1855,5.837630823180007e-08,1.751289246954002e-08
1856,5.3842768188427925e-08,1.9155599773057475e-08
1857,2.0502338549110988e-08,2.2943092758964667e-08
1858,2.6425849952715907e-08,1.663849763522407e-08
1859,4.226503946824778e-08,8.14747713739905e-09
1860,5.0806741119791e-08,1.9224172476128842e-08
1861,5.234719679947375e-08,2.2165028923382124e-08
1862,5.737842562192341e-08,2.1234535907410645e-08
1863,4.9946207170137313e-08,2.0477944673302773e-08
1864,3.068625842317374e-08,2.205574922697906e-08
1865,2.729969672543575e-08,2.0710115400390805e-08
1866,1.0217787504984699e-08,2.432806489593986e-08
1867,4.610170911689693e-08,6.308654931785895e-09
1868,5.532658775564414e-08,1.3337659643397615e-08
1869,4.2974966696363026e-08,1.465055732285947e-08
1870,3.268407855472333e-08,1.0321287824410774e-08
1871,1.3807530230280918e-08,1.805600113868877e-08
1872,4.898344840853497e-08,1.753728384734643e-08
