year,leurs_DET sentiers_NOUN
1800,1.0375742931501009e-07
1801,9.048493865293494e-08
1802,2.9091921760482364e-08
1803,3.90067853572873e-08
1804,1.730295728918918e-08
1805,5.970043304159844e-08
1806,2.881669125542885e-08
1807,6.832692633906845e-08
1808,2.4926814390369145e-08
1809,4.518061036407062e-09
1810,8.89248141788812e-08
1811,1.504245972228091e-08
1812,1.8670457180292033e-08
1813,2.300593315851529e-08
1814,6.293354282149721e-09
1815,1.0788894222457657e-08
1816,1.622322720606917e-08
1817,3.89218364205135e-08
1818,2.5034472272977837e-08
1819,3.1053151161586356e-08
1820,5.458581142647745e-08
1821,3.35290586406245e-08
1822,1.2030739071633434e-08
1823,4.644862983127496e-08
1824,2.7789671008804362e-08
1825,3.169959583715354e-08
1826,2.3781558056157337e-08
1827,3.6869092223668076e-09
1828,1.559291185060374e-08
1829,8.573175946935407e-09
1830,7.305785310052215e-09
1831,4.8332740476553226e-08
1832,2.4353944638733083e-08
1833,2.7800709290204395e-08
1834,3.453776287187793e-08
1835,2.117664621437143e-08
1836,4.301280043250699e-08
1837,2.7831564608504777e-08
1838,2.1461350030449466e-08
1839,3.705482010118999e-08
1840,2.1019973317493168e-08
1841,2.8250413564023802e-08
1842,2.2808102073668124e-08
1843,2.658109998776581e-08
1844,3.677336124496833e-08
1845,3.013322924516615e-08
1846,1.5221703009160592e-08
1847,2.0494249852731627e-08
1848,1.930853166243196e-08
1849,2.011059585527164e-08
1850,2.9192683825840504e-08
1851,2.7732586005413395e-08
1852,1.4974254725075298e-08
1853,4.060913738612726e-08
1854,4.000661490977109e-08
1855,2.2819829581521844e-08
1856,3.209857268871019e-08
1857,5.4672902649599564e-08
1858,2.397901255335455e-08
1859,2.189634606963864e-08
1860,1.9681891672007623e-08
1861,1.9335450573976232e-08
1862,3.4336697041226216e-08
1863,4.5950510951797696e-08
1864,3.548098703731739e-08
1865,2.6358328852893465e-08
1866,3.1139922029854716e-08
1867,2.6690463172940326e-08
1868,2.766329476600049e-08
1869,2.1487483792270723e-08
1870,3.2110673675589396e-08
1871,2.2304472935275044e-08
1872,2.9027228620748247e-08
1873,1.97538145840781e-08
1874,2.3300975704465543e-08
1875,2.689117728493784e-08
1876,2.1765654167893445e-08
1877,4.02013056177708e-08
