year,dix_DET antennes_NOUN,dix_DET centaines_NOUN
1800,0.0,4.087413785214267e-08
1801,0.0,6.429193177837078e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,9.751696339321825e-09
1804,0.0,5.6852570651244605e-08
1805,0.0,2.55858996212055e-08
1806,0.0,0.0
1807,0.0,6.832692633906845e-08
1808,0.0,1.5862518409903714e-08
1809,0.0,3.388545621874073e-08
1810,0.0,3.510190227373755e-08
1811,0.0,1.7549536490690798e-08
1812,0.0,1.600324850414836e-08
1813,0.0,8.91479932096928e-08
1814,0.0,6.293354282149721e-09
1815,0.0,8.091670444798638e-09
1816,0.0,9.270415546325239e-09
1817,0.0,4.670620223912181e-09
1818,0.0,1.9073883805731384e-08
1819,0.0,1.6561680027393777e-08
1820,0.0,3.5599443393152796e-09
1821,0.0,7.88919063410276e-09
1822,0.0,3.0076847679083585e-09
1823,0.0,1.2847492847356534e-08
1824,0.0,5.894778887238772e-09
1825,0.0,3.522177216552791e-09
1826,0.0,2.290075906685729e-08
1827,0.0,1.1060727445055818e-08
1828,0.0,8.255070960139221e-09
1829,0.0,1.2859763920403111e-08
1830,0.0,2.0873671235932534e-08
1831,0.0,4.677361609140007e-09
1832,0.0,3.2471926925126127e-08
1833,0.0,1.6217080123226424e-08
1834,0.0,1.7735608537350345e-08
1835,0.0,2.7227116561334697e-08
1836,0.0,1.9490174363312462e-08
1837,0.0,1.2524203896191466e-08
1838,6.312161904276081e-10,1.5780404538645598e-08
1839,0.0,9.088918062616358e-09
1840,0.0,8.917564464638872e-09
1841,0.0,8.346713098461578e-09
1842,0.0,4.695785538189057e-09
1843,0.0,3.721354069341487e-08
1844,5.488561272137815e-10,6.586273415543076e-09
1845,0.0,1.8414751945527996e-08
1846,0.0,7.025401593807601e-09
1847,0.0,9.168480197274675e-09
1848,0.0,8.84974404868899e-09
1849,0.0,8.379414495607307e-09
1850,0.0,1.2220192857625989e-08
1851,0.0,9.029214709244116e-09
1852,0.0,1.7578472011337e-08
1853,0.0,1.2541056859660671e-08
1854,0.0,1.4028293915391288e-08
1855,5.306937111981824e-10,6.368324534378189e-09
1856,0.0,9.836659486950339e-09
1857,0.0,1.5620829185714058e-08
1858,0.0,4.893676019968041e-10
1859,0.0,3.055304009791371e-09
1860,1.8308735638683515e-09,1.6477861825014983e-08
1861,0.0,8.488734437595014e-09
1862,0.0,4.517986429419807e-09
1863,0.0,1.548332484446746e-08
1864,0.0,9.589456340108882e-09
1865,0.0,1.6473954644879996e-08
1866,0.0,1.216403244796993e-08
1867,0.0,7.76449837758264e-09
1868,0.0,2.0747471296544973e-08
1869,1.953407657850903e-09,7.325278716940886e-09
1870,0.0,1.0321287380321564e-08
1871,0.0,1.1683295220166201e-08
1872,0.0,6.652073114565837e-09
1873,0.0,7.183205363858747e-09
1874,0.0,4.779687312606029e-09
1875,0.0,9.7265964171811e-09
1876,0.0,6.650616279912924e-09
1877,0.0,6.184815992682502e-10
1878,0.0,6.039088784604019e-09
1879,6.10932526790009e-10,1.4662381087049425e-08
1880,0.0,5.776061406947974e-09
1881,0.0,1.3945015142624584e-09
1882,6.655385131892899e-10,4.6587693702804245e-09
1883,0.0,1.2638677882037541e-09
1884,0.0,2.5086448474098688e-08
1885,0.0,7.7347630522695e-09
1886,6.453463874400711e-10,3.872078380151578e-09
1887,0.0,4.570247291724172e-09
1888,0.0,1.268122939990235e-09
1889,0.0,6.265136742733546e-10
1890,0.0,0.0
