year,elles_PRON auraient_VERB,elles_PRON sauraient_VERB
1800,8.520685526036686e-07,6.288328968651058e-09
1801,4.809988745080318e-07,1.904946067554647e-08
1802,7.586278343296726e-07,2.4616241489638924e-08
1803,7.294268939972426e-07,9.751696339321825e-09
1804,1.1469387999341052e-06,7.4155526164076946e-09
1805,6.282759859033149e-07,0.0
1806,1.0143475464019502e-06,1.152667650217154e-08
1807,1.1074655716925008e-06,0.0
1808,8.089884246942347e-07,9.064295980465431e-09
1809,1.1069250103190598e-06,2.9367397402779716e-08
1810,9.477513387423642e-07,7.020380277111826e-09
1811,1.0855642003093635e-06,5.0141535368197765e-09
1812,1.2775927231700734e-06,2.6672082320544632e-09
1813,9.432432577227701e-07,0.0
1814,1.2397907838135325e-06,1.2586708564299443e-08
1815,1.1867783769048401e-06,0.0
1816,1.0869561748449996e-06,0.0
1817,9.855008471504334e-07,7.784366928831332e-09
1818,1.2040389663070528e-06,9.536941902865692e-09
1819,1.2162483358224563e-06,3.1053151161586356e-09
1820,1.2234342108286e-06,2.3732962262101864e-09
1821,1.3490516366232441e-06,2.9584464877885353e-09
1822,1.3945632133527397e-06,8.02049271442229e-09
1823,1.2383006406935237e-06,3.9530747564242574e-09
1824,1.0459022163900045e-06,9.263223965660927e-09
1825,1.0804278858245198e-06,3.522177216552791e-09
1826,1.1300644118250602e-06,8.807984452907647e-09
1827,1.5346759170142832e-06,1.013900075008678e-08
1828,1.7409028103543278e-06,1.6510142586412258e-08
1829,1.619472989489168e-06,1.714635211591542e-09
1830,1.5112538278572174e-06,4.4878394334091354e-08
1831,1.4172406253010195e-06,9.354723218280014e-09
1832,1.4937086660893328e-06,1.2176972319366541e-08
1833,1.3877186475497183e-06,2.0850531967653296e-08
1834,1.4337839786549011e-06,2.8003592333902816e-08
1835,1.3848014361883543e-06,1.5126175867408165e-08
1836,1.4026205903405753e-06,2.016225053580456e-08
1837,1.4555907767999088e-06,2.01778832531474e-08
1838,1.4947199247217213e-06,1.5149188570262595e-08
1839,1.3892061758724594e-06,4.194885327990505e-09
1840,1.7185419523002565e-06,8.280594876453051e-09
1841,1.6751211404653077e-06,2.3113974734201292e-08
1842,1.6066294534766712e-06,1.341653010911159e-08
1843,1.5375689486063493e-06,2.53997169963327e-08
1844,1.5472254091264404e-06,1.975882035765153e-08
1845,1.6316585984554877e-06,1.8414752389617206e-08
1846,1.5250976375114078e-06,2.3418005312692003e-09
