year,ces_DET airs_NOUN,ces_DET cerfs_NOUN
1800,4.181738866293472e-07,2.515331676278265e-08
1801,4.238504889286787e-07,6.429193177837078e-08
1802,3.6700578220916213e-07,2.2378401354217203e-09
1803,4.0567054426787763e-07,4.875847881002926e-08
1804,7.786330371573058e-07,7.168367943677367e-08
1805,6.02690079176682e-07,0.0
1806,7.405889590472725e-07,2.881669125542885e-09
1807,3.3024679169102455e-07,0.0
1808,3.3991110370834576e-07,4.5321478125970316e-08
1809,3.998484032763372e-07,1.3554183553310395e-08
1810,4.5632472378542843e-07,0.0
1811,4.061464267124393e-07,2.5070768128188092e-08
1812,6.027890364634914e-07,8.00162425207418e-09
1813,6.039057396378666e-07,0.0
1814,7.457624633389059e-07,1.2586708120210233e-08
1815,2.643279088943018e-07,0.0
1816,3.036061109185084e-07,3.244645441213834e-08
1817,4.110145797042719e-07,5.4490570278176165e-08
1818,3.9339886015454795e-07,5.960588467246453e-09
1819,4.5958660876976865e-07,2.173720536902124e-08
1820,5.541646501683317e-07,1.4239777357261119e-08
1821,5.216727174683911e-07,1.2819934447350079e-08
1822,4.4513735986129177e-07,4.010246357211145e-09
1823,3.014219576158439e-07,2.371844876059015e-08
1824,3.7558162802042716e-07,4.968456490672679e-08
1825,5.151184421237076e-07,3.610231535944308e-08
1826,3.8138572833190665e-07,2.9947146540365566e-08
1827,2.7283126868837826e-07,1.6591091167583727e-08
1828,3.6689204740980585e-07,2.3847982533187206e-08
1829,3.7379047057584103e-07,3.7721974710525075e-08
1830,5.89681221185856e-07,1.5655253760016308e-08
1831,2.806417143119688e-07,1.2472964883158966e-08
1832,4.4784197683611637e-07,6.764984572527055e-09
1833,5.965568661281395e-07,2.6642345218874652e-08
1834,3.2857548859510644e-07,3.173740514839096e-08
1835,4.363901808801529e-07,4.61348363955949e-08
1836,3.790502951517283e-07,9.409050205633207e-09
1837,2.845777480331435e-07,3.339787546519091e-08
1838,3.1118958787601514e-07,1.5149188570262595e-08
1839,4.1809022022221143e-07,3.146163862766116e-08
1840,3.40141363963653e-07,1.592422194107712e-08
1841,3.6918153512033314e-07,1.0914932513372833e-08
