year,quelles_DET herbes_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,2.5354410126965377e-08
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,1.1387820464392462e-08
1808,0.0
1809,4.518061036407062e-09
1810,0.0
1811,1.504245972228091e-08
1812,0.0
1813,5.751483289628823e-09
1814,0.0
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,4.768470951432846e-09
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,4.010246357211145e-09
1823,4.941343334508019e-09
1824,8.421112696055388e-10
1825,8.805443041381977e-10
1826,4.403992281964975e-09
1827,0.0
1828,0.0
1829,1.714635211591542e-09
1830,3.1310507520032616e-09
1831,2.8064171431196883e-08
1832,6.764984572527055e-09
1833,0.0
1834,2.6136685704614138e-08
1835,1.8907719834260206e-08
1836,3.36037508930076e-09
1837,2.7831563720326358e-09
1838,5.680945491803868e-09
1839,4.194885327990505e-09
1840,6.369688665408546e-10
1841,5.1364388298225094e-09
1842,1.341653010911159e-09
1843,2.3627644285539873e-09
1844,3.2931368743049916e-09
1845,1.1160455892778032e-09
1846,7.025401593807601e-09
1847,5.393223645455691e-10
1848,9.65426583121598e-09
1849,4.1897072478036534e-09
1850,1.3577992064028876e-09
1851,1.9348316282474798e-09
1852,6.510545436100301e-09
1853,5.971931837933653e-10
1854,6.234797567117312e-09
1855,1.0083180512765466e-08
1856,0.0
1857,1.464452725752352e-09
1858,2.1532174210303623e-08
1859,1.323965115318515e-08
1860,2.746310290291376e-09
1861,5.659156698811785e-09
1862,1.490935552794781e-08
1863,7.491931297565202e-09
1864,6.233146332412787e-09
1865,3.765475597994339e-09
1866,9.731225825149181e-10
1867,0.0
1868,1.333765986544222e-08
1869,1.953407657850903e-09
1870,3.325748387794647e-08
1871,4.248470908407853e-09
1872,6.652073447632745e-09
1873,7.781805422268917e-09
1874,1.1949218281515073e-09
1875,6.293679799540541e-09
1876,1.209202959984168e-09
1877,1.2369631985365004e-09
1878,2.4156354694326865e-09
1879,1.221865053580018e-09
1880,4.492492600149944e-09
1881,2.7890030285249168e-09
1882,6.655385131892899e-10
1883,3.159669414998234e-09
1884,6.601696966868076e-10
1885,7.090199094506033e-09
1886,2.5813854942491332e-09
1887,9.793386546164129e-09
1888,6.340614699951175e-09
1889,7.51816386923565e-09
1890,1.9663159989136147e-09
1891,1.9122659011827636e-09
1892,1.8805537127519756e-09
1893,4.926733299104313e-09
1894,1.8904617871129403e-09
1895,4.213030146971164e-09
1896,7.076434771491336e-09
1897,2.9133566670225264e-09
1898,4.52668391659472e-09
1899,0.0
1900,5.191053142894475e-10
1901,2.794369402536745e-09
1902,6.38336894454028e-09
1903,3.2401321625741275e-09
1904,1.0749250378694342e-09
1905,6.708986699521802e-09
1906,2.572092316910357e-09
1907,5.142843373384665e-10
1908,1.4734167219643268e-09
1909,6.0510818578052294e-09
1910,8.016225794271747e-09
1911,9.576673565270255e-09
1912,2.6047106693738442e-09
1913,2.651494912520036e-09
1914,0.0
1915,0.0
1916,5.493730803607377e-09
1917,3.289927441585405e-09
1918,3.44591288836682e-09
1919,2.762354511798293e-09
1920,2.2716695191604686e-09
1921,3.7863738810983705e-09
1922,3.6889677978990676e-09
1923,7.431163684401554e-09
1924,2.578324886925998e-09
1925,7.698724324711748e-09
1926,4.458455493683289e-09
1927,1.1149224876660924e-09
1928,3.4278122562625413e-09
