year,les_DET heures_NOUN,les_DET soeurs_NOUN
1800,5.1501412201560015e-06,1.257665767084859e-07
1801,5.2433641855031965e-06,1.4525213831717565e-07
1802,7.490050990099917e-06,1.096541666356643e-07
1803,5.041627026969309e-06,1.5992781388085575e-07
1804,6.172211939770023e-06,1.0381773907219838e-07
1805,6.117873017075226e-06,8.812920992973261e-08
1806,6.04286017846789e-06,1.0085841761764414e-07
1807,5.118825498584556e-06,2.2490944973085902e-07
1808,5.384191780422043e-06,1.9261629180533646e-07
1809,6.0135394477356385e-06,1.6490922361001026e-07
1810,6.7606260074626334e-06,3.205973682085528e-07
1811,4.989082860618055e-06,1.5293167976437871e-07
1812,5.577132249356964e-06,9.335228634554937e-08
1813,5.167707683995104e-06,2.0705339642823617e-07
1814,6.183220641275966e-06,1.6048053108619342e-07
1815,4.6715912409567295e-06,2.9399735890223155e-07
1816,5.091775763688133e-06,1.4137383885781674e-07
1817,5.6545644300243225e-06,1.0898114100044154e-07
1818,5.135643203146856e-06,1.1086694962081367e-07
1819,5.5709349355836935e-06,8.384350480561409e-08
1820,5.208198512463014e-06,3.417546494688395e-07
1821,5.0145666570244884e-06,1.1044866876641635e-07
1822,4.783221143611627e-06,8.72228582693424e-08
1823,5.33368610788898e-06,1.1562743851278867e-07
1824,5.114983927967387e-06,1.0947446593689847e-07
1825,5.429436296111589e-06,9.421824209709939e-08
1826,5.362300903755113e-06,8.984143917700749e-08
1827,5.213289428596113e-06,8.756409086707606e-08
1828,4.772348323633935e-06,6.879225811218248e-08
1829,4.902999499734051e-06,6.944272445963406e-08
1830,6.070063641061552e-06,7.410153335385417e-08
1831,5.42418045768045e-06,8.263339301706196e-08
1832,6.09119202721331e-06,9.470978579173561e-08
1833,6.690703763467809e-06,8.803557882686164e-08
1834,6.1253192100707565e-06,9.147840462908619e-08
1835,7.16375685527737e-06,1.1269001021219083e-07
1836,5.873935373656991e-06,1.0685992490877538e-07
1837,6.097895472123582e-06,8.558206165965032e-08
1838,6.224422747891367e-06,5.2390942917313055e-08
1839,6.165083050291287e-06,7.550793068578088e-08
1840,6.0435606989983626e-06,9.809320244968944e-08
1841,6.27223388960374e-06,8.796151540479968e-08
1842,6.101837698224699e-06,7.78158733005796e-08
1843,6.986694494059975e-06,8.328744804941834e-08
1844,6.675188458871162e-06,1.0922237159149972e-07
1845,6.876515069365041e-06,1.367155828546629e-07
1846,6.685255044658334e-06,1.1299187718805115e-07
1847,6.348363658759126e-06,7.766241871820512e-08
1848,7.173119708880904e-06,1.0780597237136647e-07
1849,8.210988589496537e-06,1.0809445250004046e-07
1850,6.918665839350524e-06,8.21468519873747e-08
1851,6.4391195166990656e-06,5.482022968905653e-08
1852,7.386864815828176e-06,9.049658156179419e-08
1853,7.470289396849239e-06,8.898178349703301e-08
1854,7.495785226296903e-06,7.014147040962371e-08
1855,7.290139492965864e-06,7.960405667972736e-08
1856,6.76813934319398e-06,8.801221818011129e-08
1857,7.710831667395723e-06,8.152120267723717e-08
1858,6.957339408586449e-06,8.12350231527148e-08
1859,7.661684136905933e-06,7.230886289733007e-08
1860,7.932717643654996e-06,6.591144829926066e-08
1861,7.15883297530695e-06,9.714884996459006e-08
1862,7.215223874368348e-06,7.816116420755748e-08
1863,7.513907753775584e-06,6.94252286770336e-08
1864,7.314357304721852e-06,7.863353745918289e-08
1865,7.418457268926204e-06,7.6721563324611e-08
1866,6.775365889666318e-06,8.271541984683495e-08
1867,7.470903426565201e-06,1.0773241143624546e-07
1868,6.9780660716389775e-06,6.6194313252943e-08
1869,7.115287253611768e-06,8.497323111811284e-08
1870,6.620532566614656e-06,8.371711235355406e-08
1871,7.398712003947594e-06,1.1152236201183996e-07
1872,7.273739637270182e-06,7.74059434327512e-08
1873,7.0491186647814175e-06,8.73956644831253e-08
1874,7.238238847406819e-06,1.0873788924836703e-07
1875,6.710779302920855e-06,9.040012804995001e-08
1876,6.504302810128593e-06,9.734084049917158e-08
1877,7.648762025525002e-06,1.0390490867706603e-07
1878,7.24509447991295e-06,9.964496094916342e-08
1879,6.827170832224283e-06,8.125402706227192e-08
1880,7.014706163488427e-06,9.690948132856647e-08
1881,7.0171316153277985e-06,1.0667936711783454e-07
1882,7.300957499012384e-06,1.1181047154806834e-07
1883,6.981605523037615e-06,8.088753955526329e-08
1884,8.06991457835693e-06,9.836528391815591e-08
1885,7.411191838002651e-06,8.89497728806532e-08
1886,7.2788619718267e-06,9.357522623432146e-08
1887,8.180742629093629e-06,1.025041189706144e-07
1888,7.481925237584619e-06,9.003673007157431e-08
1889,7.41103033874424e-06,1.133989737667207e-07
1890,7.805619006262532e-06,2.412014192820777e-07
