year,aux_ADP ondes_NOUN,aux_ADP sondes_NOUN
1800,1.5720823043352539e-07,2.5153315874604232e-08
1801,2.3335588750228453e-07,1.904946067554647e-08
1802,1.3650824826072494e-07,4.699464284385613e-08
1803,8.386458461018265e-08,9.751696339321825e-09
1804,1.87860678790841e-07,2.4718509461507665e-09
1805,1.0802935390685775e-07,1.9900143755080535e-08
1806,1.671368039524168e-07,2.881669125542885e-09
1807,1.195721210933698e-07,1.1387820464392462e-08
1808,1.5409302811519865e-07,3.6257183921861724e-08
1809,1.3780085539316644e-07,4.518061036407062e-09
1810,1.8721013361755467e-07,2.3401266702194334e-08
1811,1.2284675676710322e-07,5.0141535368197765e-09
1812,1.0935553973467904e-07,3.7340914360584065e-08
1813,1.1790540810352468e-07,4.888760685162197e-08
1814,5.97868634599763e-08,1.3845379953636439e-07
1815,5.39444717784221e-08,4.5852800667489646e-08
1816,1.1356259221884102e-07,4.6352077731626196e-09
1817,1.71256075987003e-07,1.401186100480345e-08
1818,1.4424624339426373e-07,4.768470773797162e-08
1819,4.5544620519422097e-08,3.415846450138815e-08
1820,8.899861114741725e-08,4.9839222526770754e-08
1821,1.3017164235407108e-07,1.3806083387635226e-08
1822,9.724847416237026e-08,2.4061478143266868e-08
1823,2.065481496948962e-07,2.4706716672540097e-08
1824,1.4484314192486636e-07,3.452656116564867e-08
1825,2.0164463876426453e-07,3.522177394188475e-08
1826,1.2243098135300556e-07,5.108631029315802e-08
1827,1.843454668915001e-07,3.594736597278825e-08
1828,1.1281930528683759e-07,5.4116576109208836e-08
1829,6.687077558353849e-08,1.457439946506156e-08
1830,1.2106729641025993e-07,4.383471008395645e-08
1831,2.8843732025052304e-07,4.677361786775691e-08
1832,1.5288865995444212e-07,3.2471927369215337e-08
1833,1.969216907315996e-07,3.59092489077284e-08
1834,1.4001795989315724e-07,4.480574844478724e-08
1835,2.208421676641592e-07,2.4201881387853064e-08
1836,2.0027835034852615e-07,2.6210924986003192e-08
1837,1.6838095873161762e-07,3.061472142462662e-08
1838,1.836839089719433e-07,2.5248647617104325e-08
1839,1.6639710809229769e-07,4.334714631681891e-08
1840,1.764403818604876e-07,2.5478755105723394e-08
1841,1.5858754442987788e-07,4.173356416004026e-08
1842,1.663649680239132e-07,9.39157089874243e-08
1843,1.228637529493426e-07,3.721353891705803e-08
1844,1.201994876964818e-07,3.2931367854871496e-08
1845,1.1439467328955288e-07,1.1551071565918392e-07
1846,1.6216968945492738e-07,4.390875929516369e-08
1847,1.2889805134363996e-07,2.426950729272903e-08
1848,1.3274615184855065e-07,6.516629724728773e-08
1849,1.5837094924364692e-07,4.776266493422554e-08
1850,1.1473403560557927e-07,7.739455298860776e-08
1851,1.6123597390560462e-07,3.9341575330809064e-08
1852,1.263045845689703e-07,4.6224872818356744e-08
1853,1.6422811999206033e-07,6.151089593231518e-08
1854,1.465177374981863e-07,2.286092382064453e-08
1855,1.586774267536839e-07,5.306937111981824e-08
1856,1.827547810862029e-07,2.3815070804289462e-08
1857,1.5035048339662183e-07,1.9037885934380938e-08
1858,1.8644905064313377e-07,1.1010771316932733e-07
1859,1.5938502384571507e-07,3.208069188076479e-08
1860,1.7759474246759055e-07,4.577183787546346e-08
1861,1.7260426798948458e-07,1.5562680033553988e-08
1862,1.8388203670838266e-07,2.1686334505943705e-08
1863,2.3724449249584723e-07,2.8968800691586694e-08
1864,2.0185804028294285e-07,2.8768367243969806e-08
1865,2.1651483450568776e-07,2.6358328852893465e-08
1866,2.1846601860886494e-07,2.6274308950746672e-08
1867,2.3827303863299676e-07,1.649955905236311e-08
1868,4.2334721683801035e-07,6.323038803657255e-08
1869,2.4515264840374584e-07,1.5138908793232986e-08
1870,3.1135886047195527e-07,3.7844721134661086e-08
1871,2.1029930508120742e-07,4.248470730772169e-08
1872,3.537693373800721e-07,4.051717183983783e-08
1873,1.98735346568224e-07,3.23244258026989e-08
1874,2.1448846609928296e-07,3.0470506118263074e-08
1875,1.6935720736910298e-07,1.94531928343622e-08
1876,1.438951520160714e-07,2.3579458385825092e-08
1877,2.0100652553534104e-07,3.463496867084359e-08
1878,2.2103064623024693e-07,1.5701630218245555e-08
1879,1.4540194115397753e-07,1.588424503040642e-08
1880,1.3349119942773768e-07,2.5029599726167362e-08
1881,1.5339516323820135e-07,6.902782700990429e-08
1882,1.8302309157114394e-07,3.5939081044489285e-08
1883,1.680944222148817e-07,2.0853818227806187e-08
1884,1.4655767088811444e-07,1.7164412113856997e-08
1885,2.1399510968800328e-07,2.900535989169839e-08
1886,1.3616808608452047e-07,1.1616235084943582e-08
1887,1.6191733387405094e-07,2.6768590899450828e-08
1888,1.4583413587843097e-07,1.5851536971922542e-08
1889,2.355691455235842e-07,2.7566601445982997e-08
1890,2.0711861137279186e-07,2.6872983838188702e-08
1891,3.034128659429314e-07,2.2947192590550003e-08
1892,2.3945717564366475e-07,1.56712811616444e-08
1893,2.9929904599157453e-07,2.0322774574310642e-08
1894,2.1677294625987997e-07,2.898708117982096e-08
1895,2.5157808636322443e-07,1.5046536461227333e-08
1896,2.2349739481342112e-07,1.2973464080801023e-08
1897,2.6919416384885153e-07,3.903898004864459e-08
1898,2.5802097902705157e-07,8.487532454637403e-09
1899,3.498957141800929e-07,1.7688250864011934e-08
1900,2.06603910646308e-07,1.86877908703309e-08
1901,2.2466730431602855e-07,2.179608138419553e-08
1902,3.9675093504998316e-07,2.455141867585553e-08
1903,4.849397805539724e-07,3.186130115295782e-08
1904,2.907672174146114e-07,1.6123875568041512e-08
1905,2.523611053462105e-07,1.7030505006232488e-08
1906,2.844733986151482e-07,9.773950537805831e-09
1907,3.311991049192997e-07,2.6228502036929058e-08
1908,2.61777041377087e-07,3.58531409005991e-08
1909,3.4656195369020537e-07,1.320236009405562e-08
1910,2.800335039410129e-07,1.8170112525695004e-08
