year,plusieurs_DET herbes_NOUN
1800,3.144164484325529e-09
1801,7.143547753329926e-09
1802,4.0281122437590966e-08
1803,6.436119548425268e-08
1804,1.408954997117462e-07
1805,5.685755488649136e-08
1806,2.5935023018064385e-08
1807,2.2775640928784924e-08
1808,1.1330369531492579e-08
1809,3.6144488291256494e-08
1810,1.1700633351097167e-08
1811,4.512738271955641e-08
1812,5.3344164641089264e-09
1813,4.3136125782439194e-08
1814,1.5733386149463513e-08
1815,6.74305908887618e-08
1816,6.257530316133852e-08
1817,5.1376821019744057e-08
1818,5.2453181353939726e-08
1819,3.001804493862892e-08
1820,2.8479554714522237e-08
1821,2.3667572568442097e-08
1822,1.303330066093622e-08
1823,2.8659792428165076e-08
1824,1.8526447931321854e-08
1825,1.4088708866211164e-08
1826,2.6423952803611428e-08
1827,4.3321182641165024e-08
1828,3.668920500743411e-09
1829,8.57317605795771e-10
1830,2.2961038625979313e-08
1831,1.5591206325993312e-08
1832,6.22378593106987e-08
1833,3.4750887167867006e-08
1834,2.800359300003663e-08
1835,1.9664028627630614e-08
1836,2.7555075721164002e-08
1837,1.6698938232195815e-08
1838,1.1361891205652341e-08
1839,6.9914749545318955e-09
1840,1.4013314952876499e-08
1841,2.43980835534785e-08
1842,2.683306021822318e-09
1843,1.2404512972352677e-08
1844,1.1525978449444807e-08
1845,1.4508592549589139e-08
1846,4.6836010625384006e-09
1847,3.235934187273415e-09
1848,2.091757700384278e-08
1849,3.3517659758786067e-09
1850,4.752297222410107e-09
1851,8.384270167027807e-09
1852,1.2370035884501362e-08
1853,1.851298936372814e-08
1854,9.871762074453727e-09
1855,7.429711956774554e-09
1856,8.801221529353143e-09
1857,1.5620829185714058e-08
1858,1.4681028059904122e-09
1859,2.5460866748261424e-09
1860,9.612086238064421e-09
1861,6.13075279431996e-09
1862,1.7168348548368684e-08
1863,4.9946209945694875e-09
1864,4.794728170054441e-09
1865,5.177528739075399e-09
1866,3.8924903300596725e-09
1867,5.82337378318698e-09
1868,1.6301584082611953e-08
1869,9.767038289254515e-10
1870,6.307453670473251e-09
1871,4.248470908407853e-09
1872,1.4513614310374123e-08
1873,1.5563611011071288e-08
1874,9.559374958278966e-09
1875,5.149374260327022e-09
1876,4.836811839936672e-09
1877,1.2369631985365004e-09
1878,6.642997441019816e-08
1879,4.887460214320072e-09
1880,7.059630879879819e-09
1881,5.5780060570498335e-09
1882,1.0648616211028639e-08
1883,1.6430281413182257e-08
1884,7.2618666635548834e-09
1885,6.445635636342928e-09
1886,6.453463874400711e-10
1887,3.9173548849191775e-09
1888,6.340614699951175e-09
1889,5.6386229019267375e-09
1890,8.520702365899524e-09
1891,2.549687905251119e-09
1892,1.8805537127519756e-09
1893,6.774258043407144e-09
1894,1.2603078580752936e-09
1895,3.611168697403855e-09
1896,3.5382172747233653e-09
1897,2.9133566670225264e-09
1898,2.8291773368493978e-09
1899,4.4220627160029835e-09
1900,2.595526460424935e-09
1901,5.029864968975062e-09
1902,8.347482705062248e-09
1903,1.6200660812870638e-09
1904,2.6873125946735854e-09
1905,2.0643036724443675e-09
1906,3.0865106026567446e-09
1907,3.0857059130084963e-09
1908,4.4202499438483756e-09
1909,2.200393367512987e-09
1910,3.206490406526541e-09
1911,1.0108711201439746e-08
1912,3.646594803896619e-09
1913,2.6514948014977335e-09
1914,2.0090231700464756e-09
1915,1.1780761921542648e-09
1916,6.592477230782379e-09
1917,0.0
1918,2.2972752589112133e-09
1919,3.6831393490643904e-09
1920,1.514446346106979e-09
1921,6.815472630705699e-09
1922,4.426761179843197e-09
1923,2.1231896241147297e-09
1924,5.156649773851996e-09
1925,5.499089184013428e-09
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,5.570202965543558e-09
1930,3.1510810627466412e-09
1931,1.1405356659111021e-09
1932,6.575722188983946e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,2.393656828303392e-09
1936,3.6374143697059935e-09
1937,3.777335333410292e-09
1938,5.186085783037697e-09
1939,1.5294050470515685e-09
1940,1.0143131667916805e-08
1941,1.7709016475464523e-08
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,1.3921104269343232e-08
1947,1.1920870957027319e-09
1948,2.174377566888097e-09
1949,9.817008317369869e-10
1950,3.190608444114673e-09
1951,5.330700991734716e-09
1952,3.1634410646574906e-09
1953,4.3095309543161875e-09
1954,0.0
1955,9.385607846468247e-10
1956,5.232684952005684e-09
1957,3.5340151360863103e-09
1958,1.6544486891589827e-09
1959,1.5501495642666896e-09
1960,2.7683333403416555e-09
1961,1.3896318540318475e-09
1962,3.170978202238217e-09
1963,1.2285501393982656e-08
1964,5.475571440705096e-09
1965,6.019247600352884e-09
1966,3.3234448526542337e-09
1967,0.0
1968,3.1439910674890825e-09
1969,2.7250546263957176e-09
1970,5.518470042042978e-09
1971,2.569198631618974e-09
1972,5.643161493651405e-09
1973,1.102640756478479e-09
1974,5.625571564138454e-09
1975,1.4278700888326057e-08
1976,1.142705374768127e-09
1977,2.9383909194713453e-09
1978,1.306930097477732e-08
1979,4.096381456264453e-09
1980,1.7055452605774235e-09
1981,6.958104314946922e-09
1982,3.1037510339615437e-09
1983,4.4207211225000265e-09
