year,leurs_DET yeux_NOUN,leurs_DET cieux_NOUN
1800,1.0740466251490943e-05,0.0
1801,1.024384789616306e-05,1.6668277424969347e-08
1802,7.946570548256204e-06,0.0
1803,1.0498676260795037e-05,5.851017448321727e-09
1804,1.033728096899722e-05,4.943701892301533e-09
1805,1.027984586698949e-05,0.0
1806,7.451996168583719e-06,2.881669125542885e-09
1807,8.02271915745223e-06,0.0
1808,8.926065618197754e-06,2.4926813946279935e-08
1809,8.376485482131102e-06,0.0
1810,9.985320929217778e-06,0.0
1811,6.721472885828916e-06,2.5070767684098882e-09
1812,7.113444510764566e-06,2.6672082320544632e-09
1813,8.31376901544445e-06,2.8757416448144113e-09
1814,9.156830358847401e-06,0.0
1815,8.072789967172866e-06,5.394447111228828e-09
1816,8.790671245151316e-06,1.622322720606917e-08
1817,1.0283148526468722e-05,3.113746815941454e-09
1818,9.175729900334773e-06,1.9073883805731384e-08
1819,9.754829648045416e-06,2.2772310259711048e-08
1820,9.826632734188934e-06,1.0679833017945839e-08
1821,9.192879701913625e-06,1.0847637454958203e-08
1822,8.40748123209778e-06,3.0076847679083585e-09
1823,8.466498243819842e-06,8.894418535021487e-09
1824,9.613542275133113e-06,1.2631669044083083e-08
1825,9.519564883930798e-06,2.641632912414593e-09
1826,8.734877809501995e-06,2.025836387531399e-08
1827,7.2798020767095295e-06,1.8434546111834038e-09
1828,9.146618481281621e-06,9.172301251858528e-10
1829,9.318184652329364e-06,8.57317605795771e-10
1830,8.576992001962935e-06,9.39315203396518e-09
1831,7.870440725810113e-06,4.677361609140007e-09
1832,8.343931952481398e-06,1.352996914505411e-08
1833,9.226359793501615e-06,1.3900354645102198e-08
1834,8.95181514692922e-06,2.8003592777992026e-09
1835,9.263270442261273e-06,4.5378527602224494e-09
1836,8.980266670732817e-06,3.1587525484155776e-08
1837,8.490018785778375e-06,9.74104708006962e-09
1838,8.090298337037893e-06,2.398621568033832e-08
1839,8.287694811315305e-06,6.292327547896548e-09
1840,8.452577262119121e-06,2.5478754661634184e-09
1841,8.721030951619468e-06,8.346713542550788e-09
1842,8.422227054438736e-06,1.408735705865638e-08
1843,9.030485969674373e-06,1.1813822142769936e-09
1844,9.118695260212917e-06,5.488561161115513e-09
1845,8.36811022963957e-06,1.2276501593078137e-08
1846,8.638316558062797e-06,5.854501328173001e-09
1847,8.179363419458241e-06,5.3932236454556914e-09
1848,7.890753423112074e-06,8.045221711050488e-10
1849,7.73168618195541e-06,9.217356655710773e-09
1850,7.745565369532414e-06,2.7155984128057753e-09
1851,7.294960269632611e-06,6.449438760824933e-09
1852,7.82242054242488e-06,7.161599979710331e-09
1853,8.30158214171206e-06,6.569125243771623e-09
1854,8.458021838464447e-06,5.195664343204953e-09
1855,8.224160481518084e-06,6.8990182455763716e-09
1856,8.066578587317963e-06,6.73034605824796e-09
1857,7.992007056145667e-06,2.3431242834881516e-08
1858,8.165587900066384e-06,5.872411001917044e-09
1859,8.537028293176263e-06,3.055304009791371e-09
1860,8.88797563902699e-06,1.5562426014525954e-08
1861,8.756129787457212e-06,2.263662679524714e-08
1862,7.839158200795282e-06,7.680577063240435e-09
1863,8.164207002891999e-06,9.989241656072068e-10
1864,8.509203453854752e-06,1.0068928801842958e-08
1865,8.362179642062983e-06,8.001635798393636e-09
1866,8.004906277392365e-06,6.3252967308358166e-09
1867,7.3918024128261095e-06,1.94112459439566e-09
1868,7.550103731546187e-06,5.9278488784286765e-09
1869,7.761376906501027e-06,1.660396442559886e-08
1870,7.282815261078213e-06,6.880858549607183e-09
1871,7.0811388184210955e-06,8.496941816815706e-09
1872,7.467859489906914e-06,3.0236697590169115e-09
1873,7.043133066986229e-06,3.591602570907071e-09
1874,6.366543686908699e-06,7.766991494406739e-09
1875,6.796029879296839e-06,8.010138330405425e-09
1876,6.749166416852859e-06,6.04601479992084e-09
1877,6.6536250500348615e-06,3.710889595609501e-09
1878,6.413512053882187e-06,4.22736201599605e-09
1879,6.677492692119813e-06,6.720257683667796e-09
1880,6.399876184559616e-06,3.2089231272180996e-09
1881,6.363110401252925e-06,5.5780060570498335e-09
1882,6.184849425494576e-06,2.6621540527571597e-09
1883,5.791674183797113e-06,5.687405213450347e-09
1884,6.037912243073151e-06,7.922036360241691e-09
1885,5.879709007672318e-06,1.0957580620640783e-08
1886,5.900402200609278e-06,9.680196200179125e-09
1887,5.84534640779566e-06,5.223139809551469e-09
1888,5.872677220963851e-06,1.268122939990235e-09
1889,6.139834027862889e-06,2.5060546970934183e-09
1890,5.6479147900745374e-06,7.865263995654459e-09
1891,5.562781623780211e-06,5.099376032546843e-09
1892,5.774553642368119e-06,3.761107425503951e-09
1893,5.517325249115856e-06,8.005941687372342e-09
1894,5.934159446496778e-06,1.2603078580752936e-09
1895,5.800740495942591e-06,1.6250258916272742e-08
1896,5.898208428334328e-06,8.845543852942228e-09
1897,6.150679041638796e-06,6.992056267307589e-09
1898,5.574045587763976e-06,5.658354784721098e-09
1899,5.669084544024372e-06,3.8693048765026106e-09
1900,5.670706372029599e-06,3.1146317747143826e-09
1901,5.618359139702989e-06,5.588738916095792e-10
1902,4.809131809224709e-06,4.910283735171106e-09
1903,5.350538046400288e-06,6.480264325148255e-09
1904,5.377849745968888e-06,3.7622376325430196e-09
1905,5.29803500626258e-06,3.096455536422127e-09
1906,5.6514010111641255e-06,0.0
1907,5.253414613548557e-06,1.4399961223432456e-08
1908,5.508122782771352e-06,1.964555629285769e-09
1909,5.658861624624478e-06,2.750491778780173e-09
1910,5.772751791255359e-06,5.878565634276356e-09
1911,5.445402905479568e-06,6.916486494645824e-09
1912,5.536052142929293e-06,3.646594803896619e-09
1913,5.497078944927125e-06,1.0605979205990934e-08
1914,5.846257309372049e-06,1.0714789944188396e-08
1915,6.671445305528323e-06,9.424609537234119e-09
1916,7.447301811680518e-06,6.592477230782379e-09
1917,7.154495364147806e-06,2.1932848870420685e-09
1918,7.353578212132561e-06,4.594550517822427e-09
1919,6.3018513287715905e-06,9.207848705727883e-09
1920,5.950259492237819e-06,1.0601124422748853e-08
1921,5.568241164155552e-06,1.060184651180407e-08
1922,6.1627897025573475e-06,5.164555005876537e-09
1923,5.984209821008335e-06,1.2739137744688378e-08
1924,5.611723992160478e-06,3.867487219366694e-09
1925,5.682758427383305e-06,8.798542339150117e-09
1926,5.678957307964083e-06,6.687683296036084e-09
1927,5.970409915789787e-06,1.1149224876660924e-09
1928,5.125721969534425e-06,3.4278122562625413e-09
1929,5.063314688413811e-06,7.798284684668033e-09
1930,4.903082214013921e-06,6.302162347537887e-09
1931,4.790249903408039e-06,7.983749661377715e-09
1932,4.917544231375359e-06,4.383814644626227e-09
1933,4.379498975026763e-06,9.176529758292418e-09
1934,4.3181616291576574e-06,3.5944740517379614e-09
1935,4.579065503662605e-06,1.196828414151696e-08
1936,4.846248373269191e-06,3.6374143697059935e-09
1937,4.605831122717063e-06,3.777335333410292e-09
1938,4.632471146237549e-06,1.0372171566075394e-08
1939,4.39856890466217e-06,1.2235240376412548e-08
1940,4.260115233023498e-06,2.5357829169792012e-09
1941,4.6722286128897395e-06,1.1806010391524069e-08
1942,4.9275597007181204e-06,0.0
1943,6.015503146272749e-06,5.806470415592457e-09
1944,5.986165916738173e-06,9.639558484764166e-09
1945,6.271913093769399e-06,1.089252066321933e-08
1946,6.075169750374698e-06,4.1763312808029696e-09
1947,5.713673502327765e-06,1.0728784083369192e-08
1948,5.45116452599359e-06,2.174377566888097e-09
1949,4.742596530604715e-06,6.8719057111366055e-09
1950,5.162404477232485e-06,1.2762433776458693e-08
1951,4.812556966271586e-06,1.0661401761424827e-09
1952,4.659748796598251e-06,7.381362632230548e-09
1953,4.889162880772346e-06,6.464296653518886e-09
1954,4.985947697377924e-06,1.3681550559141442e-08
1955,4.573606773305983e-06,7.508486277174597e-09
1956,4.873373939062731e-06,3.488456634670456e-09
1957,4.605705186122577e-06,3.534015080575159e-09
1958,4.650655228033429e-06,5.790570245522986e-09
1959,4.606269556006737e-06,4.650448914844674e-09
1960,4.7802194416135535e-06,1.0381250303836964e-08
1961,4.99155743227675e-06,9.03260710671816e-09
1962,5.076736243836422e-06,1.3952304034337004e-08
1963,5.1547377779570525e-06,3.879631726988464e-09
1964,5.066728732572301e-06,5.475571551727398e-09
1965,5.023335830856013e-06,6.5664522708175355e-09
1966,5.069361179721454e-06,5.539074865446025e-09
1967,5.408577976595552e-06,2.9582014060558492e-09
1968,5.911152186399704e-06,6.737123720013116e-09
1969,5.074505779134597e-06,5.904285005353671e-09
1970,5.035604004888228e-06,4.1388523719376735e-09
1971,5.311047743816744e-06,1.5415192677892264e-08
1972,4.816694698206447e-06,7.182205497002769e-09
1973,4.532956154434942e-06,2.7566018911961976e-09
1974,4.439138692191591e-06,1.0688586238316589e-08
1975,4.140252087836416e-06,3.998036124386317e-09
1976,4.138307446055478e-06,1.142705374768127e-09
1977,4.280060238670558e-06,3.526069047854463e-09
1978,4.67227499711953e-06,5.346532327976661e-09
1979,4.779891838779804e-06,2.9259866751729646e-09
1980,4.579957476380514e-06,6.253665585376211e-09
1981,4.632199789966762e-06,1.1385989151513343e-08
1982,4.680456626715568e-06,8.690503427999374e-09
1983,4.6935427491234805e-06,5.683784443100137e-09
1984,4.9175592380379385e-06,1.1598016769198694e-08
1985,4.870797340572608e-06,6.015557829641693e-09
1986,5.07313292530398e-06,4.7955883708539204e-09
1987,4.871543183071481e-06,3.6664902225425067e-09
1988,4.831423510154309e-06,4.797243047249822e-09
1989,5.096819222671911e-06,1.0976243913773942e-08
1990,4.922311106270172e-06,3.2691906959314565e-09
1991,5.182121228131109e-06,8.20605139395525e-09
