year,deux_DET airs_NOUN,deux_DET serres_NOUN
1800,1.131899196593622e-07,1.8864987794131594e-08
1801,4.286128785224719e-08,4.524246932646747e-08
1802,3.1329761895904085e-08,1.969299319171114e-07
1803,9.166594594489652e-08,1.0921899473714802e-07
1804,6.921182338359699e-08,4.69651695311768e-08
1805,1.2224374312808095e-07,5.685755422035754e-09
1806,4.8988376022407465e-08,2.0171682990621775e-08
1807,6.547996633798903e-08,8.256169792275614e-08
1808,1.1556977064230978e-07,7.478044494746428e-08
1809,6.09938268780752e-08,5.6475762733043666e-08
1810,3.97821557918121e-08,7.020380277111826e-09
1811,8.77476873384353e-08,5.0141535368197765e-09
1812,5.3344166417446104e-08,0.0
1813,1.5241430628698538e-07,2.300593315851529e-08
1814,8.81069599500961e-08,0.0
1815,5.664169400176888e-08,0.0
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,3.42512151974006e-08,5.916118794857539e-08
1818,6.079800130009971e-08,2.8610825708597076e-08
1819,4.5544620519422097e-08,1.0351049795076506e-08
1820,5.3399165977907614e-08,8.306536791735653e-09
1821,1.4792232327920374e-08,2.2681422073844715e-08
1822,5.514088741165324e-08,3.208197085768916e-08
1823,1.680056804787e-08,5.929612001409623e-08
1824,6.06320114115988e-08,4.210556348027694e-09
1825,3.78634048558979e-08,2.289415235168235e-08
1826,2.9947145208097936e-08,3.2589543508265706e-08
1827,5.7147091836462494e-08,3.3182183667435083e-08
1828,7.888178754633657e-08,1.1006761724274838e-08
1829,6.086954873474326e-08,7.715858174606183e-09
1830,4.5922077696047836e-08,2.1917355041978226e-08
1831,5.145097770054008e-08,2.6505050598757407e-08
1832,2.8412935559885e-08,6.764984572527055e-09
1833,4.865123881536704e-08,2.4325620628928846e-08
1834,4.853956059314157e-08,1.0267983796552471e-08
1835,4.0840674842002045e-08,1.1344631900556124e-08
1836,5.578222345148376e-08,1.2097349955109138e-08
1837,6.88831186534955e-08,1.6698937344017395e-08
1838,4.229148320433751e-08,2.714229663247636e-08
1839,3.2859933885021064e-08,2.37710156003601e-08
1840,4.33138822586443e-08,1.0828470564661075e-08
1841,7.512042010660025e-08,1.733548193882939e-08
1842,3.8237111255057243e-08,1.408735661456717e-08
1843,6.143187425422525e-08,1.2995204023980023e-08
1844,3.45779343491337e-08,1.8661108436290874e-08
1845,4.7431936656128215e-08,1.0602432709561072e-08
1846,2.2832555401919308e-08,1.8734404916287417e-08
1847,1.941560512364049e-08,2.1033571329098777e-08
1848,3.298541073615269e-08,1.5285921195484775e-08
1849,3.686942506853086e-08,1.508294644736452e-08
1850,5.838536765168101e-08,2.511928531845342e-08
1851,3.353708155628965e-08,1.483370937194195e-08
1852,6.445439737490233e-08,3.580800012059626e-08
1853,4.598387448595531e-08,8.360704129017904e-09
1854,7.118060402211412e-08,1.2469594801167716e-08
1855,6.156047405170284e-08,1.963566731433275e-08
1856,5.694908311593139e-08,9.318940730196346e-09
1857,7.175818117488575e-08,2.0990489346672803e-08
1858,8.172439253106845e-08,1.859596826525589e-08
1859,3.97189512391094e-08,1.833182428079283e-08
1860,5.8130236957332215e-08,1.7393298440415705e-08
1861,5.847795042646098e-08,2.2165029811560544e-08
1862,8.177555432808958e-08,1.2650361674859667e-08
1863,2.2975256364077268e-08,1.9978483756233345e-08
1864,7.096197229827794e-08,1.8699438775193755e-08
1865,4.2832282387550435e-08,8.001635465326729e-09
1866,5.1088934416299026e-08,1.8002767276925624e-08
