year,vous_PRON aviez_VERB,vous_PRON saviez_VERB
1800,7.47682338442246e-06,1.5249197247158008e-06
1801,9.119929131884419e-06,1.8763718685477215e-06
1802,6.738136562489672e-06,1.2979472785445978e-06
1803,7.17529815119633e-06,1.3554857503095263e-06
1804,1.1002208793797763e-05,3.12441960659271e-06
1805,8.244345451657864e-06,1.8478704575386473e-06
1806,9.570023280502937e-06,1.5849179817450931e-06
1807,5.935901270959221e-06,7.117387674782094e-07
1808,5.479366961935739e-06,7.749972894544044e-07
1809,7.5858245054405415e-06,1.4841830022760405e-06
1810,1.054461120020278e-05,1.5491638976072863e-06
1811,5.851517073551804e-06,1.3914275882598304e-06
1812,7.062767394927505e-06,1.546980726629954e-06
1813,6.410028163372772e-06,1.3832317193873678e-06
1814,7.127223511815828e-06,9.345631042378955e-07
1815,6.834764292307227e-06,1.0950727613590061e-06
1816,7.381568423170393e-06,9.293591460846073e-07
1817,8.24208780159097e-06,1.262624365949705e-06
1818,8.189848813344724e-06,2.2769448762005595e-06
1819,7.5283186902197485e-06,1.0827198870799748e-06
1820,1.6336584394593956e-05,1.5272161348889313e-06
1821,1.517978898846195e-05,2.1576935722578128e-06
1822,1.0253197388010449e-05,1.983066823640911e-06
1823,9.5713824066479e-06,1.5891360831687962e-06
1824,8.353743680800108e-06,1.3237988980563387e-06
1825,7.791055850248085e-06,1.3683658792729148e-06
1826,7.206692714589735e-06,1.0252493893858627e-06
1827,6.900972095991165e-06,1.1309593617170322e-06
1828,8.578853112339857e-06,1.2483502018767467e-06
1829,7.133739984510612e-06,1.042498226411226e-06
1830,7.921558335510781e-06,1.6041416586176638e-06
1831,8.534625919764949e-06,1.367348772873811e-06
1832,8.642944294479094e-06,1.6953052011103864e-06
1833,7.973011520334694e-06,1.4421616967297268e-06
1834,8.618572451268847e-06,1.6820824626506692e-06
1835,1.0356892630625225e-05,2.0412774688338686e-06
1836,8.751088785174943e-06,1.4456333516932318e-06
1837,1.0111207473073591e-05,1.4068854952142829e-06
1838,7.787314075358154e-06,1.045925237974643e-06
1839,7.376705355000013e-06,1.0843778355251743e-06
1840,8.499712123466452e-06,1.3975097417073812e-06
1841,7.195508544555196e-06,1.5165335440769923e-06
1842,7.73664186226597e-06,1.5167386848702336e-06
1843,7.392499071556813e-06,1.4017099800867072e-06
1844,7.221300165838329e-06,1.6004644223244213e-06
1845,7.488665971777664e-06,1.6154760231756882e-06
1846,6.800003347962047e-06,1.2698412987788288e-06
1847,6.808944817748852e-06,9.918138133002685e-07
1848,7.680773137508368e-06,1.2075877720008066e-06
1849,6.901286042193533e-06,1.1907148262935152e-06
1850,6.988592645029712e-06,1.0414319717710896e-06
1851,6.695162596770388e-06,1.0390046085717586e-06
1852,6.888156917739252e-06,1.0514530970340275e-06
1853,6.9525229946520994e-06,1.1621379556459033e-06
1854,7.982618797086616e-06,1.1918854596615347e-06
1855,6.745117048012617e-06,1.3957244533457924e-06
1856,6.936916065569676e-06,1.2844606303019646e-06
1857,7.438931561409845e-06,1.3238652130098671e-06
1858,8.637338169137365e-06,1.7666170180064e-06
1859,6.995627700234763e-06,1.4838592647947735e-06
1860,7.988559048044408e-06,1.502689457311135e-06
1861,8.291607343835494e-06,1.437897324763071e-06
1862,8.607667666638008e-06,1.5749699855405197e-06
1863,7.413515561438544e-06,1.4704163291412442e-06
1864,7.964522524162021e-06,1.4748582941592758e-06
1865,8.307580344535381e-06,1.5532586701283435e-06
1866,7.441468426350184e-06,1.4446004570345394e-06
1867,6.947284759917238e-06,1.337434810011473e-06
1868,6.788375003452529e-06,1.221630874681523e-06
1869,7.810700310528773e-06,1.6096078638838662e-06
1870,7.156093090543436e-06,1.1599980140886146e-06
1871,7.724782221885107e-06,1.329771379232625e-06
1872,8.257641638920177e-06,1.574727164666001e-06
1873,7.679445161556941e-06,1.2444903418895592e-06
1874,9.000150839710841e-06,1.4094103448769602e-06
1875,8.299074920614657e-06,1.53451353668288e-06
1876,6.972264259275107e-06,1.7757145656105422e-06
1877,7.073574238347646e-06,1.608670665120826e-06
1878,5.959976533631561e-06,1.2404288156631083e-06
1879,6.645113330705499e-06,1.403311969738752e-06
1880,6.970422930407949e-06,1.2219579588190754e-06
1881,7.607703082612716e-06,1.4579513560875057e-06
1882,7.2836537015064096e-06,1.4788266256005045e-06
1883,6.601813481665886e-06,1.54507831950923e-06
1884,6.011505433889397e-06,1.4061614166394065e-06
1885,5.666358561029483e-06,1.2588326967488683e-06
1886,5.480281629388628e-06,1.2397103787975539e-06
1887,6.026850485341129e-06,1.3913137948406984e-06
1888,6.004562351336062e-06,1.266854845027865e-06
1889,5.945614873326122e-06,1.2110509146623372e-06
1890,5.744919747030508e-06,1.1902766132720899e-06
1891,5.094276843919943e-06,1.2302244698503273e-06
1892,5.496231551660458e-06,1.26812000900145e-06
1893,5.617707358851476e-06,1.136227872677864e-06
1894,5.49557228168851e-06,1.3208026246047666e-06
1895,5.479948526954104e-06,1.21636204397646e-06
1896,5.051984601323056e-06,1.1227942735558827e-06
1897,5.184609563002596e-06,1.1676733464582867e-06
1898,5.8060379046764865e-06,1.213717069958875e-06
1899,5.8669716622716805e-06,1.460386194196417e-06
1900,4.876475429682614e-06,1.252082036273805e-06
1901,4.673862406434637e-06,1.041740894436316e-06
1902,4.303863704535615e-06,1.0002248060914098e-06
1903,4.5378049549071875e-06,1.023341745565176e-06
1904,5.107506297008513e-06,1.0227911815263724e-06
1905,5.1437286288091855e-06,1.0822112130881578e-06
1906,5.008892685509636e-06,1.505188372163957e-06
1907,4.92787256689553e-06,1.0491400672663076e-06
1908,5.224735730280372e-06,1.2764700514367178e-06
1909,5.3122998906474095e-06,1.2217684499660209e-06
1910,5.614564656752918e-06,1.3900135442668216e-06
1911,4.793657183199684e-06,1.041197180029485e-06
1912,5.287041801693704e-06,1.1908737178600859e-06
1913,4.887235490969033e-06,1.254157069752182e-06
1914,4.653566975321155e-06,1.2234950474976358e-06
1915,4.252855092090613e-06,1.20399382552705e-06
1916,4.400478417210252e-06,1.1734609373093008e-06
1917,4.657440342725749e-06,1.145991390671952e-06
1918,4.8621831183481845e-06,1.1739076555272732e-06
1919,5.035772517203441e-06,1.2706831142850206e-06
1920,5.2884467436342675e-06,1.2887938538597155e-06
1921,5.007100753573468e-06,1.4138319031076207e-06
1922,5.101842418753222e-06,1.523543730286292e-06
1923,5.265510310437094e-06,1.416167492607201e-06
1924,5.799941789064178e-06,1.3871388304664833e-06
1925,6.219469810275768e-06,1.5870370333459505e-06
1926,5.697906033219624e-06,1.2829205644493413e-06
1927,6.018351541570155e-06,1.8028296935312937e-06
1928,5.160000114301511e-06,1.467103665220293e-06
1929,5.985740244796034e-06,1.48167402613808e-06
1930,5.244449084784719e-06,1.3371087845825969e-06
1931,5.085648695057898e-06,1.163346325938619e-06
1932,4.930695695293252e-06,1.0247166528642992e-06
1933,4.627264900136652e-06,1.0300654906814088e-06
1934,4.859728960582288e-06,1.0687569442779932e-06
1935,4.11948332157408e-06,1.0352565666948976e-06
1936,4.372172156763554e-06,1.024538377691897e-06
1937,4.371636293853953e-06,1.0223988198276857e-06
1938,4.261665935700876e-06,1.0838919308753248e-06
1939,4.040688168061024e-06,9.925838568847212e-07
1940,3.042939539454892e-06,6.491604267466755e-07
1941,4.651568133340334e-06,1.0654924196273896e-06
1942,5.40999968734468e-06,1.262232061094437e-06
1943,4.4825950453741825e-06,1.1758102687053906e-06
1944,4.871190242283774e-06,1.2788481171810417e-06
1945,5.511615427167271e-06,1.1959987489262858e-06
1946,5.141063638802734e-06,1.240370394839374e-06
1947,6.540981758007547e-06,1.5962046262529839e-06
1948,5.2826501928393554e-06,1.3687706257314858e-06
1949,4.4304157427177415e-06,1.1534984309946594e-06
1950,5.647377065542969e-06,1.3560085818653533e-06
1951,6.444817302053707e-06,1.3785192010118408e-06
1952,4.78628646760626e-06,1.029172885580465e-06
1953,4.5217751676318585e-06,1.1204780747675613e-06
1954,5.366099514958478e-06,1.1922494422833552e-06
1955,5.045702607731073e-06,1.0511880930152984e-06
1956,4.821919105779671e-06,1.182586800041463e-06
1957,4.852202891925117e-06,1.0531364722510261e-06
1958,4.731723379336472e-06,1.1895486125013122e-06
1959,4.958928457199363e-06,1.0982810181303648e-06
1960,4.911715507205372e-06,1.2028408917785782e-06
1961,4.976271497980633e-06,1.1144847107402711e-06
1962,5.664001434979582e-06,1.1491625429016494e-06
1963,4.711166639026487e-06,1.1593633786333157e-06
1964,5.72562260003906e-06,1.18394018500112e-06
1965,4.769433132878476e-06,9.132840403935916e-07
1966,4.729816055260017e-06,1.1587744381813536e-06
1967,5.252779317288514e-06,1.312455367497023e-06
1968,4.8359074753534514e-06,1.1201590623954871e-06
1969,5.045438683737302e-06,8.497629124804007e-07
1970,4.657588704048976e-06,8.599615881621503e-07
1971,4.600920874509029e-06,9.608803352989526e-07
1972,4.16721826468347e-06,9.172702633009067e-07
1973,4.0114070429808635e-06,9.317314209056349e-07
1974,3.6706854302792635e-06,7.228859359997841e-07
1975,3.361206097451941e-06,6.619605699142994e-07
1976,3.918908191735682e-06,7.159049175697874e-07
1977,3.5342966384632746e-06,7.598678664066938e-07
1978,3.808513213243714e-06,7.841580469403198e-07
1979,4.531768297511007e-06,8.625808902706922e-07
1980,4.168921066138864e-06,8.192302090037629e-07
1981,4.033170398543007e-06,7.868983473713342e-07
1982,3.862928622311301e-06,8.224940657441948e-07
1983,3.849185020499135e-06,8.121496648527682e-07
1984,3.877217068293248e-06,7.028398414377079e-07
1985,3.514289119266323e-06,6.809611576841235e-07
1986,4.297446707823838e-06,8.488191554079094e-07
1987,3.970808734266029e-06,7.25965023207209e-07
1988,3.6998737300564244e-06,7.393751033646367e-07
1989,4.270856720722804e-06,7.963265318267077e-07
1990,3.489316043214785e-06,7.039657035079472e-07
1991,4.138780582252366e-06,8.293973507988994e-07
1992,3.22882721093265e-06,7.416385017222638e-07
1993,3.877445180933137e-06,7.223126701205729e-07
1994,4.0110542158799944e-06,8.35020905753936e-07
1995,3.48880485034897e-06,7.439602498493514e-07
1996,3.3870196034513356e-06,7.52137182757906e-07
1997,3.110448005827493e-06,5.931284263738235e-07
1998,3.2971614132293325e-06,7.09497605555498e-07
1999,3.5208828990107577e-06,7.24376896243939e-07
2000,3.06478847278413e-06,6.653555502111885e-07
2001,3.3752855301827367e-06,6.760209956269136e-07
2002,3.3279757758464257e-06,7.478745303046708e-07
2003,3.535217331318563e-06,7.546297453586703e-07
2004,3.6106073935116e-06,7.263500947374268e-07
2005,3.6840672237303806e-06,7.453705705984248e-07
2006,4.227425790759298e-06,8.26872280867974e-07
2007,5.2387597975211975e-06,1.0066088549365304e-06
2008,5.444414000521647e-06,1.0754292532055842e-06
2009,6.435629643419816e-06,1.2425909403646074e-06
