year,ces_DET eaux_NOUN,ces_DET sauts_NOUN
1800,5.684649579507095e-06,6.602745239447927e-08
1801,5.643402516852802e-06,6.191074763961524e-08
1802,6.4516930251556914e-06,3.5805442166747525e-08
1803,6.761826284673589e-06,1.4432509942707838e-07
1804,5.571551923821971e-06,7.662737999680758e-08
1805,5.142765701293683e-06,6.822906506442905e-08
1806,5.339733093023824e-06,7.204172902675055e-08
1807,6.146575913135166e-06,6.832692100999793e-08
1808,5.429513464605407e-06,5.21197005554086e-08
1809,5.292908269893815e-06,4.518061147429364e-08
1810,5.354210145469551e-06,5.616304221689461e-08
1811,7.263001293722482e-06,7.77193824852418e-08
1812,6.075900216728769e-06,2.400487453257938e-08
1813,5.115944532008143e-06,2.8757416448144113e-09
1814,6.104553847308125e-06,1.2586708564299443e-08
1815,9.742371503307368e-06,3.776112933451259e-08
1816,5.126539804223285e-06,4.1716869958463576e-08
1817,4.107031941202877e-06,1.0119676829845048e-07
1818,4.881721963556629e-06,4.530047359452283e-08
1819,4.499601629959216e-06,5.900098543065724e-08
1820,3.7462481827787997e-06,2.1359666035891678e-08
1821,3.828229665714389e-06,1.972297603014539e-08
1822,5.578252512350446e-06,4.210758675071702e-08
1823,3.3670313541733776e-06,3.755420863171821e-08
1824,3.2926551227774326e-06,2.273700427934955e-08
1825,3.863828311523321e-06,4.138558296062911e-08
1826,5.975336648589291e-06,5.196710883836886e-08
1827,4.558863054171525e-06,5.899054755786892e-08
1828,3.9239105262822704e-06,2.659967401896779e-08
1829,4.626085683412384e-06,7.115736089247093e-08
1830,4.214394380142039e-06,6.575206312753323e-08
1831,5.174721195544407e-06,8.419251429359065e-08
1832,3.6436207437873236e-06,2.976593194148336e-08
1833,6.72777133559066e-06,5.560141680405195e-08
1834,3.985844699627705e-06,5.787409218527273e-08
1835,4.484911244162504e-06,2.3445572594482655e-08
1836,3.472611638244416e-06,4.570110045953868e-08
1837,4.68266074449275e-06,2.156946243836444e-08
1838,4.6318646127474494e-06,3.471689113965226e-08
1839,3.5265000803974544e-06,2.3771015822404706e-08
1840,4.054306941725372e-06,2.5478754217544974e-08
1841,3.982024338711199e-06,3.081863253484585e-08
1842,3.382978036370332e-06,3.3541326160957396e-08
1843,3.3887948802657775e-06,3.603215859016018e-08
1844,3.5006043503926776e-06,2.6893950177964143e-08
1845,3.841986853103663e-06,2.7901140287056592e-08
1846,4.366872587979742e-06,2.4588905134237393e-08
1847,3.4074387258442584e-06,2.1572895470001185e-08
1848,4.2366138472971215e-06,1.6894966203828687e-08
1849,4.424331052632624e-06,1.9272654583346593e-08
1850,3.560828531590232e-06,2.9192682937662084e-08
1851,4.572652017031942e-06,2.1283147244588463e-08
1852,4.258547846802685e-06,3.645905444216169e-08
1853,4.6945356189098675e-06,3.5831592359869546e-08
1854,4.657913279970671e-06,2.649788899411476e-08
1855,4.0794425331114326e-06,2.2819829581521844e-08
1856,4.2546141116872604e-06,3.158085321031123e-08
1857,4.6891776719348854e-06,1.9526036010297787e-08
1858,3.8738339753763285e-06,2.3000277127316338e-08
1859,4.827889483749459e-06,1.9859476285688515e-08
1860,4.979060690857295e-06,1.876645416842848e-08
1861,4.061859499415732e-06,2.263662679524714e-08
1862,4.4687403146781435e-06,3.298130127338261e-08
1863,4.13854286307469e-06,2.996772607843923e-08
1864,4.623076790721825e-06,2.4453112534850163e-08
1865,4.041296563173091e-06,5.31873429743257e-08
