year,ses_DET eaux_NOUN,ses_DET seaux_NOUN
1800,7.29131750176748e-06,0.0
1801,6.350613830363727e-06,1.1905912700171939e-08
1802,9.786074770090636e-06,2.0140561218795483e-08
1803,7.477600348693159e-06,0.0
1804,9.55370396127364e-06,0.0
1805,6.604005093890919e-06,1.1371510844071508e-08
1806,6.0025169261734845e-06,7.492339904047185e-08
1807,7.222724946132075e-06,5.693910232196231e-09
1808,6.415255626279759e-06,2.2660739951163578e-09
1809,6.250737442314858e-06,0.0
1810,6.056247940477988e-06,1.8721014072298203e-08
1811,6.232593023014488e-06,0.0
1812,7.428174882306848e-06,2.6672083208723052e-08
1813,6.306501518338337e-06,5.751483289628823e-09
1814,5.210897285223837e-06,0.0
1815,4.34252993386508e-06,5.394447111228828e-09
1816,5.0037069598829476e-06,3.0128852301913867e-08
1817,4.376371066427964e-06,1.401186100480345e-08
1818,5.666135464821309e-06,3.5763532135746345e-09
1819,4.332949657737117e-06,1.449147024601416e-08
1820,5.325676738721086e-06,3.5599443393152796e-09
1821,4.665470214604284e-06,0.0
1822,5.791798173504503e-06,1.804610860745015e-08
1823,4.699217583947757e-06,1.7788837070042973e-08
1824,4.559190628583565e-06,3.3684450784221553e-09
1825,5.242760593660023e-06,4.4027217427355936e-09
1826,6.053727787502794e-06,1.6735169694470642e-08
1827,4.123807855194173e-06,5.530363722527909e-09
1828,4.8539817782966566e-06,6.420610709767516e-09
1829,5.31022510585899e-06,5.143905745796928e-09
1830,5.133879398044883e-06,1.982998831806526e-08
1831,5.466277002597053e-06,9.354723218280014e-09
1832,5.0480313689149625e-06,6.764984572527055e-09
1833,7.221234170629032e-06,2.89590715851773e-08
1834,5.709932622721681e-06,6.534171426153534e-09
1835,5.971057817077963e-06,8.31939672707449e-09
1836,5.223366983386768e-06,3.49478987970997e-08
1837,5.070911015536694e-06,1.2524203896191466e-08
1838,5.344507485460781e-06,1.0730675015224733e-08
1839,4.167618499195669e-06,1.4682098203877558e-08
1840,4.895742691246596e-06,2.4204817705708592e-08
1841,4.443019719246877e-06,4.494383887276854e-08
