year,serais_VERB au_ADP
1800,8.174827570428533e-08
1801,1.0953439755212457e-07
1802,8.951360541686881e-08
1803,3.510610468993036e-08
1804,8.157108055684148e-08
1805,7.960057502032214e-08
1806,9.221341201737232e-08
1807,7.971474502710407e-08
1808,5.6651849433819734e-08
1809,2.597885213617701e-07
1810,3.7442028144596406e-08
1811,1.2284675676710322e-07
1812,6.13457871168066e-08
1813,1.2940837734731758e-07
1814,4.405347908686963e-08
1815,1.294667271167782e-07
1816,1.1124498655590287e-07
1817,1.1365175822675155e-07
1818,1.3590141634267638e-07
1819,9.522965882524659e-08
1820,9.730514705097448e-08
1821,2.5344024834339507e-07
1822,3.1680946221968043e-07
1823,1.2946320282480883e-07
1824,1.6084325693555002e-07
1825,1.382454541953848e-07
1826,8.807984386294265e-08
1827,1.1521591147811705e-07
1828,1.2932945026022935e-07
1829,1.6117570567075745e-07
1830,1.6177095574221312e-07
1831,2.556957667820825e-07
1832,2.9089434860907204e-07
1833,2.7800709290204395e-07
1834,1.0361329572106115e-07
1835,1.187404805591541e-07
1836,7.460032236394909e-08
1837,1.1897993346110525e-07
1838,7.069621688060579e-08
1839,8.809258389419483e-08
1840,9.873017603467815e-08
1841,6.099521243640993e-08
1842,1.247737344556299e-07
1843,9.628264763250627e-08
1844,1.0153838303494922e-07
1845,1.1160455670733427e-07
1846,1.2060272069902567e-07
1847,6.310071398729633e-08
1848,1.0297883790144624e-07
1849,8.044238342108656e-08
1850,5.0917471128286707e-08
1851,5.93348374877678e-08
1852,1.0351767087968256e-07
1853,1.2302179186463036e-07
1854,1.1378504893855279e-07
1855,1.4063382991480466e-07
1856,1.102741293834697e-07
1857,9.56775778604424e-08
1858,7.487324182875454e-08
1859,9.06406825151862e-08
1860,1.4006182880166307e-07
1861,1.1318312687080834e-07
1862,7.454677586338221e-08
1863,6.093437576737415e-08
1864,1.0596348687386126e-07
1865,1.364984854035356e-07
1866,9.925850008585257e-08
1867,1.5043715961837734e-07
1868,8.0025962745367e-08
1869,1.5187744395461777e-07
1870,9.690542412954528e-08
1871,1.401995461947081e-07
1872,1.2638939494991064e-07
1873,7.42264560926742e-08
1874,8.66318359271645e-08
1875,1.109976253133027e-07
1876,1.692884126214267e-07
1877,1.5090951421825594e-07
1878,1.2017785877560527e-07
1879,1.5823152921257133e-07
1880,1.8868468032451347e-07
1881,1.2620238010185858e-07
1882,1.444218611368342e-07
1883,1.1185230164301174e-07
1884,9.968562153517269e-08
1885,6.639005079023264e-08
1886,6.711602651421344e-08
1887,9.989254579068074e-08
1888,7.03808211710566e-08
1889,9.02179664308278e-08
1890,7.668631951673888e-08
1891,7.01164211136529e-08
1892,7.835640758457885e-08
1893,7.205347429817266e-08
1894,6.868678070759415e-08
1895,9.509410858754563e-08
1896,6.486732218036195e-08
1897,6.5259193604561e-08
1898,7.469028417972368e-08
1899,7.904436927219649e-08
1900,8.305684673359792e-08
1901,6.147612907625444e-08
1902,5.155797921929661e-08
1903,6.156250975664079e-08
1904,5.535864033845428e-08
1905,7.947569002908494e-08
1906,7.613392938310426e-08
1907,9.257117739025489e-08
1908,9.921006238755581e-08
1909,8.141455509758089e-08
1910,1.0100444569616229e-07
1911,7.980560923215307e-08
1912,7.241095545396092e-08
1913,5.6211689525298425e-08
1914,6.428874144148722e-08
