year,des_DET ailes_NOUN,des_DET selles_NOUN
1800,3.6818167217234077e-06,2.798306271145634e-07
1801,2.4954794355380727e-06,7.715031529187399e-07
1802,3.6297766996540304e-06,4.72184268573983e-07
1803,4.261491294954567e-06,5.090385264416852e-07
1804,3.0873417635746137e-06,6.723434493594027e-07
1805,2.4022316438276903e-06,3.837884907653688e-07
1806,3.561743077362678e-06,3.342736283329373e-07
1807,2.052654574313806e-06,3.9287980735380756e-07
1808,3.2178251032632943e-06,2.5833242522921296e-07
1809,2.3245425175844048e-06,3.140052342587296e-07
1810,3.03982455918117e-06,4.914266291677905e-07
1811,2.785362349655429e-06,5.841489141289458e-07
1812,2.144435489626062e-06,6.694692800124358e-07
1813,1.9267469228978484e-06,9.950066228725518e-07
1814,1.721232369078507e-06,1.09504359535606e-06
1815,1.604847986058644e-06,6.689114213642711e-07
1816,2.5563171650588856e-06,7.926205540798037e-07
1817,4.321880638258335e-06,5.277800725345116e-07
1818,3.3200478242179088e-06,4.816155718678772e-07
1819,3.585603671751869e-06,3.7160268462343993e-07
1820,2.395842436442308e-06,6.18243678474073e-07
1821,2.8430671648038697e-06,3.1458149063468e-07
1822,2.7770957018447007e-06,3.679400890632678e-07
1823,2.9292284811077707e-06,4.150728605267773e-07
1824,2.09854129096243e-06,4.303188525511814e-07
1825,3.5864570051558076e-06,4.173779983851489e-07
1826,2.246916904979912e-06,6.21843682324652e-07
1827,1.7420646134524986e-06,3.889689130787133e-07
1828,2.645291662162208e-06,3.980778817691544e-07
1829,3.3666862364611916e-06,5.692588782579833e-07
1830,2.43178281422729e-06,6.627390902735897e-07
1831,2.609967932443169e-06,7.296684438884427e-07
1832,2.831822605742218e-06,8.970369869132355e-07
1833,2.67350146998524e-06,5.235800024649961e-07
1834,3.0701273345812297e-06,4.956635866193437e-07
1835,2.7121232264448736e-06,6.352993864311429e-07
1836,3.662136709436936e-06,4.2878384931555047e-07
1837,2.4463945429431533e-06,8.349468885171518e-07
1838,2.7098111310408513e-06,5.687258060049771e-07
1839,2.3463390856903743e-06,6.56499540951927e-07
1840,2.15550265103559e-06,5.153078301844971e-07
1841,2.541895234742242e-06,6.741575919733123e-07
