year,moins_ADV allé_VERB,moins_ADV salé_VERB
1800,0.0,4.4018303668735825e-08
1801,0.0,1.904946067554647e-08
1802,0.0,4.475680270843441e-09
1803,0.0,1.950339223455444e-09
1804,0.0,6.673997887673977e-08
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,4.292158095609011e-08
1810,0.0,0.0
1811,0.0,2.5070768572277302e-08
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,1.556873407970727e-09,1.8682481339737933e-08
1818,0.0,4.768470951432846e-09
1819,0.0,1.8631890696951814e-08
1820,0.0,0.0
1821,0.0,7.88919063410276e-09
1822,5.012807946513931e-09,9.023054303725075e-09
1823,0.0,7.906149512848515e-09
1824,0.0,8.421112696055388e-10
1825,0.0,8.805443041381977e-10
1826,0.0,7.927186018719112e-09
1827,4.608636583469661e-09,1.8434546111834038e-09
1828,0.0,3.668920500743411e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,2.0873671680021744e-09,4.174734336004349e-09
1831,0.0,1.091384405071949e-08
1832,0.0,2.705993873419743e-09
1833,0.0,5.791814139399776e-09
1834,3.733812370398937e-09,3.733812370398937e-09
1835,3.025235173481633e-09,7.563087933704082e-10
1836,8.064899859050456e-09,1.3441500135158435e-09
1837,0.0,1.3915781860163179e-09
1838,6.312161904276081e-10,6.943378316748294e-09
1839,0.0,8.38977065598101e-09
1840,0.0,5.095750932326837e-09
1841,0.0,3.2102742686390684e-09
1842,4.024959032733477e-09,6.037438549100216e-09
1843,0.0,1.7720733769266417e-09
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,4.0981511517657054e-09
1847,0.0,7.011190739092399e-09
1848,0.0,8.04522137798358e-09
1849,8.379414939696517e-10,5.02764896381791e-09
1850,6.788996032014438e-10,0.0
1851,0.0,9.674158363282004e-09
1852,0.0,4.557382027314816e-09
1853,1.3138249599364826e-08,1.7915795513800958e-09
1854,0.0,6.754363734984281e-09
1855,0.0,5.306937111981824e-09
1856,0.0,4.141751386299575e-09
1857,0.0,1.4156376515472857e-08
1858,9.787352039936081e-10,1.468102750479261e-09
1859,0.0,9.165912473463322e-09
1860,1.373155145145688e-09,5.492620580582752e-09
1861,1.4147891747029462e-09,8.017138064531082e-09
1862,1.7620147119146168e-08,3.162590411776023e-09
1863,0.0,4.994620717013731e-09
1864,4.794727948009836e-10,1.2466292886870178e-08
1865,5.177528628053096e-09,6.118897832863013e-09
1866,1.9462451650298362e-09,2.2868380966656332e-08
1867,5.338092634588065e-09,1.261730986357179e-08
1868,4.93987406535723e-10,1.0373735648272486e-08
1869,2.9301114867763545e-09,1.1720445947105418e-08
1870,6.880858549607183e-09,3.4404292748035914e-09
1871,1.0621177271019633e-09,7.434824311758348e-09
1872,7.256807155187062e-09,1.8142017887967654e-09
1873,1.7958012854535355e-09,1.1373408881354408e-08
1874,0.0,7.766991494406739e-09
1875,0.0,2.5174719198162165e-08
1876,0.0,3.627608879952504e-09
1877,0.0,6.80329748092845e-09
1878,6.039088673581716e-10,6.039088784604019e-09
1879,6.10932526790009e-10,9.163987790827832e-09
1880,5.776061406947974e-09,1.2835692508872398e-09
1881,1.1853263259808955e-08,4.183504653809678e-09
1882,6.655385131892899e-10,3.3276926103553706e-08
1883,5.0554711528150165e-09,2.1485751844352308e-08
1884,8.582206056928499e-09,2.1125430293977843e-08
1885,2.5782542767416317e-09,1.2246707647989297e-08
1886,2.5813855497602844e-09,1.5488312854472497e-08
1887,6.528924623161458e-10,1.3057849246322917e-09
1888,7.60873763994141e-09,5.706553452000662e-09
1889,2.5060546970934183e-09,6.265136853755848e-09
1890,3.9326319978272295e-09,1.1142456735058204e-08
1891,0.0,4.461953917456185e-09
1892,0.0,9.402768341715273e-09
1893,3.695050043717174e-09,1.2316833108982905e-09
1894,0.0,6.9316934414587195e-09
1895,3.0093072478365457e-09,4.213029924926559e-09
1896,0.0,0.0
1897,5.826713556089658e-10,1.1070755867592652e-08
1898,3.3950129374460403e-09,4.52668391659472e-09
1899,0.0,9.949641111006713e-09
1900,5.191053142894475e-10,1.2977633190303095e-08
1901,1.676621730339889e-09,1.2854099118442264e-08
1902,1.4730852093691738e-09,7.365425602756659e-09
1903,0.0,2.7001101354784396e-09
1904,5.374625189347171e-10,4.837162670412454e-09
