year,trois_DET eaux_NOUN,trois_DET sauts_NOUN
1800,9.432493897065797e-09,2.2009151834367913e-08
1801,8.096020565062645e-08,1.904946067554647e-08
1802,1.1189200677108602e-08,5.594600338554301e-08
1803,2.3404069793286908e-08,2.5354410126965377e-08
1804,1.730295728918918e-08,2.2246657849223084e-08
1805,2.842877755426798e-08,4.8328921309348516e-08
1806,5.76333825108577e-09,8.645007376628655e-09
1807,1.9928686256776018e-08,6.547996633798903e-08
1808,2.2660739062985158e-08,5.891792298484688e-08
1809,5.421673421324158e-08,4.51806094758922e-08
1810,9.594519667643908e-08,1.4040760554223652e-08
1811,7.019814773912003e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,6.13457871168066e-08
1813,3.738464116054274e-08,5.176335093892703e-08
1814,4.090680150170556e-08,1.2586708564299443e-08
1815,3.506390555685357e-08,5.394447111228828e-09
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,2.1796227045456362e-08,8.251429051142622e-08
1818,2.6226590676969863e-08,3.9339884239097955e-08
1819,1.2421260464634543e-08,2.380741526142316e-08
1820,3.5599443393152796e-09,1.542642635854463e-08
1821,5.9168927535324656e-09,3.254291058851777e-08
1822,2.7069162911175226e-08,2.90742860897808e-08
1823,7.609668595254249e-08,2.174191138237802e-08
1824,5.221090049190025e-08,3.705289586264371e-08
1825,3.874394849390228e-08,9.509878395874694e-08
1826,2.906634755106552e-08,3.170874407487645e-08
1827,2.949527377893446e-08,3.133872894522938e-08
1828,4.219258542548232e-08,2.935136400594729e-08
1829,2.8291481157793896e-08,2.8291481157793896e-08
1830,5.844628248041772e-08,3.026682549034376e-08
1831,4.053713453799901e-08,3.1182413096075834e-08
1832,3.111892965534935e-08,3.3824925083081325e-08
1833,5.21263281427764e-08,2.7800709290204395e-08
1834,3.733812370398937e-09,2.0535967593104942e-08
1835,6.806779140333674e-09,5.3697924329298985e-08
1836,1.6129799718100912e-08,3.49478987970997e-08
1837,5.5663127440652715e-09,2.7831564608504777e-08
1838,1.2624323364462953e-08,2.3354999711955315e-08
1839,1.8876983531868063e-08,1.1885507689157748e-08
1840,5.732719632334238e-09,2.7389660983700992e-08
1841,0.0,3.146068650039524e-08
1842,1.8783142152756227e-08,2.3478927246856074e-08
1843,4.843666989717832e-08,2.539971788451112e-08
1844,1.8112252364588244e-08,1.2074834465636286e-08
1845,1.5066614622583074e-08,3.682950477923441e-08
1846,1.6978054517835517e-08,3.8639708321852595e-08
1847,2.9662729161827883e-08,9.707802561820245e-09
1848,2.333114323960217e-08,2.494018680465615e-08
1849,4.189707314417035e-08,1.6758828991214614e-08
1850,2.2403686017469226e-08,3.733947906425783e-08
1851,1.096404567135778e-08,1.7413483988093503e-08
1852,4.427170807730363e-08,1.5625309046640723e-08
1853,5.971931837933653e-09,1.851298847554972e-08
1854,4.208488119106235e-08,1.8184825645306546e-08
1855,5.837630823180007e-08,1.5920811335945473e-08
1856,5.3842768188427925e-08,2.2261913201759853e-08
1857,2.0502338549110988e-08,3.172980811427806e-08
1858,2.6425849952715907e-08,1.6149130033227266e-08
1859,4.226503946824778e-08,4.0228168352030025e-08
1860,5.0806741119791e-08,1.6020143434047895e-08
1861,5.234719679947375e-08,3.6312922446768425e-08
1862,5.737842562192341e-08,4.021007882215599e-08
1863,4.9946207170137313e-08,1.6482248454963155e-08
