year,deux_DET âges_NOUN,deux_DET ages_NOUN,deux_DET sages_NOUN
1800,1.0690159513160324e-07,0.0,3.458580977167003e-08
1801,1.0000967165524344e-07,0.0,4.7623651688866175e-09
1802,1.0070280609397742e-07,0.0,3.5805442166747525e-08
1803,1.677291692203653e-07,3.900678446910888e-09,1.9503391568420625e-08
1804,1.5819846055364906e-07,2.4718509461507665e-09,5.438072037122765e-08
1805,2.4164461365216994e-07,0.0,1.7057266488151868e-08
1806,1.2679343797117326e-07,2.5935023018064385e-08,1.4408345627714425e-08
1807,1.224190668835945e-07,2.8469551160981155e-09,1.7081731584767113e-08
1808,1.0197332755979005e-07,2.2660739951163578e-09,9.064295980465431e-09
1809,1.6490922405409947e-07,2.259030518203531e-09,3.840352036377226e-08
1810,2.340126741273707e-07,9.360507036149102e-09,9.360507036149102e-09
1811,1.6045291317823285e-07,0.0,1.504245972228091e-08
1812,1.3069320203840107e-07,2.6672082320544632e-09,1.0668832928217853e-08
1813,1.6679301495514665e-07,0.0,1.2653262615458516e-07
1814,2.0138733702879108e-07,2.2026739099345605e-08,1.8880061958270744e-08
1815,1.1058616422587875e-07,2.697223555614414e-09,1.0788894222457657e-08
1816,7.416332437060191e-08,0.0,2.3176038865813098e-08
1817,9.029865566390072e-08,0.0,2.3353101230583206e-08
1818,1.1325118265403944e-07,3.5763532135746345e-09,9.536942124910297e-09
1819,8.591371347677068e-08,1.035105001712111e-09,5.175525186196239e-08
1820,8.42520151422832e-08,1.1866481131050932e-09,7.950542446621967e-08
1821,1.203101618330038e-07,0.0,1.0749022116840479e-07
1822,8.922798144794797e-08,1.0025615893027862e-09,6.817418807258946e-08
1823,1.6108778955192804e-07,1.9765373782121287e-09,2.7671523739059012e-08
1824,8.589535305247864e-08,2.5263338088166165e-09,5.64214550635711e-08
1825,1.4088708999437927e-07,8.805443041381977e-10,3.962449279804048e-08
1826,8.896063974361823e-08,5.2847906051312066e-09,2.3781557834112732e-08
1827,9.770309361556428e-08,0.0,3.594736658341091e-08
1828,1.403362119845042e-07,3.668920500743411e-09,3.8523666034961934e-08
1829,1.4574398754518825e-07,0.0,4.115124563330852e-08
1830,1.586399023256746e-07,0.0,3.235419043789989e-08
1831,1.4967557149248023e-07,3.1182412207897414e-09,3.274153304033689e-08
1832,2.1242051673198148e-07,1.3529969367098715e-09,4.8707889277466165e-08
1833,2.3514765246090974e-07,1.1583628500844156e-09,8.108539617524002e-09
1834,1.9135788198454406e-07,8.401078055442213e-09,3.080395316601425e-08
1835,1.5428700095299064e-07,3.025235173481633e-09,3.781543966852041e-08
1836,1.411357573033456e-07,1.3441500135158435e-09,3.091545153210973e-08
1837,1.2524203940600387e-07,0.0,4.244313345225237e-08
1838,1.2813688954338431e-07,1.8936485712828244e-09,3.976662044102852e-08
1839,1.3493547612597467e-07,2.09744255297295e-09,1.957612960623578e-08
1840,1.2420892669950945e-07,1.910906599622564e-09,4.0766007458614695e-08
1841,1.6436603900160662e-07,1.2841097074556274e-09,6.420548537278137e-09
1842,1.663649680239132e-07,6.708265054555795e-09,3.287049832323419e-08
1843,1.7957009390556777e-07,1.7720733214154905e-09,3.485077387788138e-08
1844,1.2568804663715127e-07,1.097712254427563e-09,3.6773358802477674e-08
1845,1.5624638649569533e-07,1.6740683839167048e-09,3.348136612402186e-08
1846,1.2938448024080174e-07,2.3418005312692003e-09,4.859236257814814e-08
1847,1.4292043104546792e-07,5.393223645455691e-10,2.2651540199092324e-08
1848,1.7619036085658735e-07,4.022610855525244e-09,4.988037310971194e-08
1849,2.4132714004920786e-07,2.513824481908955e-09,1.256912218750017e-08
1850,1.690460056380516e-07,1.3577992064028876e-09,2.7155985016236173e-08
1851,1.2060450194084638e-07,1.2898877521649865e-09,2.579775548738894e-08
1852,1.738315613675212e-07,5.859490892490271e-09,9.765818376195057e-09
1853,2.3768288670567017e-07,2.9859659189668264e-09,3.642878465548449e-08
1854,1.5742863013201713e-07,1.5586993362681767e-09,1.9223958425129695e-08
1855,1.459407634740728e-07,1.5920811335945473e-09,3.714855978387277e-08
1856,1.5842199729831918e-07,2.588594560926083e-09,2.2779632402603056e-08
1857,2.0502338271555232e-07,2.4407544874094356e-09,4.246913043459699e-08
1858,1.8498095322172503e-07,3.91494070495213e-09,7.438387772396027e-08
1859,1.3443337820717716e-07,4.073738679721828e-09,1.9859475841599306e-08
1860,1.6111687370368166e-07,2.746310373558103e-09,3.249800517579615e-08
1861,2.2353668294172735e-07,6.130753016364565e-09,3.772771028920374e-08
1862,2.0240578013641652e-07,5.873382169507835e-09,1.671655003310235e-08
1863,2.0328106931088996e-07,1.4983862484108101e-09,2.4973104750802833e-08
1864,2.1144750617096975e-07,4.794727948009836e-09,1.0548401263577034e-08
1865,2.0568909508966726e-07,3.765475486972036e-09,2.7770381549885315e-08
1866,2.2333162874588197e-07,1.1677471267734774e-08,2.8707115795612026e-08
1867,1.848921122871161e-07,6.79393608038481e-09,2.0867089389753346e-08
1868,1.6350983722546175e-07,1.975949626142892e-09,1.0867722721741302e-08
1869,1.7287657827491643e-07,1.4650557433881772e-09,2.7836058902330763e-08
1870,1.9151723407162535e-07,2.8670243956696595e-09,4.472557924017906e-08
1871,8.709365162395954e-08,8.496941816815706e-09,2.1242354097950056e-08
1872,2.3282256056411654e-07,3.628403577593531e-09,3.3865100612651133e-08
1873,1.9873534995440423e-07,1.1972008939764578e-09,1.6760812293625804e-08
1874,1.899925767823163e-07,1.1949218281515073e-09,2.6885741633009275e-08
1875,1.773673403704379e-07,3.4329162845736505e-09,2.1169650921137873e-08
1876,2.097967111147625e-07,2.418405919968336e-09,2.6602464897607092e-08
