year,six_DET heures_NOUN,six_DET soeurs_NOUN
1800,7.932726596493467e-06,0.0
1801,7.85790221868865e-06,0.0
1802,7.053672050005844e-06,0.0
1803,6.235234344842411e-06,0.0
1804,7.222748401147783e-06,4.943701892301533e-09
1805,7.343153296091032e-06,0.0
1806,8.238692061013353e-06,0.0
1807,8.392823900749136e-06,0.0
1808,6.732505646311893e-06,0.0
1809,8.003744710549654e-06,0.0
1810,6.390886404972207e-06,4.680253518074551e-09
1811,6.693895119980198e-06,0.0
1812,6.996087137167706e-06,0.0
1813,8.99819563926485e-06,2.8757416448144113e-09
1814,1.2029746727648671e-05,3.1466771410748606e-09
1815,9.925782336495104e-06,2.697223555614414e-09
1816,7.747749908304513e-06,0.0
1817,7.2752692403810215e-06,0.0
1818,9.222222857374618e-06,1.1921177378582115e-09
1819,6.102979213551407e-06,2.070210003424222e-09
1820,9.28670834099421e-06,3.5599443393152796e-09
1821,7.23734625651673e-06,9.86148829262845e-10
1822,7.448030217460655e-06,0.0
1823,9.4300602313524e-06,9.882686891060644e-10
1824,8.626587522542195e-06,8.421112696055388e-10
1825,8.68833031830718e-06,0.0
1826,9.187608355887278e-06,0.0
1827,8.492795714687418e-06,0.0
1828,7.932205910776702e-06,9.172301251858528e-10
1829,7.706427780362901e-06,0.0
1830,9.42028795236638e-06,0.0
1831,8.63129200467938e-06,0.0
1832,8.79312750612371e-06,0.0
1833,1.1712207083292014e-05,0.0
1834,1.0653500268631433e-05,0.0
1835,9.122596289046214e-06,1.5126175867408165e-09
1836,7.281932568048433e-06,0.0
1837,8.361297773262777e-06,0.0
1838,7.54934550428743e-06,0.0
1839,7.537509532085096e-06,1.3982950353153e-09
1840,8.408626271716457e-06,0.0
1841,8.070629874623592e-06,1.2841097074556274e-09
1842,8.277998837513678e-06,0.0
1843,6.873872308688078e-06,0.0
1844,6.485284181678708e-06,0.0
1845,6.713014151671359e-06,1.6740683839167048e-09
1846,8.677542219004408e-06,2.3418005312692003e-09
1847,7.451277738823592e-06,0.0
1848,9.662310887392778e-06,1.6090443422100975e-09
1849,9.800563901762871e-06,8.379414939696517e-10
1850,8.584006259582111e-06,6.788996032014438e-10
1851,8.068893123436283e-06,1.9348316282474798e-09
1852,7.991694900510993e-06,6.510545436100301e-10
1853,8.007165988033194e-06,0.0
1854,8.089649313092195e-06,0.0
1855,8.168437190647637e-06,5.306937111981824e-10
1856,8.152519626491994e-06,1.5531567143511893e-09
1857,1.0108141303533102e-05,9.763018171682347e-10
1858,9.273026748246593e-06,0.0
1859,8.390883131426108e-06,0.0
1860,9.426252361777188e-06,0.0
1861,9.235743164026644e-06,0.0
1862,9.899360009058e-06,9.035972525772706e-10
1863,8.442407349207315e-06,4.994620828036034e-10
1864,8.238301631990907e-06,4.794727948009836e-10
1865,8.158373262290297e-06,0.0
1866,8.06767248207052e-06,0.0
1867,8.107107220212129e-06,4.85281148598915e-10
1868,1.0598994208521617e-05,0.0
1869,9.106297753191939e-06,4.883519144627257e-10
1870,8.189942093395075e-06,5.734048791339319e-10
1871,1.3753362082979947e-05,0.0
1872,1.1041231999797674e-05,0.0
1873,9.371089788601239e-06,1.1972008939764578e-09
1874,1.0409561838287118e-05,0.0
1875,9.996079739948982e-06,0.0
1876,8.28606286518152e-06,1.209202959984168e-09
1877,8.63276625295839e-06,0.0
1878,7.714935705394055e-06,3.0195443923020093e-09
1879,8.006881330402393e-06,6.10932526790009e-10
1880,8.598630586220679e-06,6.417846254436199e-10
